#              p[0],               p[1],               p[2],             energy,           variance,              error,       elapsed time,   acceptance ratio 
 1.000000000000e+00, 1.000000000000e+00, 1.000000000000e+00, 1.065824045275e+07, 1.004185087288e+17, 3.168887955243e+05, 2.846753500000e-01, 9.218150000000e-01
 1.534025940090e+00, 3.001231154735e+00, 5.000000000000e+00,-1.995575735183e+04, 1.195220312023e+09, 3.457195846381e+01, 3.045518880000e-01, 6.933990000000e-01
 1.538078788763e+00, 2.865906609232e+00, 5.000000000000e+00, 4.230331849742e+00, 5.463973682217e+00, 2.337514423959e-03, 3.468132670000e-01, 9.229100000000e-01
 1.535263108891e+00, 2.959922110361e+00, 5.000000000000e+00, 4.327461062451e+00, 5.095044039015e+00, 2.257220423223e-03, 2.714655200000e-01, 9.233310000000e-01
 1.534342850385e+00, 2.990649525602e+00, 5.000000000000e+00,               -nan,               -nan,               -nan, 2.732231230000e-01, 2.310110000000e-01
 1.534184395238e+00, 2.995940340168e+00, 5.000000000000e+00, 4.358383451289e+00, 5.551461768396e+00, 2.356154020516e-03, 2.782272330000e-01, 9.239280000000e-01
 1.534041695871e+00, 3.000705069506e+00, 5.000000000000e+00, 4.358096190295e+00, 5.806303250217e+00, 2.409627201502e-03, 2.758156240000e-01, 9.244030000000e-01
 1.534026153089e+00, 3.001224042731e+00, 5.000000000000e+00,               -nan,               -nan,               -nan, 2.727399180000e-01, 2.309730000000e-01
 1.674253719147e+00, 0.000000000000e+00, 5.000000000000e+00, 1.436286495997e+92,2.062916835663e+190, 1.436285777853e+92, 1.932096670000e-01, 9.940200000000e-01
 1.604139829619e+00, 1.500615577368e+00, 5.000000000000e+00, 2.681028874358e+00, 1.069731326660e+01, 3.270674741792e-03, 3.124388160000e-01, 9.075810000000e-01
 1.557205155684e+00, 2.505136982456e+00, 5.000000000000e+00,               -nan,               -nan,               -nan, 3.090372000000e-01, 4.601050000000e-01
 1.545615547887e+00, 2.753184068595e+00, 5.000000000000e+00,-6.820416039905e+02, 1.412492757445e+06, 1.188483385431e+00, 2.828780170000e-01, 6.921580000000e-01
 1.537695289123e+00, 2.922697752094e+00, 5.000000000000e+00, 4.285985639329e+00, 5.828227490542e+00, 2.414172216422e-03, 2.778521200000e-01, 9.235190000000e-01
 1.535081850977e+00, 2.978631975947e+00, 5.000000000000e+00,-4.754149210220e+06, 6.754560817540e+13, 8.218613519043e+03, 2.796398140000e-01, 2.310810000000e-01
 1.530973492526e+00, 0.000000000000e+00, 5.000000000000e+00, 3.878480170842e+70,1.504259330756e+147, 3.878478220587e+70, 1.973728690000e-01, 9.930640000000e-01
 1.533027671752e+00, 1.489315987974e+00, 5.000000000000e+00, 2.645923870467e+00, 1.605196239197e+01, 4.006490033929e-03, 2.912350070000e-01, 9.029610000000e-01
 1.534397733277e+00, 2.482634637378e+00, 5.000000000000e+00,               -nan,               -nan,               -nan, 2.851758100000e-01, 6.889470000000e-01
 1.534739792127e+00, 2.730633306663e+00, 5.000000000000e+00,               -nan,               -nan,               -nan, 2.782925110000e-01, 6.914010000000e-01
 1.534910821552e+00, 2.854632641305e+00, 5.000000000000e+00, 4.220159878081e+00, 5.201338674825e+00, 2.280644355182e-03, 2.857300050000e-01, 9.229190000000e-01
 1.535025443977e+00, 2.937735910642e+00, 5.000000000000e+00,-5.603424534540e+02, 9.564445990361e+05, 9.779798561505e-01, 2.717302150000e-01, 6.931490000000e-01
 1.535063638730e+00, 2.965427776884e+00, 5.000000000000e+00,-6.561299367803e+04, 1.291689923415e+10, 1.136525372975e+02, 2.776620080000e-01, 6.930020000000e-01
 1.535076333283e+00, 2.974631550858e+00, 5.000000000000e+00, 4.339264118710e+00, 5.065111540632e+00, 2.250580267538e-03, 2.767750080000e-01, 9.241980000000e-01
 1.535080469397e+00, 2.977630306399e+00, 5.000000000000e+00,-2.178124966097e+06, 1.423274183216e+13, 3.772630624930e+03, 2.952424940000e-01, 6.934200000000e-01
 1.535081611355e+00, 2.978458245999e+00, 5.000000000000e+00,               -nan,               -nan,               -nan, 2.672512590000e-01, 4.620270000000e-01
 1.535081731166e+00, 2.978545110973e+00, 5.000000000000e+00,-2.612758571424e+04, 2.048634151872e+09, 4.526183990816e+01, 2.862950670000e-01, 6.931960000000e-01
