#                p[0],                 p[1],                 p[2],               energy,             variance,                error,      -(ℏ/4)⟨∇ᵢ²ln(ψ)⟩,  Var -(ℏ/4)⟨∇ᵢ²ln(ψ)⟩,    (ℏ/2)⟨|∇ᵢln(ψ)|²⟩, Var (ℏ/2)⟨|∇ᵢln(ψ)|²⟩,         elapsed time,        accept. ratio,    Monte Carlo steps 
 4.00000000000000e+00, 1.00000000000000e+00, 5.00000000000000e+00, 3.23883120568938e-01, 4.07615358601641e+00, 2.01894863382316e-03, 4.86462035371387e-01, 2.26227521821461e-01, 4.52214018722833e-01, 1.18698497559064e+00, 1.88853594500000e+00, 8.96692000000000e-01,              1000000
 3.99491616328977e+00, 2.00000000000000e+00, 5.00000000000000e+00, 8.12985277672092e-01, 7.37636584070999e-01, 8.58857720504973e-04, 5.80213438366753e-01, 1.15539074001994e-01, 5.90114473283134e-01, 1.58266289332977e+00, 1.84532850600000e+00, 9.05108000000000e-01,              1000000
 3.99870085178342e+00, 1.25554483564893e+00, 5.00000000000000e+00, 3.51276012246891e-01, 2.61179098249926e-01, 5.11056844440935e-04, 5.29171915383237e-01, 1.95637655338732e-01, 5.10229933661008e-01, 1.28391180405888e+00, 1.74897216100000e+00, 9.03355000000000e-01,              1000000
 3.99953669799120e+00, 1.09113235440297e+00, 5.00000000000000e+00, 2.23853321648011e-01, 9.90340844286916e-02, 3.14696813502602e-04, 4.98329983227204e-01, 1.93637259916871e-01, 4.55344142614119e-01, 9.12004009459347e-01, 1.76825481500000e+00, 9.05016000000000e-01,              1000000
 3.99720534937854e+00, 1.09106273452407e+00, 5.00000000000000e+00, 2.41954222382212e-01, 2.11208257209781e-01, 4.59573995358507e-04, 5.10965618173098e-01, 2.51723346929291e-01, 5.11056850299282e-01, 1.94307932756977e+00, 1.77082359100000e+00, 9.04063000000000e-01,              1000000
 3.99951338450507e+00, 1.09113165820418e+00, 5.00000000000000e+00, 2.28643939837503e-01, 1.20780311441744e-01, 3.47534619055057e-04, 5.06167895156371e-01, 2.18323039414631e-01, 4.79579859542778e-01, 1.16262013181353e+00, 1.77459630900000e+00, 9.05800000000000e-01,              1000000
 3.99953646485634e+00, 1.09113234744099e+00, 5.00000000000000e+00, 2.39055799630924e-01, 1.80229289724315e-01, 4.24534203244350e-04, 5.10231866696817e-01, 2.45163161289079e-01, 5.02437744974016e-01, 1.69229250353106e+00, 1.83914835500000e+00, 9.01929000000000e-01,              1000000
 3.99953669565985e+00, 1.09113235433335e+00, 5.00000000000000e+00, 2.32418588328954e-01, 1.42692858139422e-01, 3.77747082238132e-04, 5.04043056478601e-01, 2.18484846133958e-01, 4.80069902150570e-01, 1.26612040751534e+00, 1.76078949900000e+00, 9.01311000000000e-01,              1000000
 3.99953669796788e+00, 1.09113235440228e+00, 5.00000000000000e+00, 2.31109557221732e-01, 1.16388066395012e-01, 3.41156952728523e-04, 5.04261396384764e-01, 2.14532090072783e-01, 4.78546957308892e-01, 1.10985242014191e+00, 1.75451617600000e+00, 9.03252000000000e-01,              1000000
 3.99953669799096e+00, 1.09113235440297e+00, 5.00000000000000e+00, 2.38632854207908e-01, 2.25125739361752e-01, 4.33133677750253e-04, 5.07223799247651e-01, 2.41739462080135e-01, 4.99198865753323e-01, 2.02274941429360e+00, 2.28815158000000e+00, 9.12480000000000e-01,              1200000
