#              p[0],               p[1],               p[2],             energy,           variance,              error,       elapsed time,      accept. ratio,  Monte Carlo steps 
 4.000000000000e+00, 1.000000000000e+00, 5.000000000000e+00, 2.512820579327e-01, 1.748197351548e+00, 4.181145000533e-04, 8.683542000000e+00, 9.068822000000e-01,           10000000
 4.015491131494e+00, 2.000000000000e+00, 5.000000000000e+00, 4.675149357037e-01, 1.660546572196e-01, 1.288621966364e-04, 8.504365424000e+00, 9.081984000000e-01,           10000000
 4.004623859832e+00, 1.298484318826e+00, 5.000000000000e+00, 2.773564770093e-01, 1.296242593860e-01, 1.138526501167e-04, 8.528549098000e+00, 9.088343000000e-01,           10000000
 4.003817623363e+00, 1.269564361916e+00, 5.000000000000e+00, 2.630359352051e-01, 1.239548078806e-01, 1.113349935468e-04, 8.686060223000e+00, 9.005961000000e-01,           10000000
 4.003701083201e+00, 1.265384029513e+00, 5.000000000000e+00, 2.634683383807e-01, 1.057342213467e-01, 1.028271468761e-04, 8.521443238000e+00, 9.043312000000e-01,           10000000
 4.002315342420e+00, 1.215677069830e+00, 5.000000000000e+00, 2.355485567478e-01, 1.251226272058e-01, 1.118582259853e-04, 9.053049761000e+00, 9.030289000000e-01,           10000000
 4.002084490679e+00, 1.207396344931e+00, 5.000000000000e+00, 2.373919619978e-01, 7.015146522693e-02, 8.375647152724e-05, 8.732691765000e+00, 9.026755000000e-01,           10000000
 4.000950264204e+00, 1.166711282858e+00, 5.000000000000e+00, 2.227982613511e-01, 2.639626660451e-02, 5.137729713065e-05, 8.609867583000e+00, 9.064522000000e-01,           10000000
 4.000582904641e+00, 1.153533979261e+00, 5.000000000000e+00, 2.163879786152e-01, 2.710525346531e-02, 5.206270590865e-05, 8.519764537000e+00, 8.910052000000e-01,           10000000
 4.000178809122e+00, 1.139038945305e+00, 5.000000000000e+00, 2.140406495799e-01, 1.239590426453e-02, 3.520781768945e-05, 8.467462987000e+00, 9.120137000000e-01,           10000000
 3.878945383142e+00, 8.068242959260e-01, 5.000000000000e+00, 3.082118875140e+00, 9.908359777691e+02, 9.954074430951e-03, 8.896830547000e+00, 9.020014000000e-01,           10000000
 3.944405998902e+00, 9.862053151221e-01, 5.000000000000e+00, 2.510375108785e-01, 1.665406838764e+00, 4.080939645185e-04, 8.727711832000e+00, 8.975517000000e-01,           10000000
 3.994252922248e+00, 1.122800301431e+00, 5.000000000000e+00, 2.096466884585e-01, 1.170505466906e-02, 3.421265068517e-05, 8.735595675000e+00, 9.085197000000e-01,           10000000
 3.966189329183e+00, 1.084134044015e+00, 5.000000000000e+00, 2.034806023456e-01, 5.774490958497e-02, 7.599007144685e-05, 8.673416685000e+00, 9.074289000000e-01,           10000000
 3.963615493722e+00, 1.096260565574e+00, 5.000000000000e+00, 2.041450965999e-01, 3.235445292538e-02, 5.688097478541e-05, 8.571020819000e+00, 9.089722000000e-01,           10000000
 3.948015765372e+00, 1.097700353283e+00, 5.000000000000e+00, 2.039330072821e-01, 3.113179787814e-02, 5.579587608250e-05, 8.552549874000e+00, 9.069093000000e-01,           10000000
 3.468890525486e+00, 1.141921548419e+00, 5.000000000000e+00, 2.018541645361e-01, 1.481137685769e-02, 3.848555164953e-05, 8.660021375000e+00, 9.181632000000e-01,           10000000
 3.166109047247e+00, 1.136486132076e+00, 5.000000000000e+00, 1.945123232953e-01, 1.564560199537e-02, 3.955452185955e-05, 9.380659340000e+00, 9.029974000000e-01,           10000000
 2.072436885237e+00, 1.082471102482e+00, 5.000000000000e+00, 2.211820896405e-01, 7.576260083505e-01, 2.752500696368e-04, 9.459793875000e+00, 9.131640000000e-01,           10000000
