# PRETRAINING
#                 K,       elapsed time,   acceptance ratio 
   3.3378609430e-01,   2.0400547900e+00,   9.8140000000e-01
   4.0490611638e-01,   1.9002175940e+00,   9.7740000000e-01
   4.7774964257e-01,   1.8918839320e+00,   9.8030000000e-01
   5.4873272263e-01,   2.0533535740e+00,   9.7950000000e-01
   6.3483257559e-01,   1.9841341810e+00,   9.7860000000e-01
   7.0019724343e-01,   1.9961604610e+00,   9.7910000000e-01
   7.7440587009e-01,   2.0763252640e+00,   9.7980000000e-01
   8.3085509103e-01,   1.9024604420e+00,   9.7980000000e-01
   8.4211576432e-01,   1.9076624080e+00,   9.7920000000e-01
   8.4140397772e-01,   1.9035872720e+00,   9.7960000000e-01
   8.3432760811e-01,   1.9105478280e+00,   9.8080000000e-01
   8.4811376764e-01,   1.9106442040e+00,   9.8020000000e-01
   8.7012145217e-01,   1.8948846820e+00,   9.8090000000e-01
   8.8567053434e-01,   1.9181838420e+00,   9.7880000000e-01
   9.0313228295e-01,   1.9018676980e+00,   9.7920000000e-01
   9.2413533218e-01,   1.9006585760e+00,   9.7890000000e-01
   9.3943360723e-01,   1.9265129600e+00,   9.7820000000e-01
   9.4476441031e-01,   1.9137716330e+00,   9.7890000000e-01
   9.5273066449e-01,   1.9184575670e+00,   9.7900000000e-01
   9.5767535177e-01,   1.8972577320e+00,   9.8030000000e-01
   9.6534196326e-01,   1.9103479820e+00,   9.7850000000e-01
   9.6854734249e-01,   1.8971843620e+00,   9.7950000000e-01
   9.7066106619e-01,   1.8983771540e+00,   9.7780000000e-01
   9.7332495728e-01,   1.8960474550e+00,   9.8040000000e-01
   9.7336579809e-01,   1.9276380440e+00,   9.7770000000e-01
   9.7766641830e-01,   1.9048533710e+00,   9.7850000000e-01
   9.7825663527e-01,   1.8878316970e+00,   9.8060000000e-01
   9.8097913318e-01,   1.9129139670e+00,   9.8000000000e-01
   9.8231931356e-01,   1.8973570450e+00,   9.8140000000e-01
   9.8406678541e-01,   1.9267679210e+00,   9.8020000000e-01
   9.8614170926e-01,   1.9453271640e+00,   9.8010000000e-01
   9.8495918997e-01,   1.9147158970e+00,   9.7970000000e-01
   9.8471364165e-01,   1.9043811760e+00,   9.7840000000e-01
   9.8820454975e-01,   1.8965555540e+00,   9.7890000000e-01
   9.8944295743e-01,   1.9367731730e+00,   9.7980000000e-01
   9.8995810173e-01,   1.9300789450e+00,   9.7780000000e-01
   9.8781640260e-01,   1.9057583270e+00,   9.8090000000e-01
   9.9034726738e-01,   1.9595303970e+00,   9.7840000000e-01

# TRAINING
#            energy,           variance,              error,      Hint strength,       elapsed time,   acceptance ratio 
 2.037200900474e+00, 1.110490414041e-01, 3.332402157666e-03, 0.000000000000e+00, 1.374209531000e+01, 9.787000000000e-01
 2.036527659214e+00, 9.704979346979e-02, 3.115281583899e-03, 1.000000000000e-02, 1.309419336700e+01, 9.799000000000e-01
 2.049065528507e+00, 9.485814246685e-02, 3.079904908708e-03, 2.000000000000e-02, 1.321952673000e+01, 9.825000000000e-01
 2.055467229260e+00, 8.462732847578e-02, 2.909077662693e-03, 3.000000000000e-02, 1.225400194700e+01, 9.790000000000e-01
 2.068825266255e+00, 7.555403568822e-02, 2.748709436958e-03, 4.000000000000e-02, 1.215763589000e+01, 9.805000000000e-01
 2.088113805917e+00, 7.969567492033e-02, 2.823042240568e-03, 5.000000000000e-02, 1.258770703600e+01, 9.797000000000e-01
 2.098564356798e+00, 8.615170526976e-02, 2.935161073430e-03, 6.000000000000e-02, 1.249096395800e+01, 9.807000000000e-01
 2.099257430389e+00, 6.882386543385e-02, 2.623430300844e-03, 7.000000000000e-02, 1.228688289800e+01, 9.806000000000e-01
 2.114785690183e+00, 7.253642106634e-02, 2.693258640872e-03, 8.000000000000e-02, 1.323849158100e+01, 9.798000000000e-01
 2.125105873165e+00, 7.927179162878e-02, 2.815524669201e-03, 9.000000000000e-02, 1.343914515700e+01, 9.819000000000e-01
 2.135896187737e+00, 6.267300153887e-02, 2.503457639723e-03, 1.000000000000e-01, 1.212227917100e+01, 9.808000000000e-01
 2.144592188156e+00, 7.716822810165e-02, 2.777916991230e-03, 1.100000000000e-01, 1.224856846200e+01, 9.832000000000e-01
 2.141448575633e+00, 8.306941517143e-02, 2.882176524286e-03, 1.200000000000e-01, 1.217962472300e+01, 9.788000000000e-01
 2.174245840211e+00, 1.135773240098e-01, 3.370123499365e-03, 1.300000000000e-01, 1.220558411600e+01, 9.819000000000e-01
 2.180670889142e+00, 1.038609183024e-01, 3.222746007715e-03, 1.400000000000e-01, 1.240716776400e+01, 9.793000000000e-01
 2.199628177860e+00, 1.286896119564e-01, 3.587333438034e-03, 1.500000000000e-01, 1.230498177600e+01, 9.813000000000e-01
 2.212613795741e+00, 1.468530636575e-01, 3.832141224661e-03, 1.600000000000e-01, 1.229788423400e+01, 9.824000000000e-01
 2.218099039863e+00, 9.690262187100e-02, 3.112918596285e-03, 1.700000000000e-01, 1.219457897800e+01, 9.820000000000e-01
 2.225727215872e+00, 1.001500161571e-01, 3.164648734964e-03, 1.800000000000e-01, 1.229352566800e+01, 9.829000000000e-01
 2.236735089096e+00, 1.521821209982e-01, 3.901052691239e-03, 1.900000000000e-01, 1.309170022600e+01, 9.810000000000e-01
 2.249907466402e+00, 1.834830001079e-01, 4.283491567727e-03, 2.000000000000e-01, 1.274726341800e+01, 9.808000000000e-01
 2.255745372053e+00, 1.121420780088e-01, 3.348762129635e-03, 2.100000000000e-01, 1.192403093900e+01, 9.798000000000e-01
 2.277400245355e+00, 2.060039737263e-01, 4.538766062778e-03, 2.200000000000e-01, 1.266318404600e+01, 9.822000000000e-01
