# PRETRAINING
#                 K,       elapsed time,   acceptance ratio 
   8.4062186752e-02,   2.9780625100e-01,   9.4933333333e-01
   2.9266794207e-02,   4.6980780400e-01,   9.4700000000e-01
   4.9971895810e-02,   2.6980343200e-01,   9.5166666667e-01
   7.0228337513e-02,   2.6309015700e-01,   9.5766666667e-01
   2.6100983370e-01,   2.6324481900e-01,   9.5166666667e-01
   3.4435757222e-01,   2.6981965600e-01,   9.5200000000e-01
   2.5967752391e-01,   2.6281641400e-01,   9.5033333333e-01
   4.0706078372e-01,   2.7046396600e-01,   9.4900000000e-01
   3.9300608138e-01,   2.6812986700e-01,   9.5133333333e-01
   5.8012792639e-01,   2.6260548700e-01,   9.4400000000e-01
   5.6489594934e-01,   2.6617990100e-01,   9.5166666667e-01
   4.9581772512e-01,   2.7231016600e-01,   9.4933333333e-01
   6.4011205086e-01,   2.6634737400e-01,   9.4800000000e-01
   6.2985623835e-01,   2.6148966800e-01,   9.5833333333e-01
   7.2896477515e-01,   2.8626105800e-01,   9.5533333333e-01
   7.5215900114e-01,   2.9905544400e-01,   9.5000000000e-01
   7.5051005068e-01,   3.0964785200e-01,   9.4733333333e-01
   7.6693228135e-01,   2.9404835700e-01,   9.4400000000e-01
   8.1542028084e-01,   2.9370712200e-01,   9.4800000000e-01
   8.8792501873e-01,   2.9059991400e-01,   9.4900000000e-01
   9.0812011857e-01,   3.1501070000e-01,   9.4933333333e-01
   8.9823426673e-01,   2.9902827800e-01,   9.4833333333e-01
   9.1835276260e-01,   3.0667782100e-01,   9.5600000000e-01
   9.5581213315e-01,   3.0423174600e-01,   9.5433333333e-01
   9.5137773000e-01,   2.9428517200e-01,   9.5233333333e-01
   9.2885677355e-01,   2.9824310400e-01,   9.5500000000e-01
   9.1423647584e-01,   2.8745456200e-01,   9.5866666667e-01
   9.4150136660e-01,   2.8638519900e-01,   9.5700000000e-01
   9.4489478146e-01,   2.8461946500e-01,   9.4633333333e-01
   9.5451493035e-01,   2.8346806000e-01,   9.5466666667e-01
   9.2370527077e-01,   2.7950686200e-01,   9.5733333333e-01
   9.6078162923e-01,   2.8007901100e-01,   9.5000000000e-01
   9.3170358213e-01,   2.8282395300e-01,   9.5300000000e-01
   9.8589996211e-01,   2.6664559800e-01,   9.5766666667e-01
   9.6138336099e-01,   2.7061353600e-01,   9.4566666667e-01
   9.7918789818e-01,   2.7722029200e-01,   9.5266666667e-01
   9.2243781754e-01,   2.7688677800e-01,   9.6200000000e-01
   9.8596889992e-01,   2.8840238700e-01,   9.4533333333e-01
   9.7113992891e-01,   2.7809189300e-01,   9.5400000000e-01
   9.8885546967e-01,   2.7940990100e-01,   9.5433333333e-01
   9.6434347868e-01,   2.7652471900e-01,   9.5700000000e-01
   9.9189876783e-01,   2.7063827500e-01,   9.5300000000e-01

# TRAINING
#            energy,           variance,              error,      Hint strength,       elapsed time,      accept. ratio,  Monte Carlo steps 
 3.901647175975e-02, 6.884100762247e-04, 4.790302969628e-04, 0.000000000000e+00, 1.479367785000e+00, 9.310000000000e-01,               3000
 1.269349159414e+00, 2.239219198796e+03, 8.639481463599e-01, 2.000000000000e-03, 1.457207277000e+00, 9.256666666667e-01,               3000
 3.778953937098e+01, 2.057264007280e+06, 2.618691789985e+01, 4.000000000000e-03, 1.450365739000e+00, 9.073333333333e-01,               3000
 6.022723888338e-02, 3.122367020824e-03, 1.020190671856e-03, 6.000000000000e-03, 1.446127755000e+00, 9.256666666667e-01,               3000
 9.315708151952e-01, 3.396061547243e-01, 1.063964527486e-02, 8.000000000000e-03, 1.635301335000e+00, 9.770000000000e-01,               3000
 7.227490950651e-02, 3.539581207727e-01, 1.086213792297e-02, 1.000000000000e-02, 1.648602203000e+00, 8.126666666667e-01,               3000
 7.452642877248e+00, 5.525841079941e+04, 4.291791032479e+00, 1.200000000000e-02, 1.594526741000e+00, 7.453333333333e-01,               3000
 1.266443234066e+00, 4.055147020709e+03, 1.162633077789e+00, 1.400000000000e-02, 1.724922056000e+00, 7.886666666667e-01,               3000
 1.026846607571e+04, 3.161711826957e+11, 1.026598238026e+04, 1.600000000000e-02, 1.647654972000e+00, 8.056666666667e-01,               3000
 8.316778242417e-02, 2.586195107495e-02, 2.936094405552e-03, 1.800000000000e-02, 1.694491857000e+00, 8.660000000000e-01,               3000
 2.019352862442e-01, 2.207712029492e-02, 2.712755075252e-03, 2.000000000000e-02, 1.840233797000e+00, 9.553333333333e-01,               3000
 4.607284036302e-01, 4.825812168679e-02, 4.010740650087e-03, 2.200000000000e-02, 1.677166518000e+00, 9.640000000000e-01,               3000
 7.888889975169e-02, 6.069666301510e-02, 4.498024122327e-03, 2.400000000000e-02, 1.664871390000e+00, 8.900000000000e-01,               3000
 9.904552465956e-02, 5.384386718513e-02, 4.236502770963e-03, 2.600000000000e-02, 1.684302698000e+00, 8.416666666667e-01,               3000
 1.104079638695e-01, 5.825500148171e-02, 4.406623858152e-03, 2.800000000000e-02, 1.693619176000e+00, 8.663333333333e-01,               3000
 1.353810194872e-01, 6.475899711643e-02, 4.646109380131e-03, 3.000000000000e-02, 1.567549104000e+00, 8.466666666667e-01,               3000
 3.342813711294e+00, 9.364916130736e+03, 1.766815980866e+00, 3.200000000000e-02, 1.587648113000e+00, 8.480000000000e-01,               3000
 1.299114568364e-01, 8.592769874287e-02, 5.351875021675e-03, 3.400000000000e-02, 1.543687302000e+00, 8.866666666667e-01,               3000
 1.367248658915e-01, 6.845860692643e-02, 4.776979761538e-03, 3.600000000000e-02, 1.545496317000e+00, 8.810000000000e-01,               3000
 1.164517967150e-01, 1.037583037661e-01, 5.880994920536e-03, 3.800000000000e-02, 1.720845178000e+00, 8.946666666667e-01,               3000
 1.218279926053e-01, 6.273304684536e-02, 4.572856395637e-03, 4.000000000000e-02, 1.603059665000e+00, 9.176666666667e-01,               3000
 1.053178050210e-01, 5.272631690416e-02, 4.192307117573e-03, 4.200000000000e-02, 1.541352743000e+00, 9.216666666667e-01,               3000
 8.490260285455e-02, 2.810405447820e-02, 3.060721836332e-03, 4.400000000000e-02, 1.567362403000e+00, 9.596666666667e-01,               3000
 2.362652827275e-01, 2.612419944648e-02, 2.950943320730e-03, 4.600000000000e-02, 1.709099293000e+00, 9.763333333333e-01,               3000
 1.073710439434e-01, 2.740114194696e-02, 3.022203497834e-03, 4.800000000000e-02, 1.747982974000e+00, 9.360000000000e-01,               3000
 8.529436512729e-02, 2.961962932266e-02, 3.142166414151e-03, 5.000000000000e-02, 1.721626156000e+00, 9.153333333333e-01,               3000
 1.008682192138e-01, 3.965776937536e-02, 3.635829541997e-03, 5.200000000000e-02, 1.685332309000e+00, 8.996666666667e-01,               3000
 1.064518254948e-01, 8.124135381947e-02, 5.203888091913e-03, 5.400000000000e-02, 1.521782081000e+00, 8.783333333333e-01,               3000
 1.053214886107e-01, 7.089741234866e-02, 4.861323974278e-03, 5.600000000000e-02, 1.834756850000e+00, 8.793333333333e-01,               3000
 9.982482144384e-02, 7.368302047501e-02, 4.955906256680e-03, 5.800000000000e-02, 1.800072022000e+00, 8.803333333333e-01,               3000
 1.033041801294e-01, 5.254768709553e-02, 4.185199600797e-03, 6.000000000000e-02, 1.932061919000e+00, 8.830000000000e-01,               3000
 7.639707052722e-02, 6.500507224702e-02, 4.654928293290e-03, 6.200000000000e-02, 1.719009360000e+00, 9.073333333333e-01,               3000
 9.742523381528e-02, 6.320611677018e-02, 4.590065967942e-03, 6.400000000000e-02, 1.563205052000e+00, 8.990000000000e-01,               3000
 7.734457344779e-02, 6.538590347112e-02, 4.668543794058e-03, 6.600000000000e-02, 1.550094368000e+00, 9.293333333333e-01,               3000
 8.896782633287e-02, 2.346048223404e-02, 2.796455031764e-03, 6.800000000000e-02, 1.547499062000e+00, 9.220000000000e-01,               3000
 8.751767530816e-02, 3.304966975924e-02, 3.319119851167e-03, 7.000000000000e-02, 1.729970125000e+00, 9.416666666667e-01,               3000
 9.612488104205e-02, 2.220287123032e-02, 2.720470010269e-03, 7.200000000000e-02, 1.626946392000e+00, 9.383333333333e-01,               3000
 9.076892713044e-02, 1.969618917176e-02, 2.562302946685e-03, 7.400000000000e-02, 1.697104855000e+00, 9.400000000000e-01,               3000
 9.487020056204e-02, 3.248892927395e-02, 3.290842307270e-03, 7.600000000000e-02, 1.542106152000e+00, 9.106666666667e-01,               3000
 8.917877702184e-02, 3.912921477362e-02, 3.611519291269e-03, 7.800000000000e-02, 1.652315368000e+00, 8.983333333333e-01,               3000
 1.039248639144e-01, 4.631680263822e-02, 3.929240920679e-03, 8.000000000000e-02, 2.015282146000e+00, 8.863333333333e-01,               3000
 8.718817636944e-02, 6.782591180970e-02, 4.754854074512e-03, 8.200000000000e-02, 1.686114103000e+00, 8.836666666667e-01,               3000
 7.821225330582e-02, 6.297261610428e-02, 4.581579644049e-03, 8.400000000000e-02, 1.739361129000e+00, 8.890000000000e-01,               3000
 9.655925655324e-02, 4.252416202362e-02, 3.764933023912e-03, 8.600000000000e-02, 1.683629620000e+00, 8.883333333333e-01,               3000
 1.015655183034e-01, 3.458249975752e-02, 3.395217212370e-03, 8.800000000000e-02, 1.521330074000e+00, 8.860000000000e-01,               3000
