# PRETRAINING
#                 K,       elapsed time,   acceptance ratio 
   1.8093678284e-02,   3.1730210000e-01,   9.5500000000e-01
   6.6168773508e-03,   3.5421905400e-01,   9.5100000000e-01
   1.4228428952e-02,   3.4699512900e-01,   9.5166666667e-01
   4.0159604010e-02,   3.3055605500e-01,   9.6200000000e-01
   1.2393600125e-01,   3.2421484900e-01,   9.4733333333e-01
   6.3971958773e-02,   3.2225757000e-01,   9.5000000000e-01
   1.3114377682e-01,   3.1897460800e-01,   9.5933333333e-01
   9.5771157361e-02,   3.3628556700e-01,   9.5633333333e-01
   5.5179291888e-02,   3.2269384000e-01,   9.5966666667e-01
   4.6129364058e-02,   3.2795306200e-01,   9.4900000000e-01
   4.4062080203e-02,   3.2784155600e-01,   9.5666666667e-01
   5.6858616330e-02,   3.1689090500e-01,   9.4900000000e-01
   6.5582299142e-02,   3.1568841900e-01,   9.5766666667e-01
   5.9488474679e-02,   3.2493041900e-01,   9.5666666667e-01
   5.1919101857e-02,   3.2752329200e-01,   9.4933333333e-01
   6.0136298190e-02,   3.3059032000e-01,   9.5566666667e-01
   4.8065922695e-02,   3.3148323000e-01,   9.5433333333e-01
   7.6324586412e-02,   3.3189815600e-01,   9.5233333333e-01
   7.2569968013e-02,   3.2536867500e-01,   9.5533333333e-01
   1.1118968728e-01,   3.4226392200e-01,   9.5566666667e-01
   1.4759492253e-01,   3.2908422000e-01,   9.5066666667e-01
   2.1817859289e-01,   3.4007776500e-01,   9.5100000000e-01
   4.4493056077e-01,   3.3292250500e-01,   9.5366666667e-01
   2.5051857885e-01,   3.2923482400e-01,   9.5700000000e-01
   2.4708060908e-01,   3.3052525300e-01,   9.5200000000e-01
   6.0488460529e-01,   3.3202669700e-01,   9.4733333333e-01
   5.2163453692e-01,   3.2651438600e-01,   9.4866666667e-01
   5.5680982577e-01,   3.3875461100e-01,   9.5433333333e-01
   6.5123003273e-01,   3.3610564500e-01,   9.4366666667e-01
   6.6011804703e-01,   3.3940488600e-01,   9.5500000000e-01
   6.7438624200e-01,   3.3710793500e-01,   9.4900000000e-01
   7.9491472119e-01,   3.3905967000e-01,   9.5800000000e-01
   8.3880576186e-01,   3.2536753700e-01,   9.5400000000e-01
   9.4886807422e-01,   3.3817692200e-01,   9.5266666667e-01
   9.3680586697e-01,   3.4026538600e-01,   9.5833333333e-01
   9.0661508374e-01,   3.3086092700e-01,   9.5666666667e-01
   9.5518457695e-01,   3.4042311600e-01,   9.4766666667e-01
   9.4217403846e-01,   3.5274210500e-01,   9.5166666667e-01
   9.4924748013e-01,   3.3385026000e-01,   9.5633333333e-01
   9.7298981207e-01,   3.5361550600e-01,   9.4833333333e-01
   9.7103735766e-01,   3.5084485000e-01,   9.5533333333e-01
   9.5354605199e-01,   3.5468602300e-01,   9.5933333333e-01
   9.5327204513e-01,   3.3754739700e-01,   9.5366666667e-01
   9.4537956159e-01,   3.5324774900e-01,   9.5700000000e-01
   9.6913084567e-01,   3.5196987900e-01,   9.5800000000e-01
   9.7053510293e-01,   3.4207860500e-01,   9.4733333333e-01
   9.3818492022e-01,   3.5797013700e-01,   9.5400000000e-01
   9.8904834733e-01,   3.4791309400e-01,   9.4933333333e-01
   9.7498866522e-01,   3.3859256600e-01,   9.4566666667e-01
   9.5438579473e-01,   3.7970611100e-01,   9.5466666667e-01
   9.7938106171e-01,   3.3415966600e-01,   9.5666666667e-01
   9.4157241393e-01,   3.4829637300e-01,   9.5133333333e-01
   9.8711505283e-01,   3.7711197800e-01,   9.5466666667e-01
   9.7011269133e-01,   4.0749248700e-01,   9.5700000000e-01
   9.8908028697e-01,   4.4251208800e-01,   9.6066666667e-01
   9.4474909780e-01,   4.1924046000e-01,   9.5633333333e-01
   9.8590600586e-01,   4.1493559700e-01,   9.5633333333e-01
   9.6174673325e-01,   3.8764597400e-01,   9.5600000000e-01
   9.8869154788e-01,   3.7752538400e-01,   9.5966666667e-01
   9.7668502905e-01,   3.8913954800e-01,   9.5033333333e-01
   9.3362439788e-01,   3.8329191400e-01,   9.4466666667e-01
   9.8365690299e-01,   3.7945253600e-01,   9.5166666667e-01
   8.6035432527e-01,   3.7458760300e-01,   9.5600000000e-01
   9.7380063179e-01,   3.7126067900e-01,   9.5333333333e-01
   8.7412774651e-01,   4.2003629700e-01,   9.5466666667e-01
   8.8042121739e-01,   4.0519938100e-01,   9.4966666667e-01
   9.9461006600e-01,   4.1434068000e-01,   9.5600000000e-01
   8.3108859690e-01,   3.8219024800e-01,   9.5300000000e-01
   9.2989248221e-01,   4.1980923300e-01,   9.5266666667e-01
   8.9255614401e-01,   3.9626129800e-01,   9.5066666667e-01
   8.6690943539e-01,   4.1741294400e-01,   9.5566666667e-01
   9.9006084302e-01,   3.7916558000e-01,   9.4900000000e-01
   8.2254712128e-01,   3.6887128500e-01,   9.5100000000e-01
   6.8138991303e-01,   3.6775551200e-01,   9.5366666667e-01
   9.8730248064e-01,   3.6760988000e-01,   9.4966666667e-01
   8.8806670574e-01,   3.7110219600e-01,   9.4633333333e-01
   9.4194648636e-01,   3.6420533400e-01,   9.4900000000e-01
   9.4368409077e-01,   3.9860319800e-01,   9.5300000000e-01
   9.4949803806e-01,   4.0168538500e-01,   9.5266666667e-01
   9.5974404661e-01,   4.0760406900e-01,   9.4800000000e-01
   9.3195045022e-01,   3.9704340200e-01,   9.4800000000e-01
   9.8937232528e-01,   3.7661843600e-01,   9.5500000000e-01
   9.4365882371e-01,   3.6799605400e-01,   9.5266666667e-01
   9.8680651047e-01,   3.6468425300e-01,   9.5200000000e-01
   9.6465369731e-01,   3.7123823300e-01,   9.5300000000e-01
   9.9069263923e-01,   4.1188293600e-01,   9.5333333333e-01
   9.2320433899e-01,   3.8986203900e-01,   9.5366666667e-01
   9.9603245993e-01,   4.0978450900e-01,   9.4933333333e-01
   9.6415670581e-01,   3.7997007900e-01,   9.4900000000e-01
   9.9749244134e-01,   3.6956281700e-01,   9.5033333333e-01
   9.7001657018e-01,   3.7759586300e-01,   9.4933333333e-01
   9.7880892315e-01,   4.1654958200e-01,   9.5266666667e-01
   9.7749885970e-01,   4.0132495200e-01,   9.5800000000e-01
   9.8411892743e-01,   4.3139343000e-01,   9.5500000000e-01
   9.9601331599e-01,   4.4104997200e-01,   9.5866666667e-01
   9.8911895706e-01,   4.2665848300e-01,   9.5300000000e-01
   9.9527746513e-01,   4.1474209300e-01,   9.4933333333e-01
   9.9605712927e-01,   4.2611668300e-01,   9.5000000000e-01
   9.9487243004e-01,   3.8536585200e-01,   9.5366666667e-01
   9.9559784836e-01,   3.9213295700e-01,   9.5266666667e-01
   9.9339153505e-01,   3.9831013400e-01,   9.5433333333e-01
   9.9803207494e-01,   4.0181762400e-01,   9.5766666667e-01
   9.9359600068e-01,   3.8777520300e-01,   9.5800000000e-01
   9.9886234137e-01,   3.9657585600e-01,   9.5300000000e-01
   9.9177082407e-01,   4.0724410000e-01,   9.5533333333e-01
   9.9874539027e-01,   4.1117212000e-01,   9.4900000000e-01
   9.9661584632e-01,   4.0244081900e-01,   9.5033333333e-01
   9.9810845940e-01,   4.0932522800e-01,   9.4666666667e-01
   9.9843191216e-01,   3.7088666700e-01,   9.5233333333e-01
   9.9432823783e-01,   3.6335651900e-01,   9.5700000000e-01
   9.9942760199e-01,   3.6268293000e-01,   9.5266666667e-01

# TRAINING
#            energy,           variance,              error,      Hint strength,       elapsed time,      accept. ratio,  Monte Carlo steps 
