# r, density, density error estimate, radial probability, probability error estimate
2.750000000e-02, 2.941556424e-02, 2.054472123e-03, 3.727272727e-04, 2.603240193e-05
8.250000000e-02, 3.115794958e-02, 7.991845440e-04, 2.763636364e-03, 7.088577705e-05
1.375000000e-01, 2.785227238e-02, 4.586328703e-04, 6.705454545e-03, 1.104161924e-04
1.925000000e-01, 2.663107180e-02, 3.213698439e-04, 1.248545455e-02, 1.506679344e-04
2.475000000e-01, 2.660691300e-02, 2.501750460e-04, 2.056545455e-02, 1.933694276e-04
3.025000000e-01, 2.686111695e-02, 2.058036149e-04, 3.097272727e-02, 2.373058145e-04
3.575000000e-01, 2.707226175e-02, 1.748928564e-04, 4.356545455e-02, 2.814425649e-04
4.125000000e-01, 2.663065875e-02, 1.503693296e-04, 5.702727273e-02, 3.220030286e-04
4.675000000e-01, 2.684992662e-02, 1.332457439e-04, 7.382727273e-02, 3.663760431e-04
5.225000000e-01, 2.655369537e-02, 1.185740080e-04, 9.118181818e-02, 4.071671941e-04
5.775000000e-01, 2.610964584e-02, 1.063893498e-04, 1.095072727e-01, 4.462108607e-04
6.325000000e-01, 2.548674218e-02, 9.597841432e-05, 1.282090909e-01, 4.828120111e-04
6.875000000e-01, 2.506005982e-02, 8.756212474e-05, 1.489254545e-01, 5.203590623e-04
7.425000000e-01, 2.484537687e-02, 8.073108557e-05, 1.722054545e-01, 5.595541318e-04
7.975000000e-01, 2.471789715e-02, 7.497262931e-05, 1.976309091e-01, 5.994405105e-04
8.525000000e-01, 2.446106018e-02, 6.977207948e-05, 2.234727273e-01, 6.374276818e-04
9.075000000e-01, 2.379923494e-02, 6.465202481e-05, 2.463763636e-01, 6.692959172e-04
9.625000000e-01, 2.369342937e-02, 6.082300428e-05, 2.759036364e-01, 7.082675873e-04
1.017500000e+00, 2.312056223e-02, 5.683627864e-05, 3.008727273e-01, 7.396224187e-04
1.072500000e+00, 2.276708458e-02, 5.350847200e-05, 3.291600000e-01, 7.736101908e-04
1.127500000e+00, 2.196406888e-02, 4.999315165e-05, 3.509472727e-01, 7.988028232e-04
1.182500000e+00, 2.182339299e-02, 4.751541943e-05, 3.835418182e-01, 8.350741047e-04
1.237500000e+00, 2.123565784e-02, 4.478840882e-05, 4.087309091e-01, 8.620598050e-04
1.292500000e+00, 2.057907453e-02, 4.221466303e-05, 4.320781818e-01, 8.863389274e-04
1.347500000e+00, 2.005481711e-02, 3.997276199e-05, 4.576636364e-01, 9.122037615e-04
1.402500000e+00, 1.952743945e-02, 3.789707370e-05, 4.827436364e-01, 9.368648262e-04
1.457500000e+00, 1.895900485e-02, 3.593247748e-05, 5.061672727e-01, 9.593248314e-04
1.512500000e+00, 1.852678741e-02, 3.422902056e-05, 5.326581818e-01, 9.841084399e-04
1.567500000e+00, 1.796022494e-02, 3.251919470e-05, 5.546018182e-01, 1.004174757e-03
1.622500000e+00, 1.724530079e-02, 3.078531573e-05, 5.705472727e-01, 1.018508065e-03
1.677500000e+00, 1.676880727e-02, 2.936181037e-05, 5.930290909e-01, 1.038380812e-03
1.732500000e+00, 1.623790623e-02, 2.797610558e-05, 6.125236364e-01, 1.055310068e-03
1.787500000e+00, 1.562167977e-02, 2.659588259e-05, 6.272836364e-01, 1.067949298e-03
1.842500000e+00, 1.509254734e-02, 2.536129211e-05, 6.439018182e-01, 1.082003040e-03
1.897500000e+00, 1.455707886e-02, 2.418543223e-05, 6.586854545e-01, 1.094353653e-03
1.952500000e+00, 1.390143046e-02, 2.296878742e-05, 6.660090909e-01, 1.100420656e-03
2.007500000e+00, 1.343228856e-02, 2.195935570e-05, 6.802963636e-01, 1.112161175e-03
2.062500000e+00, 1.289819920e-02, 2.094456951e-05, 6.895290909e-01, 1.119682659e-03
2.117500000e+00, 1.228930315e-02, 1.991323069e-05, 6.924818182e-01, 1.122077471e-03
2.172500000e+00, 1.187201205e-02, 1.907675512e-05, 7.041690909e-01, 1.131506711e-03
2.227500000e+00, 1.129347373e-02, 1.814674563e-05, 7.041981818e-01, 1.131530084e-03
2.282500000e+00, 1.075032255e-02, 1.727838623e-05, 7.038400000e-01, 1.131242278e-03
2.337500000e+00, 1.027301302e-02, 1.649305111e-05, 7.053927273e-01, 1.132489396e-03
2.392500000e+00, 9.847061608e-03, 1.577631400e-05, 7.083363636e-01, 1.134849901e-03
2.447500000e+00, 9.379466418e-03, 1.505119392e-05, 7.060763636e-01, 1.133038043e-03
2.502500000e+00, 8.886480411e-03, 1.432833710e-05, 6.993672727e-01, 1.127642168e-03
2.557500000e+00, 8.406462979e-03, 1.363629426e-05, 6.909890909e-01, 1.120867433e-03
2.612500000e+00, 7.998014002e-03, 1.302088443e-05, 6.859945455e-01, 1.116809209e-03
2.667500000e+00, 7.549754552e-03, 1.238990621e-05, 6.750981818e-01, 1.107903985e-03
2.722500000e+00, 7.169179419e-03, 1.182968484e-05, 6.677745455e-01, 1.101878186e-03
2.777500000e+00, 6.776201377e-03, 1.127316107e-05, 6.569290909e-01, 1.092893649e-03
2.832500000e+00, 6.403570429e-03, 1.074603071e-05, 6.456327273e-01, 1.083456361e-03
2.887500000e+00, 6.069690484e-03, 1.026286079e-05, 6.359654545e-01, 1.075314292e-03
2.942500000e+00, 5.695223267e-03, 9.755427524e-06, 6.196781818e-01, 1.061455417e-03
2.997500000e+00, 5.380179330e-03, 9.307795118e-06, 6.074872727e-01, 1.050962565e-03
3.052500000e+00, 5.056376808e-03, 8.860778726e-06, 5.920690909e-01, 1.037540002e-03
3.107500000e+00, 4.729644743e-03, 8.418043736e-06, 5.739472727e-01, 1.021538299e-03
3.162500000e+00, 4.432511413e-03, 8.007605095e-06, 5.570981818e-01, 1.006432206e-03
3.217500000e+00, 4.141422311e-03, 7.607897268e-06, 5.387745455e-01, 9.897424325e-04
3.272500000e+00, 3.890186940e-03, 7.249602464e-06, 5.235400000e-01, 9.756489682e-04
3.327500000e+00, 3.657408482e-03, 6.913173384e-06, 5.088963636e-01, 9.619075401e-04
3.382500000e+00, 3.402409347e-03, 6.559404525e-06, 4.891945455e-01, 9.431037208e-04
3.437500000e+00, 3.180962441e-03, 6.240877451e-06, 4.723490909e-01, 9.267235450e-04
3.492500000e+00, 2.978547025e-03, 5.943948683e-06, 4.565581818e-01, 9.111014132e-04
3.547500000e+00, 2.779469923e-03, 5.652856474e-06, 4.395672727e-01, 8.939872612e-04
3.602500000e+00, 2.578471021e-03, 5.361504112e-06, 4.205218182e-01, 8.744055832e-04
3.657500000e+00, 2.406633101e-03, 5.101879999e-06, 4.045727273e-01, 8.576635569e-04
3.712500000e+00, 2.215689878e-03, 4.822783609e-06, 3.837600000e-01, 8.353115913e-04
3.767500000e+00, 2.059334645e-03, 4.581630579e-06, 3.673254545e-01, 8.172297491e-04
3.822500000e+00, 1.904094247e-03, 4.342168808e-06, 3.496236364e-01, 7.972950137e-04
3.877500000e+00, 1.767894893e-03, 4.124644249e-06, 3.340236364e-01, 7.793046275e-04
3.932500000e+00, 1.634138240e-03, 3.910081851e-06, 3.175727273e-01, 7.598716725e-04
3.987500000e+00, 1.505235874e-03, 3.700938468e-06, 3.007618182e-01, 7.394860847e-04
4.042500000e+00, 1.402899750e-03, 3.524306444e-06, 2.881000000e-01, 7.237528458e-04
4.097500000e+00, 1.303996615e-03, 3.352198541e-06, 2.751254545e-01, 7.072680533e-04
4.152500000e+00, 1.189198656e-03, 3.158843517e-06, 2.576854545e-01, 6.844844836e-04
4.207500000e+00, 1.087249292e-03, 2.980925164e-06, 2.418763636e-01, 6.631554920e-04
4.262500000e+00, 1.009904682e-03, 2.835871260e-06, 2.305818182e-01, 6.474871963e-04
