#                 r,             density,       density error,           density A,     density error A,           density B,     density error B,  radial probability,   probability error, radial probability A,probability error A, radial probability B,probability error B
 2.750000000000e-02,  3.529867708545e-02,  2.250561451162e-03,  1.535348962660e-02,  1.484277865621e-03,  1.994518745885e-02,  1.691728720299e-03,  4.472727272727e-04,  2.851706752974e-05,  1.945454545455e-04,  1.880741896871e-05,  2.527272727273e-04,  2.143604749555e-05
 8.250000000000e-02,  3.550366359581e-02,  8.530985937042e-04,  1.723936552199e-02,  5.944608800685e-04,  1.826429807383e-02,  6.118770077788e-04,  3.149090909091e-03,  7.566782562431e-05,  1.529090909091e-03,  5.272727272727e-05,  1.620000000000e-03,  5.427204202400e-05
 1.375000000000e-01,  3.397705353175e-02,  5.065562963078e-04,  1.677329092999e-02,  3.559131223526e-04,  1.720376260176e-02,  3.604512875082e-04,  8.180000000000e-03,  1.219537915472e-04,  4.038181818182e-03,  8.568633940326e-05,  4.141818181818e-03,  8.677890591841e-05
 1.925000000000e-01,  3.376681843364e-02,  3.618727413268e-04,  1.620279860064e-02,  2.506719941635e-04,  1.756401983300e-02,  2.609893336086e-04,  1.583090909091e-02,  1.696569216813e-04,  7.596363636364e-03,  1.175226371723e-04,  8.234545454545e-03,  1.223597189701e-04
 2.475000000000e-01,  3.227596616616e-02,  2.755410882817e-04,  1.615327306049e-02,  1.949292495858e-04,  1.612269310567e-02,  1.947446507285e-04,  2.494727272727e-02,  2.129757678374e-04,  1.248545454545e-02,  1.506679343665e-04,  1.246181818182e-02,  1.505252511696e-04
 3.025000000000e-01,  3.296498450587e-02,  2.279908422285e-04,  1.654556502535e-02,  1.615220308056e-04,  1.641941948051e-02,  1.609051201936e-04,  3.801090909091e-02,  2.628892234415e-04,  1.907818181818e-02,  1.862460826589e-04,  1.893272727273e-02,  1.855347420185e-04
 3.575000000000e-01,  3.246502104133e-02,  1.915215487272e-04,  1.625736715263e-02,  1.355298343620e-04,  1.620765388870e-02,  1.353224579464e-04,  5.224363636364e-02,  3.082019301563e-04,  2.616181818182e-02,  2.180984689281e-04,  2.608181818182e-02,  2.177647528947e-04
 4.125000000000e-01,  3.289754515689e-02,  1.671283227174e-04,  1.655405559087e-02,  1.185551743226e-04,  1.634348956602e-02,  1.177987559173e-04,  7.044727272727e-02,  3.578909755962e-04,  3.544909090909e-02,  2.538757423662e-04,  3.499818181818e-02,  2.522559371972e-04
 4.675000000000e-01,  3.122209051634e-02,  1.436854470076e-04,  1.545664412859e-02,  1.010972630038e-04,  1.576544638776e-02,  1.021021600894e-04,  8.584909090909e-02,  3.950813285874e-04,  4.250000000000e-02,  2.779797245713e-04,  4.334909090909e-02,  2.807428163384e-04
 5.225000000000e-01,  3.115439445940e-02,  1.284359708384e-04,  1.557428505972e-02,  9.080945628606e-05,  1.558010939968e-02,  9.082643477668e-05,  1.069800000000e-01,  4.410318479533e-04,  5.348000000000e-02,  3.118274581180e-04,  5.350000000000e-02,  3.118857599711e-04
 5.775000000000e-01,  3.085046981045e-02,  1.156454513034e-04,  1.549437914656e-02,  8.195675482808e-05,  1.535609066389e-02,  8.159020005619e-05,  1.293909090909e-01,  4.850321621780e-04,  6.498545454545e-02,  3.437373588960e-04,  6.440545454545e-02,  3.421999801962e-04
 6.325000000000e-01,  3.049156269872e-02,  1.049799227933e-04,  1.534300794861e-02,  7.446833825130e-05,  1.514855475011e-02,  7.399493758205e-05,  1.533854545455e-01,  5.280934052117e-04,  7.718181818182e-02,  3.746072323279e-04,  7.620363636364e-02,  3.722258267715e-04
 6.875000000000e-01,  3.000421206765e-02,  9.581121618276e-05,  1.511301291443e-02,  6.799872451046e-05,  1.489119915321e-02,  6.749787116177e-05,  1.783072727273e-01,  5.693812793922e-04,  8.981272727273e-02,  4.040988341589e-04,  8.849454545455e-02,  4.011223922367e-04
 7.425000000000e-01,  2.951026275921e-02,  8.798416892819e-05,  1.467249970586e-02,  6.203975194288e-05,  1.483776305334e-02,  6.238816523068e-05,  2.045381818182e-01,  6.098258794982e-04,  1.016963636364e-01,  4.300028829425e-04,  1.028418181818e-01,  4.324177655543e-04
 7.975000000000e-01,  2.919043642220e-02,  8.147366923031e-05,  1.461898170276e-02,  5.765746482902e-05,  1.457145471945e-02,  5.756366499226e-05,  2.333909090909e-01,  6.514193023223e-04,  1.168854545455e-01,  4.609978397612e-04,  1.165054545455e-01,  4.602478671038e-04
 8.525000000000e-01,  2.834505701528e-02,  7.510739446070e-05,  1.420437107236e-02,  5.316857654796e-05,  1.414068594292e-02,  5.304925230896e-05,  2.589563636364e-01,  6.861703520746e-04,  1.297690909091e-01,  4.857404673824e-04,  1.291872727273e-01,  4.846503382989e-04
 9.075000000000e-01,  2.779343597981e-02,  6.986694485886e-05,  1.383375426313e-02,  4.929134414201e-05,  1.395968171668e-02,  4.951518329346e-05,  2.877254545455e-01,  7.232822340433e-04,  1.432109090909e-01,  5.102778371381e-04,  1.445145454545e-01,  5.125950828951e-04
 9.625000000000e-01,  2.741341035787e-02,  6.542375080431e-05,  1.373199948827e-02,  4.630424365256e-05,  1.368141086960e-02,  4.621887265034e-05,  3.192218181818e-01,  7.618420477928e-04,  1.599054545455e-01,  5.392005100912e-04,  1.593163636364e-01,  5.382063876456e-04
 1.017500000000e+00,  2.670740701165e-02,  6.108608635738e-05,  1.329110976712e-02,  4.309303297295e-05,  1.341629724453e-02,  4.329550156371e-05,  3.475490909091e-01,  7.949260582070e-04,  1.729600000000e-01,  5.607786794028e-04,  1.745890909091e-01,  5.634134456541e-04
 1.072500000000e+00,  2.607302653291e-02,  5.726174283472e-05,  1.304720274706e-02,  4.050676351302e-05,  1.302582378585e-02,  4.047356300315e-05,  3.769563636364e-01,  8.278739074349e-04,  1.886327272727e-01,  5.856352064565e-04,  1.883236363636e-01,  5.851552029763e-04
 1.127500000000e+00,  2.535913966600e-02,  5.371819057467e-05,  1.272878447694e-02,  3.805814219066e-05,  1.263035518906e-02,  3.791070840293e-05,  4.051945454545e-01,  8.583224075905e-04,  2.033836363636e-01,  6.081023184893e-04,  2.018109090909e-01,  6.057465853142e-04
 1.182500000000e+00,  2.480017546286e-02,  5.065249091410e-05,  1.240536388025e-02,  3.582433887829e-05,  1.239481158260e-02,  3.580909911931e-05,  4.358581818182e-01,  8.902075159689e-04,  2.180218181818e-01,  6.296056748355e-04,  2.178363636364e-01,  6.293378390837e-04
 1.237500000000e+00,  2.403310968751e-02,  4.764724105119e-05,  1.207342206921e-02,  3.377131454051e-05,  1.195968761830e-02,  3.361187132541e-05,  4.625745454545e-01,  9.170848532710e-04,  2.323818181818e-01,  6.500095358487e-04,  2.301927272727e-01,  6.469406706994e-04
 1.292500000000e+00,  2.330989814217e-02,  4.492836297557e-05,  1.164377811038e-02,  3.175392153226e-05,  1.166612003179e-02,  3.178437142666e-05,  4.894145454545e-01,  9.433157626687e-04,  2.444727272727e-01,  6.667052330443e-04,  2.449418181818e-01,  6.673445589278e-04
 1.347500000000e+00,  2.244037750449e-02,  4.228339828813e-05,  1.119688448351e-02,  2.986781162165e-05,  1.124349302098e-02,  2.992991145536e-05,  5.121036363636e-01,  9.649339462684e-04,  2.555200000000e-01,  6.816023900940e-04,  2.565836363636e-01,  6.830195476554e-04
 1.402500000000e+00,  2.194361156024e-02,  4.017326040258e-05,  1.097287221430e-02,  2.840816535643e-05,  1.097073934594e-02,  2.840540428256e-05,  5.424745454545e-01,  9.931351143585e-04,  2.712636363636e-01,  7.022867018321e-04,  2.712109090909e-01,  7.022184445040e-04
 1.457500000000e+00,  2.111034168008e-02,  3.791639374789e-05,  1.054727102768e-02,  2.680090419629e-05,  1.056307065240e-02,  2.682097032373e-05,  5.636036363636e-01,  1.012291402857e-03,  2.815909090909e-01,  7.155302027688e-04,  2.820127272727e-01,  7.160659279865e-04
 1.512500000000e+00,  2.062887032113e-02,  3.611870211629e-05,  1.029381906463e-02,  2.551424246351e-05,  1.033505125650e-02,  2.556529041647e-05,  5.930945454545e-01,  1.038438115156e-03,  2.959545454545e-01,  7.335524340862e-04,  2.971400000000e-01,  7.350200986739e-04
 1.567500000000e+00,  1.983072474104e-02,  3.417064603485e-05,  9.872468291338e-03,  2.410997556792e-05,  9.958256449699e-03,  2.421450244282e-05,  6.123618181818e-01,  1.055170661062e-03,  3.048563636364e-01,  7.445027182762e-04,  3.075054545455e-01,  7.477304503939e-04
