#                 r,             density,       density error,           density A,     density error A,           density B,     density error B,  radial probability,   probability error,      radial prob. A,      prob. error A,      radial prob. B,      prob. error B
 2.750000000000e-02,  3.300282816932e-02,  2.176142046169e-03,  1.664490464192e-02,  1.545440598203e-03,  1.635792352740e-02,  1.532059908270e-03,  4.181818181818e-04,  2.757409252382e-05,  2.109090909091e-04,  1.958241748049e-05,  2.072727272727e-04,  1.941286954915e-05
 8.250000000000e-02,  3.171141315400e-02,  8.062513206991e-04,  1.592745185563e-02,  5.713941524855e-04,  1.578396129837e-02,  5.688144817375e-04,  2.812727272727e-03,  7.151258341563e-05,  1.412727272727e-03,  5.068130859915e-05,  1.400000000000e-03,  5.045249791095e-05
 1.375000000000e-01,  3.521560360493e-02,  5.157062906164e-04,  1.760402573517e-02,  3.646203117247e-04,  1.761157786976e-02,  3.646985144734e-04,  8.478181818182e-03,  1.241566592377e-04,  4.238181818182e-03,  8.778260148781e-05,  4.240000000000e-03,  8.780142885563e-05
 1.925000000000e-01,  3.285933761206e-02,  3.569769719683e-04,  1.673410147481e-02,  2.547487127427e-04,  1.612523613725e-02,  2.500712935777e-04,  1.540545454545e-02,  1.673616364504e-04,  7.845454545455e-03,  1.194339265448e-04,  7.560000000000e-03,  1.172410105102e-04
 2.475000000000e-01,  3.305222655788e-02,  2.788348829051e-04,  1.652023251840e-02,  1.971309529843e-04,  1.653199403948e-02,  1.972011138411e-04,  2.554727272727e-02,  2.155216619666e-04,  1.276909090909e-02,  1.523697113130e-04,  1.277818181818e-02,  1.524239412010e-04
 3.025000000000e-01,  3.257866377479e-02,  2.266509787123e-04,  1.592902867494e-02,  1.584840686396e-04,  1.664963509985e-02,  1.620292138432e-04,  3.756545454545e-02,  2.613442680571e-04,  1.836727272727e-02,  1.827431019828e-04,  1.919818181818e-02,  1.868308998104e-04
 3.575000000000e-01,  3.222097410930e-02,  1.908003353126e-04,  1.645170082073e-02,  1.363374610887e-04,  1.576927328857e-02,  1.334798286607e-04,  5.185090909091e-02,  3.070413329917e-04,  2.647454545455e-02,  2.193981248554e-04,  2.537636363636e-02,  2.147995413757e-04
 4.125000000000e-01,  3.167150749606e-02,  1.639844533656e-04,  1.572367828319e-02,  1.155434639652e-04,  1.594782921287e-02,  1.163641219643e-04,  6.782181818182e-02,  3.511586488956e-04,  3.367090909091e-02,  2.474264228225e-04,  3.415090909091e-02,  2.491837915746e-04
 4.675000000000e-01,  3.161156488604e-02,  1.445788586392e-04,  1.584479600467e-02,  1.023587845561e-04,  1.576676888137e-02,  1.021064424491e-04,  8.692000000000e-02,  3.975378769833e-04,  4.356727272727e-02,  2.814484378008e-04,  4.335272727273e-02,  2.807545912285e-04
 5.225000000000e-01,  3.134395025091e-02,  1.288261062013e-04,  1.551021732013e-02,  9.062248294419e-05,  1.583373293078e-02,  9.156271743468e-05,  1.076309090909e-01,  4.423715203124e-04,  5.326000000000e-02,  3.111854168118e-04,  5.437090909091e-02,  3.144140555813e-04
 5.775000000000e-01,  3.089251991333e-02,  1.157242385506e-04,  1.559408557608e-02,  8.222002808834e-05,  1.529843433726e-02,  8.143688580283e-05,  1.295672727273e-01,  4.853626062071e-04,  6.540363636364e-02,  3.448415614153e-04,  6.416363636364e-02,  3.415569601469e-04
 6.325000000000e-01,  3.046409347365e-02,  1.049326250060e-04,  1.528228650373e-02,  7.432083432387e-05,  1.518180696993e-02,  7.407610529761e-05,  1.532472727273e-01,  5.278554773408e-04,  7.687636363636e-02,  3.738652251970e-04,  7.637090909091e-02,  3.726341347047e-04
 6.875000000000e-01,  2.997637061624e-02,  9.576675338514e-05,  1.494015115569e-02,  6.760872338157e-05,  1.503621946055e-02,  6.782574420266e-05,  1.781418181818e-01,  5.691170484848e-04,  8.878545454545e-02,  4.017811583108e-04,  8.935636363636e-02,  4.030708569253e-04
 7.425000000000e-01,  2.948193189964e-02,  8.794192488409e-05,  1.471315973580e-02,  6.212565390376e-05,  1.476877216384e-02,  6.224295365220e-05,  2.043418181818e-01,  6.095330823773e-04,  1.019781818182e-01,  4.305982768580e-04,  1.023636363636e-01,  4.314112915529e-04
 7.975000000000e-01,  2.872767369000e-02,  8.082527874272e-05,  1.429493408930e-02,  5.701485972011e-05,  1.443273960070e-02,  5.728901687875e-05,  2.296909090909e-01,  6.462351233961e-04,  1.142945454545e-01,  4.558599175874e-04,  1.153963636364e-01,  4.580519296411e-04
 8.525000000000e-01,  2.839421397456e-02,  7.517249314433e-05,  1.417193145955e-02,  5.310782926460e-05,  1.422228251501e-02,  5.320208827044e-05,  2.594054545455e-01,  6.867650842841e-04,  1.294727272727e-01,  4.851854889397e-04,  1.299327272727e-01,  4.860466256585e-04
 9.075000000000e-01,  2.765240425707e-02,  6.968945713802e-05,  1.378053805891e-02,  4.919644489383e-05,  1.387186619817e-02,  4.935919616444e-05,  2.862654545455e-01,  7.214448313129e-04,  1.426600000000e-01,  5.092954134702e-04,  1.436054545455e-01,  5.109802603294e-04
 9.625000000000e-01,  2.728209854215e-02,  6.526687094421e-05,  1.368297224672e-02,  4.622150991605e-05,  1.359912629542e-02,  4.607967517169e-05,  3.176927272727e-01,  7.600152238580e-04,  1.593345454545e-01,  5.382370978981e-04,  1.583581818182e-01,  5.365854703047e-04
 1.017500000000e+00,  2.654673111988e-02,  6.090205748102e-05,  1.321342646640e-02,  4.296691427650e-05,  1.333330465348e-02,  4.316138184740e-05,  3.454581818182e-01,  7.925312518279e-04,  1.719490909091e-01,  5.591374703450e-04,  1.735090909091e-01,  5.616681176461e-04
 1.072500000000e+00,  2.602938830034e-02,  5.721380348866e-05,  1.300595392779e-02,  4.044268162141e-05,  1.302343437254e-02,  4.046985066575e-05,  3.763254545455e-01,  8.271808140749e-04,  1.880363636364e-01,  5.847087287878e-04,  1.882890909091e-01,  5.851015310635e-04
 1.127500000000e+00,  2.559628028561e-02,  5.396877325681e-05,  1.285645807349e-02,  3.824853335734e-05,  1.273982221212e-02,  3.807463962873e-05,  4.089836363636e-01,  8.623262790674e-04,  2.054236363636e-01,  6.111444351879e-04,  2.035600000000e-01,  6.083659185959e-04
 1.182500000000e+00,  2.454940321282e-02,  5.039574852004e-05,  1.230791030784e-02,  3.568334771396e-05,  1.224149290498e-02,  3.558693812089e-05,  4.314509090909e-01,  8.856953191403e-04,  2.163090909091e-01,  6.271277829903e-04,  2.151418181818e-01,  6.254334034482e-04
