#                 r,            density,      density error,          density A,    density error A,          density B,    density error B, radial probability,  probability error,     radial prob. A,      prob. error A,     radial prob. B,      prob. error B
 2.750000000000e-02, 1.069004651571e-01, 3.916530009655e-03, 5.093914782656e-02, 2.703569253390e-03, 5.596131733058e-02, 2.833711454727e-03, 1.354545454545e-03, 4.962670568711e-05, 6.454545454545e-04, 3.425717032985e-05, 7.090909090909e-04, 3.590621392388e-05
 8.250000000000e-02, 8.271205693367e-02, 1.302108133614e-03, 4.032084658947e-02, 9.091330836284e-04, 4.239121034419e-02, 9.321816496129e-04, 7.336363636364e-03, 1.154939088230e-04, 3.576363636364e-03, 8.063795222377e-05, 3.760000000000e-03, 8.268230546111e-05
 1.375000000000e-01, 9.206807281743e-02, 8.338527913195e-04, 4.387034984796e-02, 5.755995019740e-04, 4.819772296947e-02, 6.033205540329e-04, 2.216545454545e-02, 2.007506573994e-04, 1.056181818182e-02, 1.385759928167e-04, 1.160363636364e-02, 1.452498559764e-04
 1.925000000000e-01, 8.729655253718e-02, 5.818477317820e-04, 4.533138172399e-02, 4.192859188580e-04, 4.196517081318e-02, 4.034180229331e-04, 4.092727272727e-02, 2.727878720554e-04, 2.125272727273e-02, 1.965739614345e-04, 1.967454545455e-02, 1.891346103347e-04
 2.475000000000e-01, 8.800910998766e-02, 4.549991215250e-04, 4.476905386447e-02, 3.245156917806e-04, 4.324005612319e-02, 3.189259575148e-04, 6.802545454545e-02, 3.516854341995e-04, 3.460363636364e-02, 2.508300270688e-04, 3.342181818182e-02, 2.465095173594e-04
 3.025000000000e-01, 8.411542612003e-02, 3.641906481765e-04, 4.211526696485e-02, 2.576978195836e-04, 4.200015915518e-02, 2.573454137945e-04, 9.699090909091e-02, 4.199370279435e-04, 4.856181818182e-02, 2.971434247565e-04, 4.842909090909e-02, 2.967370764869e-04
 3.575000000000e-01, 8.830205521208e-02, 3.158604185570e-04, 4.343357481975e-02, 2.215249200285e-04, 4.486848039233e-02, 2.251544221582e-04, 1.420981818182e-01, 5.082915802751e-04, 6.989454545455e-02, 3.564842096581e-04, 7.220363636364e-02, 3.623249078424e-04
 4.125000000000e-01, 8.667593809274e-02, 2.712798796869e-04, 4.317792188635e-02, 1.914693120886e-04, 4.349801620639e-02, 1.921777189252e-04, 1.856090909091e-01, 5.809226061879e-04, 9.246181818182e-02, 4.100151176411e-04, 9.314727272727e-02, 4.115321101517e-04
 4.675000000000e-01, 8.744526158275e-02, 2.404639267434e-04, 4.377718365301e-02, 1.701397159338e-04, 4.366807792975e-02, 1.699275643527e-04, 2.404418181818e-01, 6.611860117613e-04, 1.203709090909e-01, 4.678206903795e-04, 1.200709090909e-01, 4.672373527466e-04
 5.225000000000e-01, 8.583806339639e-02, 2.131900694735e-04, 4.246843957928e-02, 1.499547294675e-04, 4.336962381711e-02, 1.515374040705e-04, 2.947563636364e-01, 7.320660224031e-04, 1.458309090909e-01, 5.149243706002e-04, 1.489254545455e-01, 5.203590623012e-04
 5.775000000000e-01, 8.489915771922e-02, 1.918445009464e-04, 4.264270587852e-02, 1.359627817997e-04, 4.225645184070e-02, 1.353456113387e-04, 3.560781818182e-01, 8.046209517736e-04, 1.788490909091e-01, 5.702457060682e-04, 1.772290909091e-01, 5.676572123595e-04
 6.325000000000e-01, 8.331632825126e-02, 1.735327578847e-04, 4.131660599815e-02, 1.222021162906e-04, 4.199972225311e-02, 1.232082011604e-04, 4.191163636364e-01, 8.729431551173e-04, 2.078400000000e-01, 6.147283213672e-04, 2.112763636364e-01, 6.197893537124e-04
 6.875000000000e-01, 8.218490505700e-02, 1.585700885225e-04, 4.100709247418e-02, 1.120094664619e-04, 4.117781258282e-02, 1.122423823560e-04, 4.884036363636e-01, 9.423410272137e-04, 2.436945454545e-01, 6.656432916627e-04, 2.447090909091e-01, 6.670274505856e-04
 7.425000000000e-01, 8.154985462177e-02, 1.462613553396e-04, 4.099501611809e-02, 1.037011395274e-04, 4.055483850368e-02, 1.031428995448e-04, 5.652290909091e-01, 1.013750095536e-03, 2.841400000000e-01, 7.187615611718e-04, 2.810890909091e-01, 7.148923516028e-04
 7.975000000000e-01, 8.060121565249e-02, 1.353841359337e-04, 4.024785060076e-02, 9.566835966723e-05, 4.035336505173e-02, 9.579368048617e-05, 6.444436363636e-01, 1.082458175857e-03, 3.218000000000e-01, 7.649123538621e-04, 3.226436363636e-01, 7.659143512093e-04
