#                 r,           dens_tot,           dens_err,             dens_A,         dens_err_A,             dens_B,         dens_err_B,         dens_alike,     dens_alike_err,        dens_unlike,    dens_unlike_err,           prob_tot,           prob_err,             prob_A,         prob_err_A,             prob_B,         prob_err_B,         prob_alike,     prob_alike_err,        prob_unlike,    prob_unlike_err
 2.750000000000e-02, 1.013043334241e-01, 3.812638883459e-03, 4.706490278059e-02, 2.598724519313e-03, 5.423943064349e-02, 2.789775282776e-03, 0.000000000000e+00, 0.000000000000e+00, 0.000000000000e+00, 0.000000000000e+00, 1.283636363636e-03, 4.831029183850e-05, 5.963636363636e-04, 3.292867322959e-05, 6.872727272727e-04, 3.534949471859e-05, 0.000000000000e+00, 0.000000000000e+00, 0.000000000000e+00, 0.000000000000e+00
 8.250000000000e-02, 9.904948181003e-02, 1.424914300231e-03, 4.866379756147e-02, 9.987703461458e-04, 5.038568424856e-02, 1.016286651818e-03, 0.000000000000e+00, 0.000000000000e+00, 0.000000000000e+00, 0.000000000000e+00, 8.785454545455e-03, 1.263865250690e-04, 4.316363636364e-03, 8.858856520058e-05, 4.469090909091e-03, 9.014222004539e-05, 0.000000000000e+00, 0.000000000000e+00, 0.000000000000e+00, 0.000000000000e+00
 1.375000000000e-01, 9.675794839938e-02, 8.548269118415e-04, 4.712531985733e-02, 5.965708325741e-04, 4.963262854205e-02, 6.122354865002e-04, 0.000000000000e+00, 0.000000000000e+00, 0.000000000000e+00, 0.000000000000e+00, 2.329454545455e-02, 2.058001919539e-04, 1.134545454545e-02, 1.436248556955e-04, 1.194909090909e-02, 1.473961323601e-04, 0.000000000000e+00, 0.000000000000e+00, 0.000000000000e+00, 0.000000000000e+00
 1.925000000000e-01, 9.510709259981e-02, 6.073195364552e-04, 4.792972424731e-02, 4.311349836114e-04, 4.717736835250e-02, 4.277378230488e-04, 0.000000000000e+00, 0.000000000000e+00, 0.000000000000e+00, 0.000000000000e+00, 4.458909090909e-02, 2.847298269942e-04, 2.247090909091e-02, 2.021291625350e-04, 2.211818181818e-02, 2.005364705809e-04, 0.000000000000e+00, 0.000000000000e+00, 0.000000000000e+00, 0.000000000000e+00
 2.475000000000e-01, 9.965301586351e-02, 4.841634119661e-04, 5.061688214878e-02, 3.450598576295e-04, 4.903613371473e-02, 3.396290684546e-04, 0.000000000000e+00, 0.000000000000e+00, 0.000000000000e+00, 0.000000000000e+00, 7.702545454545e-02, 3.742275791437e-04, 3.912363636364e-02, 2.667093629731e-04, 3.790181818182e-02, 2.625117077279e-04, 0.000000000000e+00, 0.000000000000e+00, 0.000000000000e+00, 0.000000000000e+00
 3.025000000000e-01, 9.722510186775e-02, 3.915436349795e-04, 4.906746330496e-02, 2.781555745582e-04, 4.815763856279e-02, 2.755646828517e-04, 0.000000000000e+00, 0.000000000000e+00, 0.000000000000e+00, 0.000000000000e+00, 1.121072727273e-01, 4.514769152002e-04, 5.657818181818e-02, 3.207326324021e-04, 5.552909090909e-02, 3.177451549136e-04, 0.000000000000e+00, 0.000000000000e+00, 0.000000000000e+00, 0.000000000000e+00
 3.575000000000e-01, 9.512068129910e-02, 3.278289304029e-04, 4.791680734888e-02, 2.326771510107e-04, 4.720387395022e-02, 2.309397129267e-04, 0.000000000000e+00, 0.000000000000e+00, 0.000000000000e+00, 0.000000000000e+00, 1.530709090909e-01, 5.275516503639e-04, 7.710909090909e-02, 3.744306973359e-04, 7.596181818182e-02, 3.716347624943e-04, 0.000000000000e+00, 0.000000000000e+00, 0.000000000000e+00, 0.000000000000e+00
 4.125000000000e-01, 9.502725833646e-02, 2.840484400454e-04, 4.736207257373e-02, 2.005319875396e-04, 4.766518576273e-02, 2.011726578481e-04, 0.000000000000e+00, 0.000000000000e+00, 0.000000000000e+00, 0.000000000000e+00, 2.034927272727e-01, 6.082653835782e-04, 1.014218181818e-01, 4.294220601985e-04, 1.020709090909e-01, 4.307940007409e-04, 0.000000000000e+00, 0.000000000000e+00, 0.000000000000e+00, 0.000000000000e+00
 4.675000000000e-01, 9.585499848232e-02, 2.517614182967e-04, 4.846740725960e-02, 1.790221168599e-04, 4.738759122272e-02, 1.770166472900e-04, 0.000000000000e+00, 0.000000000000e+00, 0.000000000000e+00, 0.000000000000e+00, 2.635654545455e-01, 6.922498951646e-04, 1.332672727273e-01, 4.922439763282e-04, 1.302981818182e-01, 4.867296838328e-04, 0.000000000000e+00, 0.000000000000e+00, 0.000000000000e+00, 0.000000000000e+00
 5.225000000000e-01, 9.544981279087e-02, 2.248094463906e-04, 4.792478715324e-02, 1.592968221480e-04, 4.752502563763e-02, 1.586310487893e-04, 0.000000000000e+00, 0.000000000000e+00, 0.000000000000e+00, 0.000000000000e+00, 3.277618181818e-01, 7.719653998156e-04, 1.645672727273e-01, 5.470038602611e-04, 1.631945454545e-01, 5.447176841006e-04, 0.000000000000e+00, 0.000000000000e+00, 0.000000000000e+00, 0.000000000000e+00
