# r, density, density error estimate, radial probability, probability error estimate
3.500000000e-02, 6.890527420e-01, 6.925240624e-02, 1.414285714e-02, 1.421410624e-03
1.050000000e-01, 4.901919218e-01, 2.207713383e-02, 7.042857143e-02, 3.171943330e-03
1.750000000e-01, 4.879416546e-01, 1.336951898e-02, 1.902857143e-01, 5.213796455e-03
2.450000000e-01, 4.913474644e-01, 9.613956060e-03, 3.731428571e-01, 7.301104194e-03
3.150000000e-01, 5.026125730e-01, 7.572868090e-03, 6.292857143e-01, 9.481453432e-03
3.850000000e-01, 4.664051083e-01, 5.972684694e-03, 8.711428571e-01, 1.115567029e-02
4.550000000e-01, 4.402966459e-01, 4.912238713e-03, 1.147714286e+00, 1.280465477e-02
5.250000000e-01, 4.103181201e-01, 4.110793217e-03, 1.423285714e+00, 1.425926122e-02
5.950000000e-01, 3.871371129e-01, 3.523799356e-03, 1.724285714e+00, 1.569479311e-02
6.650000000e-01, 3.350621369e-01, 2.933503879e-03, 1.863714286e+00, 1.631701253e-02
7.350000000e-01, 3.102829583e-01, 2.554309980e-03, 2.108000000e+00, 1.735346816e-02
8.050000000e-01, 2.879424531e-01, 2.246809399e-03, 2.346285714e+00, 1.830802211e-02
8.750000000e-01, 2.456227937e-01, 1.909222515e-03, 2.364428571e+00, 1.837866998e-02
9.450000000e-01, 2.160439220e-01, 1.658005621e-03, 2.425571429e+00, 1.861478456e-02
1.015000000e+00, 1.908685692e-01, 1.450979126e-03, 2.472000000e+00, 1.879209560e-02
1.085000000e+00, 1.700356547e-01, 1.281182512e-03, 2.516285714e+00, 1.895967794e-02
1.155000000e+00, 1.395859350e-01, 1.090481838e-03, 2.340714286e+00, 1.828627231e-02
1.225000000e+00, 1.222604545e-01, 9.622632118e-04, 2.306142857e+00, 1.815072945e-02
1.295000000e+00, 9.775355060e-02, 8.139349249e-04, 2.060571429e+00, 1.715713691e-02
1.365000000e+00, 8.546745251e-02, 7.220482052e-04, 2.001571429e+00, 1.690972429e-02
1.435000000e+00, 6.954057222e-02, 6.195412420e-04, 1.799857143e+00, 1.603503817e-02
1.505000000e+00, 5.584662752e-02, 5.293816470e-04, 1.589857143e+00, 1.507058224e-02
1.575000000e+00, 4.538058901e-02, 4.559999685e-04, 1.414857143e+00, 1.421697749e-02
1.645000000e+00, 3.638420933e-02, 3.909343679e-04, 1.237428571e+00, 1.329569518e-02
1.715000000e+00, 2.833904709e-02, 3.309362949e-04, 1.047571429e+00, 1.223327680e-02
1.785000000e+00, 2.269622698e-02, 2.845488493e-04, 9.088571429e-01, 1.139459234e-02
1.855000000e+00, 1.702539314e-02, 2.371509901e-04, 7.362857143e-01, 1.025590920e-02
1.925000000e+00, 1.275154475e-02, 1.977756347e-04, 5.938571429e-01, 9.210685897e-03
1.995000000e+00, 1.066153486e-02, 1.744981136e-04, 5.332857143e-01, 8.728325926e-03
2.065000000e+00, 7.650543619e-03, 1.428076088e-04, 4.100000000e-01, 7.653197278e-03
2.135000000e+00, 5.316730348e-03, 1.151465776e-04, 3.045714286e-01, 6.596226503e-03
2.205000000e+00, 4.161581827e-03, 9.863894922e-05, 2.542857143e-01, 6.027149460e-03
2.275000000e+00, 3.123162834e-03, 8.282183141e-05, 2.031428571e-01, 5.387059324e-03
2.345000000e+00, 2.166383987e-03, 6.691982485e-05, 1.497142857e-01, 4.624689730e-03
2.415000000e+00, 1.680098276e-03, 5.722437438e-05, 1.231428571e-01, 4.194262359e-03
2.485000000e+00, 1.069514620e-03, 4.437094308e-05, 8.300000000e-02, 3.443420227e-03
2.555000000e+00, 8.132049302e-04, 3.763063637e-05, 6.671428571e-02, 3.087168969e-03
2.625000000e+00, 5.988449207e-04, 3.143120693e-05, 5.185714286e-02, 2.721794126e-03
2.695000000e+00, 3.474586402e-04, 2.331989703e-05, 3.171428571e-02, 2.128523489e-03
2.765000000e+00, 2.468236200e-04, 1.915722824e-05, 2.371428571e-02, 1.840585532e-03
2.835000000e+00, 1.386085375e-04, 1.400157669e-05, 1.400000000e-02, 1.414213562e-03
2.905000000e+00, 7.408691288e-05, 9.989877295e-06, 7.857142857e-03, 1.059456927e-03
2.975000000e+00, 9.504512351e-05, 1.104877118e-05, 1.057142857e-02, 1.228903610e-03
3.045000000e+00, 3.065055798e-05, 6.130111596e-06, 3.571428571e-03, 7.142857143e-04
3.115000000e+00, 3.280316509e-05, 6.199215503e-06, 4.000000000e-03, 7.559289460e-04
3.185000000e+00, 1.456797185e-05, 4.040428423e-06, 1.857142857e-03, 5.150787536e-04
3.255000000e+00, 1.072934902e-06, 1.072934902e-06, 1.428571429e-04, 1.428571429e-04
3.325000000e+00, 2.056471770e-06, 1.454145134e-06, 2.857142857e-04, 2.020305089e-04
3.395000000e+00, 4.931365103e-06, 2.205373519e-06, 7.142857143e-04, 3.194382825e-04
3.465000000e+00, 6.627792266e-06, 2.505070011e-06, 1.000000000e-03, 3.779644730e-04
