# r, density, density error estimate, density A, density error estimate A, density B, density error estimate B, radial probability, probability error estimate, radial probability A, probability error estimate A, radial probability B, probability error estimate B
2.750000000e-02, 3.788150712e-02, 2.331445596e-03, 1.879726300e-02, 1.642324494e-03, 1.908424412e-02, 1.654813833e-03, 4.800000000e-04, 2.954195784e-05, 2.381818182e-04, 2.081004208e-05, 2.418181818e-04, 2.096829563e-05
8.250000000e-02, 3.027650758e-02, 7.877991898e-04, 1.336512048e-02, 5.234185139e-04, 1.691138711e-02, 5.887789253e-04, 2.685454545e-03, 6.987592309e-05, 1.185454545e-03, 4.642598304e-05, 1.500000000e-03, 5.222329679e-05
1.375000000e-01, 3.163589181e-02, 4.887929141e-04, 1.639568420e-02, 3.518840915e-04, 1.524020761e-02, 3.392581599e-04, 7.616363636e-03, 1.176772445e-04, 3.947272727e-03, 8.471634733e-05, 3.669090909e-03, 8.167664526e-05
1.925000000e-01, 3.327429679e-02, 3.592239153e-04, 1.667205150e-02, 2.542759706e-04, 1.660224529e-02, 2.537430829e-04, 1.560000000e-02, 1.684150717e-04, 7.816363636e-03, 1.192122907e-04, 7.783636364e-03, 1.189624567e-04
2.475000000e-01, 3.331568463e-02, 2.799439684e-04, 1.680721363e-02, 1.988358104e-04, 1.650847100e-02, 1.970607671e-04, 2.575090909e-02, 2.163789147e-04, 1.299090909e-02, 1.536874579e-04, 1.276000000e-02, 1.523154621e-04
3.025000000e-01, 3.204885249e-02, 2.248004659e-04, 1.632165668e-02, 1.604253828e-04, 1.572719580e-02, 1.574768111e-04, 3.695454545e-02, 2.592104987e-04, 1.882000000e-02, 1.849815716e-04, 1.813454545e-02, 1.815816643e-04
3.575000000e-01, 3.213962513e-02, 1.905593243e-04, 1.599524267e-02, 1.344327916e-04, 1.614438246e-02, 1.350580638e-04, 5.172000000e-02, 3.066534912e-04, 2.574000000e-02, 2.163330765e-04, 2.598000000e-02, 2.173392823e-04
4.125000000e-01, 3.140660185e-02, 1.632972170e-04, 1.554028207e-02, 1.148676556e-04, 1.586631978e-02, 1.160663722e-04, 6.725454545e-02, 3.496869911e-04, 3.327818182e-02, 2.459792372e-04, 3.397636364e-02, 2.485461861e-04
4.675000000e-01, 3.165322343e-02, 1.446740922e-04, 1.584347351e-02, 1.023545128e-04, 1.580974992e-02, 1.022455215e-04, 8.703454545e-02, 3.977997337e-04, 4.356363636e-02, 2.814366919e-04, 4.347090909e-02, 2.811370067e-04
5.225000000e-01, 3.074457272e-02, 1.275884162e-04, 1.514487236e-02, 8.954881112e-05, 1.559970036e-02, 9.088352097e-05, 1.055727273e-01, 4.381214594e-04, 5.200545455e-02, 3.074985722e-04, 5.356727273e-02, 3.120817863e-04
5.775000000e-01, 3.010960769e-02, 1.142484226e-04, 1.514410612e-02, 8.102508334e-05, 1.496550156e-02, 8.054587477e-05, 1.262836364e-01, 4.791728410e-04, 6.351636364e-02, 3.398298067e-04, 6.276727273e-02, 3.378199432e-04
6.325000000e-01, 2.996964742e-02, 1.040775894e-04, 1.501120862e-02, 7.365873195e-05, 1.495843880e-02, 7.352914943e-05, 1.507600000e-01, 5.235542865e-04, 7.551272727e-02, 3.705345703e-04, 7.524727273e-02, 3.698827154e-04
6.875000000e-01, 2.940087864e-02, 9.484302438e-05, 1.467030324e-02, 6.699536927e-05, 1.473057540e-02, 6.713285165e-05, 1.747218182e-01, 5.636275659e-04, 8.718181818e-02, 3.981361535e-04, 8.754000000e-02, 3.989531757e-04
7.425000000e-01, 2.914038765e-02, 8.743104321e-05, 1.444978767e-02, 6.156710471e-05, 1.469059998e-02, 6.207800685e-05, 2.019745455e-01, 6.059921173e-04, 1.001527273e-01, 4.267269241e-04, 1.018218182e-01, 4.302680310e-04
7.975000000e-01, 2.860760552e-02, 8.065619606e-05, 1.430562198e-02, 5.703616987e-05, 1.430198355e-02, 5.702891625e-05, 2.287309091e-01, 6.448832299e-04, 1.143800000e-01, 4.560303020e-04, 1.143509091e-01, 4.559723060e-04
8.525000000e-01, 2.827599845e-02, 7.501584461e-05, 1.415202986e-02, 5.307052658e-05, 1.412396860e-02, 5.301788520e-05, 2.583254545e-01, 6.853339658e-04, 1.292909091e-01, 4.848446970e-04, 1.290345455e-01, 4.843637729e-04
9.075000000e-01, 2.750557671e-02, 6.950419384e-05, 1.378809019e-02, 4.920992359e-05, 1.371748652e-02, 4.908376903e-05, 2.847454545e-01, 7.195269337e-04, 1.427381818e-01, 5.094349487e-04, 1.420072727e-01, 5.081289613e-04
9.625000000e-01, 2.696638809e-02, 6.488813555e-05, 1.348171074e-02, 4.588031677e-05, 1.348467735e-02, 4.588536442e-05, 3.140163636e-01, 7.556049517e-04, 1.569909091e-01, 5.342639952e-04, 1.570254545e-01, 5.343227737e-04
1.017500000e+00, 2.616851404e-02, 6.046665865e-05, 1.306434718e-02, 4.272384157e-05, 1.310416686e-02, 4.278890242e-05, 3.405363636e-01, 7.868653155e-04, 1.700090909e-01, 5.559743142e-04, 1.705272727e-01, 5.568209647e-04
1.072500000e+00, 2.572153126e-02, 5.687445508e-05, 1.287026040e-02, 4.023115546e-05, 1.285127086e-02, 4.020146478e-05, 3.718745455e-01, 8.222746118e-04, 1.860745455e-01, 5.816505440e-04, 1.858000000e-01, 5.812212847e-04
1.127500000e+00, 2.504701072e-02, 5.338657610e-05, 1.257846645e-02, 3.783275481e-05, 1.246854427e-02, 3.766708339e-05, 4.002072727e-01, 8.530237903e-04, 2.009818182e-01, 6.045010237e-04, 1.992254545e-01, 6.018538852e-04
1.182500000e+00, 2.457702540e-02, 5.042409238e-05, 1.229084041e-02, 3.565859443e-05, 1.228618499e-02, 3.565184056e-05, 4.319363636e-01, 8.861934569e-04, 2.160090909e-01, 6.266927490e-04, 2.159272727e-01, 6.265740509e-04
1.237500000e+00, 2.372657456e-02, 4.734240275e-05, 1.188052693e-02, 3.350044883e-05, 1.184604763e-02, 3.345180153e-05, 4.566745455e-01, 9.112175127e-04, 2.286690909e-01, 6.447960790e-04, 2.280054545e-01, 6.438597455e-04
1.292500000e+00, 2.321022546e-02, 4.483220366e-05, 1.162628560e-02, 3.173006052e-05, 1.158393986e-02, 3.167222354e-05, 4.873218182e-01, 9.412968020e-04, 2.441054545e-01, 6.662042473e-04, 2.432163636e-01, 6.649899024e-04
1.347500000e+00, 2.259334911e-02, 4.242727229e-05, 1.130364592e-02, 3.000986745e-05, 1.128970319e-02, 2.999135358e-05, 5.155945455e-01, 9.682172422e-04, 2.579563636e-01, 6.848441941e-04, 2.576381818e-01, 6.844216959e-04
1.402500000e+00, 2.188595057e-02, 4.012044426e-05, 1.091910922e-02, 2.833848518e-05, 1.096684135e-02, 2.840035749e-05, 5.410490909e-01, 9.918294308e-04, 2.699345455e-01, 7.005641174e-04, 2.711145455e-01, 7.020936812e-04
1.457500000e+00, 2.111218043e-02, 3.791804501e-05, 1.051424164e-02, 2.675890700e-05, 1.059793879e-02, 2.686520115e-05, 5.636527273e-01, 1.012335488e-03, 2.807090909e-01, 7.144089622e-04, 2.829436364e-01, 7.172468022e-04
1.512500000e+00, 2.045806027e-02, 3.596885723e-05, 1.021875371e-02, 2.542104381e-05, 1.023930657e-02, 2.544659549e-05, 5.881836364e-01, 1.034129969e-03, 2.937963636e-01, 7.308729073e-04, 2.943872727e-01, 7.316075360e-04
1.567500000e+00, 1.977973466e-02, 3.412668684e-05, 9.896373571e-03, 2.413914797e-05, 9.883361091e-03, 2.412327279e-05, 6.107872727e-01, 1.053813225e-03, 3.055945455e-01, 7.454035459e-04, 3.051927273e-01, 7.449133290e-04
1.622500000e+00, 1.896498923e-02, 3.228379087e-05, 9.502306313e-03, 2.285192227e-05, 9.462682915e-03, 2.280422771e-05, 6.274418182e-01, 1.068083941e-03, 3.143763636e-01, 7.560379544e-04, 3.130654545e-01, 7.544600171e-04
1.677500000e+00, 1.822700243e-02, 3.061183534e-05, 9.111778916e-03, 2.164379091e-05, 9.115223512e-03, 2.164788160e-05, 6.445981818e-01, 1.082587961e-03, 3.222381818e-01, 7.654329515e-04, 3.223600000e-01, 7.655776191e-04
1.732500000e+00, 1.758156974e-02, 2.911059402e-05, 8.802955299e-03, 2.059854251e-05, 8.778614442e-03, 2.057004451e-05, 6.632090909e-01, 1.098105055e-03, 3.320636364e-01, 7.770148429e-04, 3.311454545e-01, 7.759398460e-04
1.787500000e+00, 1.686333268e-02, 2.763263150e-05, 8.408936059e-03, 1.951286620e-05, 8.454396620e-03, 1.956554053e-05, 6.771418182e-01, 1.109579624e-03, 3.376581818e-01, 7.835330031e-04, 3.394836364e-01, 7.856481243e-04
1.842500000e+00, 1.609510610e-02, 2.619009206e-05, 8.068115628e-03, 1.854283611e-05, 8.026990476e-03, 1.849551705e-05, 6.866745455e-01, 1.117362597e-03, 3.442145455e-01, 7.911034244e-04, 3.424600000e-01, 7.890846250e-04
1.897500000e+00, 1.561612034e-02, 2.504974502e-05, 7.797753442e-03, 1.770115013e-05, 7.818366899e-03, 1.772453129e-05, 7.066054545e-01, 1.133462478e-03, 3.528363636e-01, 8.009498493e-04, 3.537690909e-01, 8.020078110e-04
1.952500000e+00, 1.487573173e-02, 2.376005771e-05, 7.447846824e-03, 1.681216681e-05, 7.427884901e-03, 1.678962148e-05, 7.126872727e-01, 1.138329935e-03, 3.568218182e-01, 8.054607018e-04, 3.558654545e-01, 8.043805686e-04
2.007500000e+00, 1.421339127e-02, 2.258881470e-05, 7.111201032e-03, 1.597776632e-05, 7.102190241e-03, 1.596764018e-05, 7.198563636e-01, 1.144040975e-03, 3.601563636e-01, 8.092155165e-04, 3.597000000e-01, 8.087026648e-04
2.062500000e+00, 1.359347710e-02, 2.150166932e-05, 6.797452772e-03, 1.520477500e-05, 6.796024328e-03, 1.520317732e-05, 7.266981818e-01, 1.149464841e-03, 3.633872727e-01, 8.128370884e-04, 3.633109091e-01, 8.127516775e-04
2.117500000e+00, 1.288378707e-02, 2.038918497e-05, 6.472240483e-03, 1.445125017e-05, 6.411546591e-03, 1.438333175e-05, 7.259800000e-01, 1.148896704e-03, 3.647000000e-01, 8.143039415e-04, 3.612800000e-01, 8.104768518e-04
