#                  r,             density,       density error,           density A,     density error A,           density B,     density error B, radial probability, probability error estimate, radial probability A,probability error A, radial probability B,probability error B
 2.750000000000e-02,  3.458122429916e-02,  2.227572478135e-03,  1.607094241289e-02,  1.518561319962e-03,  1.851028188627e-02,  1.629739446311e-03,  4.381818181818e-04,  2.822577217502e-05,  2.036363636364e-04,  1.924182771683e-05,  2.345454545455e-04,  2.065057580291e-05
 8.250000000000e-02,  3.226487673199e-02,  8.132566931024e-04,  1.596844915770e-02,  5.721290648825e-04,  1.629642757429e-02,  5.779747243544e-04,  2.861818181818e-03,  7.213394336319e-05,  1.416363636364e-03,  5.074649358892e-05,  1.445454545455e-03,  5.126498974499e-05
 1.375000000000e-01,  3.268563851643e-02,  4.968363325267e-04,  1.621443297014e-02,  3.499336796194e-04,  1.647120554629e-02,  3.526935797355e-04,  7.869090909091e-03,  1.196137032974e-04,  3.903636363636e-03,  8.424678427784e-05,  3.965454545455e-03,  8.491123220971e-05
 1.925000000000e-01,  3.235130347690e-02,  3.542066339941e-04,  1.567149572646e-02,  2.465278699696e-04,  1.667980775044e-02,  2.543351114055e-04,  1.516727272727e-02,  1.660628179459e-04,  7.347272727273e-03,  1.155797460023e-04,  7.820000000000e-03,  1.192400176878e-04
 2.475000000000e-01,  3.267585788311e-02,  2.772427786322e-04,  1.631322974727e-02,  1.958920088543e-04,  1.636262813584e-02,  1.961883767473e-04,  2.525636363636e-02,  2.142910664424e-04,  1.260909090909e-02,  1.514120861580e-04,  1.264727272727e-02,  1.516411597236e-04
 3.025000000000e-01,  3.116110321462e-02,  2.216651287102e-04,  1.524941955210e-02,  1.550663703840e-04,  1.591168366252e-02,  1.583977590184e-04,  3.593090909091e-02,  2.555952378661e-04,  1.758363636364e-02,  1.788022593087e-04,  1.834727272727e-02,  1.826435810149e-04
 3.575000000000e-01,  3.150465116992e-02,  1.886675189256e-04,  1.602574853658e-02,  1.345609245848e-04,  1.547890263333e-02,  1.322451899784e-04,  5.069818181818e-02,  3.036091441256e-04,  2.578909090909e-02,  2.165392717230e-04,  2.490909090909e-02,  2.128127256494e-04
 4.125000000000e-01,  3.216735652233e-02,  1.652631380861e-04,  1.588669714114e-02,  1.161408812370e-04,  1.628065938119e-02,  1.175721077279e-04,  6.888363636364e-02,  3.538968426062e-04,  3.402000000000e-02,  2.487057406948e-04,  3.486363636364e-02,  2.517705895296e-04
 4.675000000000e-01,  3.143831822244e-02,  1.441821332973e-04,  1.584744099190e-02,  1.023673276254e-04,  1.559087723054e-02,  1.015353032054e-04,  8.644363636364e-02,  3.964470304264e-04,  4.357454545455e-02,  2.814719280514e-04,  4.286909090909e-02,  2.791841715658e-04
 5.225000000000e-01,  3.059049245394e-02,  1.272683020137e-04,  1.525712327449e-02,  8.988005785508e-05,  1.533336917945e-02,  9.010436114540e-05,  1.050436363636e-01,  4.370222302722e-04,  5.239090909091e-02,  3.086360289194e-04,  5.265272727273e-02,  3.094062562473e-04
 5.775000000000e-01,  3.116259428545e-02,  1.162289908199e-04,  1.554033080538e-02,  8.207819437373e-05,  1.562226348007e-02,  8.229427875231e-05,  1.307000000000e-01,  4.874796033029e-04,  6.517818181818e-02,  3.442466922484e-04,  6.552181818182e-02,  3.451529784203e-04
 6.325000000000e-01,  3.066938978731e-02,  1.052855997261e-04,  1.540915095107e-02,  7.462868042291e-05,  1.526023883624e-02,  7.426720385211e-05,  1.542800000000e-01,  5.296310894473e-04,  7.751454545455e-02,  3.754138212561e-04,  7.676545454545e-02,  3.735954412449e-04
 6.875000000000e-01,  2.983685740918e-02,  9.554363917118e-05,  1.494994155618e-02,  6.763087202210e-05,  1.488691585300e-02,  6.748816292953e-05,  1.773127272727e-01,  5.677911384123e-04,  8.884363636364e-02,  4.019127819534e-04,  8.846909090909e-02,  4.010646987233e-04
 7.425000000000e-01,  2.925449805477e-02,  8.760206090773e-05,  1.464731671958e-02,  6.198648844967e-05,  1.460718133519e-02,  6.190150502986e-05,  2.027654545455e-01,  6.071774557820e-04,  1.015218181818e-01,  4.296337090673e-04,  1.012436363636e-01,  4.290446816393e-04
 7.975000000000e-01,  2.908105614005e-02,  8.132087985926e-05,  1.455803801124e-02,  5.753715793545e-05,  1.452301812881e-02,  5.746791241898e-05,  2.325163636364e-01,  6.501976813196e-04,  1.163981818182e-01,  4.600359310437e-04,  1.161181818182e-01,  4.594822814235e-04
 8.525000000000e-01,  2.835421175263e-02,  7.511952237705e-05,  1.408157818216e-02,  5.293826384272e-05,  1.427263357047e-02,  5.329618057116e-05,  2.590400000000e-01,  6.862811509737e-04,  1.286472727273e-01,  4.836363636364e-04,  1.303927272727e-01,  4.869062393833e-04
 9.075000000000e-01,  2.785631189107e-02,  6.994592872648e-05,  1.393316143009e-02,  4.946812702284e-05,  1.392315046098e-02,  4.945035241797e-05,  2.883763636364e-01,  7.240998972221e-04,  1.442400000000e-01,  5.121079431668e-04,  1.441363636364e-01,  5.119239354655e-04
 9.625000000000e-01,  2.734408521378e-02,  6.534097412747e-05,  1.357992135685e-02,  4.604712638986e-05,  1.376416385692e-02,  4.635844099151e-05,  3.184145454545e-01,  7.608781355711e-04,  1.581345454545e-01,  5.362064484617e-04,  1.602800000000e-01,  5.398316235811e-04
 1.017500000000e+00,  2.665151974495e-02,  6.102213926119e-05,  1.337899249401e-02,  4.323526690444e-05,  1.327252725094e-02,  4.306289790195e-05,  3.468218181818e-01,  7.940939012276e-04,  1.741036363636e-01,  5.626295993953e-04,  1.727181818182e-01,  5.603865254012e-04
 1.072500000000e+00,  2.609038121907e-02,  5.728079689933e-05,  1.306040739957e-02,  4.052725612290e-05,  1.302997381950e-02,  4.048000993789e-05,  3.772072727273e-01,  8.281493856537e-04,  1.888236363636e-01,  5.859314827515e-04,  1.883836363636e-01,  5.852484109157e-04
 1.127500000000e+00,  2.526890333618e-02,  5.362253172693e-05,  1.271740536852e-02,  3.804112703271e-05,  1.255149796766e-02,  3.779217594804e-05,  4.037527272727e-01,  8.567939470891e-04,  2.032018181818e-01,  6.078304461276e-04,  2.005509090909e-01,  6.038526447147e-04
 1.182500000000e+00,  2.486628250401e-02,  5.071995531279e-05,  1.250271399877e-02,  3.596462853067e-05,  1.236356850525e-02,  3.576393940245e-05,  4.370200000000e-01,  8.913931894410e-04,  2.197327272727e-01,  6.320712377468e-04,  2.172872727273e-01,  6.285441659860e-04
 1.237500000000e+00,  2.386968726219e-02,  4.748496679626e-05,  1.191179445666e-02,  3.354450361137e-05,  1.195789280553e-02,  3.360934913248e-05,  4.594290909091e-01,  9.139614980045e-04,  2.292709090909e-01,  6.456440182849e-04,  2.301581818182e-01,  6.468921250777e-04
 1.292500000000e+00,  2.324919392935e-02,  4.486982306135e-05,  1.165607482681e-02,  3.177068438742e-05,  1.159311910254e-02,  3.168476976580e-05,  4.881400000000e-01,  9.420866588203e-04,  2.447309090909e-01,  6.670571858965e-04,  2.434090909091e-01,  6.652533227809e-04
 1.347500000000e+00,  2.260761053041e-02,  4.244066068969e-05,  1.131711060838e-02,  3.002773572358e-05,  1.129049992203e-02,  2.999241182519e-05,  5.159200000000e-01,  9.685227739379e-04,  2.582636363636e-01,  6.852519594528e-04,  2.576563636364e-01,  6.844458457047e-04
 1.402500000000e+00,  2.203672229601e-02,  4.025840140704e-05,  1.103810856708e-02,  2.849248688694e-05,  1.099861372893e-02,  2.844146752275e-05,  5.447763636364e-01,  9.952399104431e-04,  2.728763636364e-01,  7.043712394577e-04,  2.719000000000e-01,  7.031099745869e-04
 1.457500000000e+00,  2.116121374760e-02,  3.796205204905e-05,  1.060209300138e-02,  2.687046598982e-05,  1.055912074622e-02,  2.681595519955e-05,  5.649618181818e-01,  1.013510387606e-03,  2.830545454545e-01,  7.173873626564e-04,  2.819072727273e-01,  7.159320342644e-04
 1.512500000000e+00,  2.052926801717e-02,  3.603140070661e-05,  1.026093449444e-02,  2.547345604350e-05,  1.026833352273e-02,  2.548263867969e-05,  5.902309090909e-01,  1.035928138163e-03,  2.950090909091e-01,  7.323797957954e-04,  2.952218181818e-01,  7.326438030508e-04
 1.567500000000e+00,  1.978155994198e-02,  3.412826141375e-05,  9.898139970847e-03,  2.414130216758e-05,  9.883419971129e-03,  2.412334464330e-05,  6.108436363636e-01,  1.053861847392e-03,  3.056490909091e-01,  7.454700663573e-04,  3.051945454545e-01,  7.449155479339e-04
 1.622500000000e+00,  1.916431525353e-02,  3.245300213901e-05,  9.553415550380e-03,  2.291329569289e-05,  9.610899703154e-03,  2.298212845505e-05,  6.340363636364e-01,  1.073682163599e-03,  3.160672727273e-01,  7.580684458511e-04,  3.179690909091e-01,  7.603457238880e-04
 1.677500000000e+00,  1.841907721104e-02,  3.077270525090e-05,  9.268585149772e-03,  2.182923242078e-05,  9.150492061265e-03,  2.168972107654e-05,  6.513909090909e-01,  1.088277128051e-03,  3.277836363636e-01,  7.719910931700e-04,  3.236072727273e-01,  7.670572726362e-04
 1.732500000000e+00,  1.779278090026e-02,  2.928492790729e-05,  8.924418585518e-03,  2.074016512612e-05,  8.868362314745e-03,  2.067492570909e-05,  6.711763636364e-01,  1.104681248667e-03,  3.366454545455e-01,  7.823571081214e-04,  3.345309090909e-01,  7.798961575293e-04
 1.787500000000e+00,  1.707881755142e-02,  2.780862022309e-05,  8.514663559696e-03,  1.963515290848e-05,  8.564153991720e-03,  1.969213368258e-05,  6.857945454545e-01,  1.116646395935e-03,  3.419036363636e-01,  7.884433874455e-04,  3.438909090909e-01,  7.907314325023e-04
 1.842500000000e+00,  1.640752941058e-02,  2.644305928075e-05,  8.235855109094e-03,  1.873460115395e-05,  8.171674301482e-03,  1.866146038571e-05,  7.000036363636e-01,  1.128155079897e-03,  3.513709090909e-01,  7.992848042764e-04,  3.486327272727e-01,  7.961643586285e-04
 1.897500000000e+00,  1.560253876518e-02,  2.503884957928e-05,  7.790239374758e-03,  1.769261948921e-05,  7.812299390422e-03,  1.771765232371e-05,  7.059909090909e-01,  1.132969476513e-03,  3.524963636364e-01,  8.005638508819e-04,  3.534945454545e-01,  8.016965481851e-04
 1.952500000000e+00,  1.489182270540e-02,  2.377290478687e-05,  7.439080276184e-03,  1.680226945223e-05,  7.452742429216e-03,  1.681769137725e-05,  7.134581818182e-01,  1.138945430745e-03,  3.564018181818e-01,  8.049865252196e-04,  3.570563636364e-01,  8.057253802815e-04
 2.007500000000e+00,  1.433343941546e-02,  2.268400814353e-05,  7.152593229299e-03,  1.602419977133e-05,  7.180846186157e-03,  1.605581661405e-05,  7.259363636364e-01,  1.148862175163e-03,  3.622527272727e-01,  8.115672013543e-04,  3.636836363636e-01,  8.131684789800e-04
 2.062500000000e+00,  1.358320591106e-02,  2.149354448429e-05,  6.791024775993e-03,  1.519758411849e-05,  6.792181135070e-03,  1.519887796713e-05,  7.261490909091e-01,  1.149030493233e-03,  3.630436363636e-01,  8.124526686786e-04,  3.631054545455e-01,  8.125218369602e-04
 2.117500000000e+00,  1.299126785770e-02,  2.047405497219e-05,  6.471207944624e-03,  1.445009739130e-05,  6.520059913073e-03,  1.450453764814e-05,  7.320363636364e-01,  1.153678987679e-03,  3.646418181818e-01,  8.142389845536e-04,  3.673945454545e-01,  8.173066025945e-04
 2.172500000000e+00,  1.236262652446e-02,  1.946694111684e-05,  6.159824930541e-03,  1.374125899083e-05,  6.202801593920e-03,  1.378911156651e-05,  7.332690909091e-01,  1.154649959479e-03,  3.653600000000e-01,  8.150404340221e-04,  3.679090909091e-01,  8.178787317413e-04
 2.227500000000e+00,  1.180964317935e-02,  1.855681194121e-05,  5.932216301836e-03,  1.315205049466e-05,  5.877426877514e-03,  1.309117401944e-05,  7.363836363636e-01,  1.157099537137e-03,  3.699000000000e-01,  8.200886870000e-04,  3.664836363636e-01,  8.162927687402e-04
 2.282500000000e+00,  1.122917055932e-02,  1.765900662604e-05,  5.584301468419e-03,  1.245308229636e-05,  5.644869090904e-03,  1.252043355234e-05,  7.351909090909e-01,  1.156162075058e-03,  3.656127272727e-01,  8.153222756819e-04,  3.695781818182e-01,  8.197318650501e-04
 2.337500000000e+00,  1.062216719415e-02,  1.677098815055e-05,  5.296573018488e-03,  1.184266835936e-05,  5.325594175667e-03,  1.187506840723e-05,  7.293672727273e-01,  1.151573842204e-03,  3.636872727273e-01,  8.131725442837e-04,  3.656800000000e-01,  8.153972818649e-04
 2.392500000000e+00,  1.002636793421e-02,  1.591930240969e-05,  5.021613437044e-03,  1.126610651314e-05,  5.004754497166e-03,  1.124717890166e-05,  7.212345454545e-01,  1.145135597731e-03,  3.612236363636e-01,  8.104136276827e-04,  3.600109090909e-01,  8.090520930423e-04
 2.447500000000e+00,  9.555104076591e-03,  1.519146284744e-05,  4.777552038296e-03,  1.074198639557e-05,  4.777552038296e-03,  1.074198639557e-05,  7.192981818182e-01,  1.143597339990e-03,  3.596490909091e-01,  8.086454340541e-04,  3.596490909091e-01,  8.086454340541e-04
 2.502500000000e+00,  9.068737214068e-03,  1.447452448393e-05,  4.519941002299e-03,  1.021873835754e-05,  4.548796211769e-03,  1.025130457142e-05,  7.137109090909e-01,  1.139147136391e-03,  3.557200000000e-01,  8.042161627098e-04,  3.579909090909e-01,  8.067791283762e-04
 2.557500000000e+00,  8.544224531082e-03,  1.374757312440e-05,  4.295890953540e-03,  9.748018315667e-06,  4.248333577541e-03,  9.693910755119e-06,  7.023127272727e-01,  1.130014261594e-03,  3.531109090909e-01,  8.012614022345e-04,  3.492018181818e-01,  7.968139034268e-04
 2.612500000000e+00,  8.061460189040e-03,  1.307242807053e-05,  4.018541134493e-03,  9.229615589103e-06,  4.042919054547e-03,  9.257568349014e-06,  6.914363636364e-01,  1.121230139085e-03,  3.446727272727e-01,  7.916297657052e-04,  3.467636363636e-01,  7.940272909938e-04
 2.667500000000e+00,  7.564536702170e-03,  1.240202977207e-05,  3.777378244947e-03,  8.763888423882e-06,  3.787158457224e-03,  8.775226615941e-06,  6.764200000000e-01,  1.108988072729e-03,  3.377727272727e-01,  7.836658927151e-04,  3.386472727273e-01,  7.846797525421e-04
 2.722500000000e+00,  7.069003450906e-03,  1.174674514714e-05,  3.537429705808e-03,  8.309642866516e-06,  3.531573745098e-03,  8.302762009291e-06,  6.584436363636e-01,  1.094152753474e-03,  3.294945454545e-01,  7.740032246286e-04,  3.289490909091e-01,  7.733623059074e-04
 2.777500000000e+00,  6.702665044883e-03,  1.121182520797e-05,  3.341073819681e-03,  7.915814270811e-06,  3.361591225202e-03,  7.940082425517e-06,  6.498000000000e-01,  1.086947351740e-03,  3.239054545455e-01,  7.674105864949e-04,  3.258945454545e-01,  7.697632994564e-04
 2.832500000000e+00,  6.277085224653e-03,  1.063937201522e-05,  3.139949205699e-03,  7.524857731997e-06,  3.137136018954e-03,  7.521486089299e-06,  6.328800000000e-01,  1.072702619131e-03,  3.165818181818e-01,  7.586852481663e-04,  3.162981818182e-01,  7.583453061144e-04
 2.887500000000e+00,  5.884067253264e-03,  1.010471291108e-05,  2.943664792720e-03,  7.147091496314e-06,  2.940402460544e-03,  7.143129997323e-06,  6.165163636364e-01,  1.058743993124e-03,  3.084290909091e-01,  7.488525657893e-04,  3.080872727273e-01,  7.484374908340e-04
 2.942500000000e+00,  5.502688249166e-03,  9.589111843507e-06,  2.755613582761e-03,  6.785784885216e-06,  2.747074666404e-03,  6.775263053111e-06,  5.987290909091e-01,  1.043359164961e-03,  2.998290909091e-01,  7.383385413568e-04,  2.989000000000e-01,  7.371936960220e-04
 2.997500000000e+00,  5.148655681477e-03,  9.105323155122e-06,  2.581445204257e-03,  6.447329925476e-06,  2.567210477221e-03,  6.429529266693e-06,  5.813454545455e-01,  1.028101033721e-03,  2.914763636364e-01,  7.279814728366e-04,  2.898690909091e-01,  7.259715633162e-04
 3.052500000000e+00,  4.813633827804e-03,  8.645471853624e-06,  2.402709863540e-03,  6.108053630101e-06,  2.410923964264e-03,  6.118485468122e-06,  5.636454545455e-01,  1.012328957086e-03,  2.813418181818e-01,  7.152136593441e-04,  2.823036363636e-01,  7.164351602504e-04
 3.107500000000e+00,  4.533399643019e-03,  8.241550430467e-06,  2.273329723524e-03,  5.836172670496e-06,  2.260069919496e-03,  5.819127259142e-06,  5.501327272727e-01,  1.000120653878e-03,  2.758709090909e-01,  7.082255792291e-04,  2.742618181818e-01,  7.061571009624e-04
 3.162500000000e+00,  4.194686555573e-03,  7.789820905971e-06,  2.087101185384e-03,  5.494769366095e-06,  2.107585370189e-03,  5.521668168273e-06,  5.272072727273e-01,  9.790600991185e-04,  2.623163636364e-01,  6.906075897174e-04,  2.648909090909e-01,  6.939883534403e-04
 3.217500000000e+00,  3.913754913049e-03,  7.395826135305e-06,  1.958191191051e-03,  5.231393956984e-06,  1.955563721998e-03,  5.227883079267e-06,  5.091563636364e-01,  9.621532325857e-04,  2.547490909091e-01,  6.805734091847e-04,  2.544072727273e-01,  6.801166647612e-04
 3.272500000000e+00,  3.647856639225e-03,  7.020173373399e-06,  1.828373135857e-03,  4.970057033710e-06,  1.819483503367e-03,  4.957959991191e-06,  4.909272727273e-01,  9.447724812474e-04,  2.460618181818e-01,  6.688685401235e-04,  2.448654545455e-01,  6.672405243654e-04
 3.327500000000e+00,  3.380946436816e-03,  6.646757902094e-06,  1.681391537569e-03,  4.687325833277e-06,  1.699554899247e-03,  4.712575425575e-06,  4.704290909091e-01,  9.248381587255e-04,  2.339509090909e-01,  6.522003444159e-04,  2.364781818182e-01,  6.557136040822e-04
 3.382500000000e+00,  3.153074429073e-03,  6.314489492732e-06,  1.570897240223e-03,  4.457024506716e-06,  1.582177188850e-03,  4.472997887364e-06,  4.533454545455e-01,  9.078901160437e-04,  2.258618181818e-01,  6.408259133647e-04,  2.274836363636e-01,  6.431225478633e-04
 3.437500000000e+00,  2.925314404485e-03,  5.984841576985e-06,  1.466361092811e-03,  4.237276929046e-06,  1.458953311674e-03,  4.226560413408e-06,  4.343872727273e-01,  8.887041359881e-04,  2.177436363636e-01,  6.292038784537e-04,  2.166436363636e-01,  6.276125561691e-04
 3.492500000000e+00,  2.719025664141e-03,  5.679099453244e-06,  1.361517453396e-03,  4.018689269629e-06,  1.357508210745e-03,  4.012768016470e-06,  4.167781818182e-01,  8.705047457635e-04,  2.086963636364e-01,  6.159934527934e-04,  2.080818181818e-01,  6.150858301997e-04
 3.547500000000e+00,  2.504020017823e-03,  5.365446486893e-06,  1.249831380548e-03,  3.790641228402e-06,  1.254188637274e-03,  3.797243089565e-06,  3.960054545455e-01,  8.485339812614e-04,  1.976581818182e-01,  5.994818699483e-04,  1.983472727273e-01,  6.005259402879e-04
 3.602500000000e+00,  2.332147980258e-03,  5.098983045819e-06,  1.158236692191e-03,  3.593388515369e-06,  1.173911288066e-03,  3.617621743517e-06,  3.803490909091e-01,  8.315911264876e-04,  1.888963636364e-01,  5.860443105127e-04,  1.914527272727e-01,  5.899964980986e-04
 3.657500000000e+00,  2.144452155706e-03,  4.815966720349e-06,  1.067932284891e-03,  3.398577317226e-06,  1.076519870815e-03,  3.412214481880e-06,  3.604981818182e-01,  8.095994316138e-04,  1.795272727273e-01,  5.713258467289e-04,  1.809709090909e-01,  5.736183544212e-04
 3.712500000000e+00,  1.992701625725e-03,  4.573665795699e-06,  9.957629519214e-04,  3.233115884910e-06,  9.969386738039e-04,  3.235024031670e-06,  3.451381818182e-01,  7.921641035430e-04,  1.724672727273e-01,  5.599793384618e-04,  1.726709090909e-01,  5.603098316450e-04
 3.767500000000e+00,  1.827896617867e-03,  4.316506710817e-06,  9.166291369906e-04,  3.056704348897e-06,  9.112674808766e-04,  3.047751418335e-06,  3.260436363636e-01,  7.699393557744e-04,  1.635000000000e-01,  5.452272253591e-04,  1.625436363636e-01,  5.436302827267e-04
