#                 r,            density,      density error,          density A,    density error A,          density B,    density error B, radial probability,  probability error,     radial prob. A,      prob. error A,     radial prob. B,      prob. error B
 2.750000000000e-02, 7.891980649185e-03, 1.064154453649e-03, 3.443773374190e-03, 7.029572963790e-04, 4.448207274995e-03, 7.989216111032e-04, 1.000000000000e-04, 1.348399724926e-05, 4.363636363636e-05, 8.907235428302e-06, 5.636363636364e-05, 1.012320793242e-05
 8.250000000000e-02, 7.215525164969e-03, 3.845887835133e-04, 3.669258535595e-03, 2.742532593883e-04, 3.546266629374e-03, 2.696176591382e-04, 6.400000000000e-04, 3.411211461690e-05, 3.254545454545e-04, 2.432561483684e-05, 3.145454545455e-04, 2.391444806903e-05
 1.375000000000e-01, 6.487283614976e-03, 2.213432605709e-04, 2.681007780345e-03, 1.422931185995e-04, 3.806275834631e-03, 1.695450011041e-04, 1.561818181818e-03, 5.328854869001e-05, 6.454545454545e-04, 3.425717032985e-05, 9.163636363636e-04, 4.081808058299e-05
 1.925000000000e-01, 7.042671675145e-03, 1.652644795350e-04, 3.571751438771e-03, 1.176932113976e-04, 3.470920236374e-03, 1.160200680352e-04, 3.301818181818e-03, 7.748100273695e-05, 1.674545454545e-03, 5.517814874725e-05, 1.627272727273e-03, 5.439372836964e-05
 2.475000000000e-01, 6.619384067602e-03, 1.247830319332e-04, 3.304987425367e-03, 8.817219436395e-05, 3.314396642236e-03, 8.829761717894e-05, 5.116363636364e-03, 9.644936152636e-05, 2.554545454545e-03, 6.815150841451e-05, 2.561818181818e-03, 6.824845228772e-05
 3.025000000000e-01, 6.655754309732e-03, 1.024447261781e-04, 3.388584698321e-03, 7.309709835327e-05, 3.267169611411e-03, 7.177559567177e-05, 7.674545454545e-03, 1.181258608784e-04, 3.907272727273e-03, 8.428601444727e-05, 3.767272727273e-03, 8.276223037630e-05
 3.575000000000e-01, 6.353129161112e-03, 8.472345210094e-05, 3.067534353978e-03, 5.887142094109e-05, 3.285594807134e-03, 6.092798316273e-05, 1.022363636364e-02, 1.363393917841e-04, 4.936363636364e-03, 9.473756705537e-05, 5.287272727273e-03, 9.804704554700e-05
 4.125000000000e-01, 6.603961860071e-03, 7.488081920810e-05, 3.376697906596e-03, 5.354444397992e-05, 3.227263953475e-03, 5.234624727864e-05, 1.414181818182e-02, 1.603508549844e-04, 7.230909090909e-03, 1.146608365486e-04, 6.910909090909e-03, 1.120950010313e-04
 4.675000000000e-01, 6.631644233823e-03, 6.622049213816e-05, 3.331361416891e-03, 4.693455126039e-05, 3.300282816932e-03, 4.671510972914e-05, 1.823454545455e-02, 1.820816273221e-04, 9.160000000000e-03, 1.290524910823e-04, 9.074545454545e-03, 1.284491088086e-04
 5.225000000000e-01, 6.738231851159e-03, 5.973102821458e-05, 3.412533732573e-03, 4.250749302075e-05, 3.325698118586e-03, 4.196318349056e-05, 2.313818181818e-02, 2.051083164760e-04, 1.171818181818e-02, 1.459650133558e-04, 1.142000000000e-02, 1.440959276442e-04
 5.775000000000e-01, 6.707208162823e-03, 5.392231843833e-05, 3.461113622801e-03, 3.873518126041e-05, 3.246094540022e-03, 3.751269329824e-05, 2.813090909091e-02, 2.261572626250e-04, 1.451636363636e-02, 1.624604211177e-04, 1.361454545455e-02, 1.573331465657e-04
 6.325000000000e-01, 6.652974023794e-03, 4.903704840335e-05, 3.399678039214e-03, 3.505381599741e-05, 3.253295984580e-03, 3.429084571911e-05, 3.346727272727e-02, 2.466770900932e-04, 1.710181818182e-02, 1.763355179084e-04, 1.636545454545e-02, 1.724974547662e-04
 6.875000000000e-01, 6.617392884715e-03, 4.499546038752e-05, 3.279478215880e-03, 3.167580166151e-05, 3.337914668835e-03, 3.195676836893e-05, 3.932545454545e-02, 2.673963845049e-04, 1.948909090909e-02, 1.882410973826e-04, 1.983636363636e-02, 1.899108098621e-04
 7.425000000000e-01, 6.423235438788e-03, 4.104827568788e-05, 3.172531626101e-03, 2.884834997127e-05, 3.250703812687e-03, 2.920160339575e-05, 4.452000000000e-02, 2.845091466815e-04, 2.198909090909e-02, 1.999504070745e-04, 2.253090909091e-02, 2.023988370920e-04
 7.975000000000e-01, 6.437745920715e-03, 3.826166788362e-05, 3.255257253799e-03, 2.720756272943e-05, 3.182488666917e-03, 2.690174268632e-05, 5.147272727273e-02, 3.059195594589e-04, 2.602727272727e-02, 2.175369257151e-04, 2.544545454545e-02, 2.150917543978e-04
 8.525000000000e-01, 6.314579599495e-03, 3.545000084276e-05, 3.159578484087e-03, 2.507601971497e-05, 3.155001115409e-03, 2.505784897005e-05, 5.768909090909e-02, 3.238661084435e-04, 2.886545454545e-02, 2.290909090909e-04, 2.882363636364e-02, 2.289249037791e-04
 9.075000000000e-01, 6.407722755199e-03, 3.354690734674e-05, 3.224585839970e-03, 2.379784349649e-05, 3.183136915229e-03, 2.364439970579e-05, 6.633454545455e-02, 3.472870058940e-04, 3.338181818182e-02, 2.463619590684e-04, 3.295272727273e-02, 2.447734658552e-04
 9.625000000000e-01, 6.284386767218e-03, 3.132458731855e-05, 3.163974594422e-03, 2.222646516561e-05, 3.120412172796e-03, 2.207292497426e-05, 7.318000000000e-02, 3.647664258872e-04, 3.684363636364e-02, 2.588212312622e-04, 3.633636363636e-02, 2.570332968751e-04
 1.017500000000e+00, 6.295002003169e-03, 2.965680595757e-05, 3.141283543164e-03, 2.094980615448e-05, 3.153718460005e-03, 2.099123059030e-05, 8.191818181818e-02, 3.859302382042e-04, 4.087818181818e-02, 2.726242229556e-04, 4.104000000000e-02, 2.731632878302e-04
 1.072500000000e+00, 6.196125991321e-03, 2.791444251785e-05, 3.121328335794e-03, 1.981246746460e-05, 3.074797655527e-03, 1.966423743872e-05, 8.958181818182e-02, 4.035790295070e-04, 4.512727272727e-02, 2.864429904481e-04, 4.445454545455e-02, 2.842999231111e-04
 1.127500000000e+00, 6.136525592232e-03, 2.642502413923e-05, 3.091248595137e-03, 1.875517340290e-05, 3.045276997094e-03, 1.861519195136e-05, 9.805090909091e-02, 4.222255086625e-04, 4.939272727273e-02, 2.996747548221e-04, 4.865818181818e-02, 2.974380969002e-04
 1.182500000000e+00, 6.094469162266e-03, 2.510969124249e-05, 3.067408091346e-03, 1.781390820188e-05, 3.027061070920e-03, 1.769636315371e-05, 1.071090909091e-01, 4.412978604672e-04, 5.390909090909e-02, 3.130759155950e-04, 5.320000000000e-02, 3.110100846070e-04
 1.237500000000e+00, 6.097545740909e-03, 2.399994837975e-05, 3.067996259791e-03, 1.702394419902e-05, 3.029549481118e-03, 1.691693962097e-05, 1.173618181818e-01, 4.619362769549e-04, 5.905090909091e-02, 3.276664298585e-04, 5.831090909091e-02, 3.256068714121e-04
 1.292500000000e+00, 5.951091174338e-03, 2.270119445915e-05, 2.963422063924e-03, 1.601943379488e-05, 2.987669110413e-03, 1.608483667196e-05, 1.249490909091e-01, 4.766342049090e-04, 6.222000000000e-02, 3.363439797696e-04, 6.272909090909e-02, 3.377171783638e-04
 1.347500000000e+00, 5.904624480256e-03, 2.168957019726e-05, 2.966613492226e-03, 1.537394377620e-05, 2.938010988030e-03, 1.529965058777e-05, 1.347472727273e-01, 4.949697377844e-04, 6.770000000000e-02, 3.508431402934e-04, 6.704727272727e-02, 3.491477226496e-04
 1.402500000000e+00, 5.852517218759e-03, 2.074695554949e-05, 2.958361955480e-03, 1.475056585389e-05, 2.894155263278e-03, 1.458961862293e-05, 1.446818181818e-01, 5.128916564341e-04, 7.313454545455e-02, 3.646531239774e-04, 7.154727272727e-02, 3.606742996295e-04
 1.457500000000e+00, 5.784773804062e-03, 1.984826657842e-05, 2.897596692079e-03, 1.404747804140e-05, 2.887177111983e-03, 1.402219835989e-05, 1.544418181818e-01, 5.299087711910e-04, 7.736000000000e-02, 3.750393918704e-04, 7.708181818182e-02, 3.743644752518e-04
