#                 r,           dens_tot,           dens_err,             dens_A,         dens_err_A,             dens_B,         dens_err_B,         dens_alike,     dens_alike_err,        dens_unlike,    dens_unlike_err,           prob_tot,           prob_err,             prob_A,         prob_err_A,             prob_B,         prob_err_B,         prob_alike,     prob_alike_err,        prob_unlike,    prob_unlike_err
 3.000000000000e-02, 9.707714700165e-03, 2.441468185474e-04, 4.396409693434e-03, 1.643015443493e-04, 5.311305006732e-03, 1.805897880038e-04, 0.000000000000e+00, 0.000000000000e+00, 0.000000000000e+00, 0.000000000000e+00, 1.463888888889e-04, 3.681647287421e-06, 6.629629629630e-05, 2.477608918567e-06, 8.009259259259e-05, 2.723229846269e-06, 0.000000000000e+00, 0.000000000000e+00, 0.000000000000e+00, 0.000000000000e+00
 9.000000000000e-02, 9.717363644026e-03, 9.232467230142e-05, 4.884119946735e-03, 6.545407770683e-05, 4.833243697290e-03, 6.511227862019e-05, 0.000000000000e+00, 0.000000000000e+00, 0.000000000000e+00, 0.000000000000e+00, 1.025740740741e-03, 9.745562811507e-06, 5.155555555556e-04, 6.909169668955e-06, 5.101851851852e-04, 6.873090207369e-06, 0.000000000000e+00, 0.000000000000e+00, 0.000000000000e+00, 0.000000000000e+00
 1.500000000000e-01, 1.106373756650e-02, 5.979525187376e-05, 5.765036204143e-03, 4.316351323353e-05, 5.298701362359e-03, 4.138095300963e-05, 0.000000000000e+00, 0.000000000000e+00, 0.000000000000e+00, 0.000000000000e+00, 3.169907407407e-03, 1.713213194936e-05, 1.651759259259e-03, 1.236691845828e-05, 1.518148148148e-03, 1.185619133519e-05, 0.000000000000e+00, 0.000000000000e+00, 0.000000000000e+00, 0.000000000000e+00
 2.100000000000e-01, 1.100961089694e-02, 4.274424892786e-05, 5.544468060457e-03, 3.033343884108e-05, 5.465142836485e-03, 3.011566543315e-05, 0.000000000000e+00, 0.000000000000e+00, 0.000000000000e+00, 0.000000000000e+00, 6.142777777778e-03, 2.384901927050e-05, 3.093518518519e-03, 1.692444681113e-05, 3.049259259259e-03, 1.680294082302e-05, 0.000000000000e+00, 0.000000000000e+00, 0.000000000000e+00, 0.000000000000e+00
 2.700000000000e-01, 1.049195382283e-02, 3.249794018346e-05, 5.144109372956e-03, 2.275530949182e-05, 5.347844449875e-03, 2.320155180370e-05, 0.000000000000e+00, 0.000000000000e+00, 0.000000000000e+00, 0.000000000000e+00, 9.651111111111e-03, 2.989350095216e-05, 4.731851851852e-03, 2.093166096436e-05, 4.919259259259e-03, 2.134214067168e-05, 0.000000000000e+00, 0.000000000000e+00, 0.000000000000e+00, 0.000000000000e+00
 3.300000000000e-01, 1.067530809147e-02, 2.683873732946e-05, 5.262115635584e-03, 1.884308749999e-05, 5.413192455886e-03, 1.911166855373e-05, 0.000000000000e+00, 0.000000000000e+00, 0.000000000000e+00, 0.000000000000e+00, 1.464916666667e-02, 3.682939479529e-05, 7.220925925926e-03, 2.585738293796e-05, 7.428240740741e-03, 2.622594266346e-05, 0.000000000000e+00, 0.000000000000e+00, 0.000000000000e+00, 0.000000000000e+00
 3.900000000000e-01, 1.088958945224e-02, 2.294544369903e-05, 5.485165575702e-03, 1.628491805758e-05, 5.404423876542e-03, 1.616461661789e-05, 0.000000000000e+00, 0.000000000000e+00, 0.000000000000e+00, 0.000000000000e+00, 2.085481481481e-02, 4.394316069358e-05, 1.050472222222e-02, 3.118748891816e-05, 1.035009259259e-02, 3.095709784075e-05, 0.000000000000e+00, 0.000000000000e+00, 0.000000000000e+00, 0.000000000000e+00
 4.500000000000e-01, 1.077528028496e-02, 1.978625048762e-05, 5.370345747136e-03, 1.396851821084e-05, 5.404934537822e-03, 1.401342953571e-05, 0.000000000000e+00, 0.000000000000e+00, 0.000000000000e+00, 0.000000000000e+00, 2.746037037037e-02, 5.042446713794e-05, 1.368611111111e-02, 3.559820936913e-05, 1.377425925926e-02, 3.571266408233e-05, 0.000000000000e+00, 0.000000000000e+00, 0.000000000000e+00, 0.000000000000e+00
 5.100000000000e-01, 1.062074247594e-02, 1.733565037473e-05, 5.333517384827e-03, 1.228484150742e-05, 5.287225091116e-03, 1.223141214466e-05, 0.000000000000e+00, 0.000000000000e+00, 0.000000000000e+00, 0.000000000000e+00, 3.475407407407e-02, 5.672715241993e-05, 1.745277777778e-02, 4.019947689196e-05, 1.730129629630e-02, 4.002464090141e-05, 0.000000000000e+00, 0.000000000000e+00, 0.000000000000e+00, 0.000000000000e+00
 5.700000000000e-01, 1.069067374761e-02, 1.556361431304e-05, 5.417660255763e-03, 1.107933783285e-05, 5.273013491849e-03, 1.093043291322e-05, 0.000000000000e+00, 0.000000000000e+00, 0.000000000000e+00, 0.000000000000e+00, 4.368833333333e-02, 6.360201293499e-05, 2.213972222222e-02, 4.527664165809e-05, 2.154861111111e-02, 4.466812923716e-05, 0.000000000000e+00, 0.000000000000e+00, 0.000000000000e+00, 0.000000000000e+00
