#                 r,           dens_tot,           dens_err,             dens_A,         dens_err_A,             dens_B,         dens_err_B,         dens_alike,     dens_err_alike,        dens_unlike,    dens_err_unlike,       dens_alike_n,   dens_err_alike_n,      dens_unlike_n,  dens_err_unlike_n,           prob_tot,           prob_err,             prob_A,         prob_err_A,             prob_B,         prob_err_B,         prob_alike,     prob_err_alike,        prob_unlike,    prob_err_unlike,       prob_alike_n,   prob_err_alike_n,      prob_unlike_n,  prob_err_unlike_n
 4.000000000000e-02, 6.997999328821e-03, 1.648986271908e-04, 3.800135115817e-03, 1.215149216117e-04, 3.197864213004e-03, 1.114705390455e-04, 0.000000000000e+00, 0.000000000000e+00, 0.000000000000e+00, 0.000000000000e+00, 0.000000000000e+00, 0.000000000000e+00, 0.000000000000e+00, 0.000000000000e+00, 1.876041666667e-04, 4.420644827901e-06, 1.018750000000e-04, 3.257603285648e-06, 8.572916666667e-05, 2.988330893288e-06, 0.000000000000e+00, 0.000000000000e+00, 0.000000000000e+00, 0.000000000000e+00, 0.000000000000e+00, 0.000000000000e+00, 0.000000000000e+00, 0.000000000000e+00
 1.200000000000e-01, 6.135947059632e-03, 5.836088563888e-05, 3.097948302859e-03, 4.146848363248e-05, 3.037998756773e-03, 4.106528750389e-05, 0.000000000000e+00, 0.000000000000e+00, 0.000000000000e+00, 0.000000000000e+00, 0.000000000000e+00, 0.000000000000e+00, 0.000000000000e+00, 0.000000000000e+00, 1.151458333333e-03, 1.095187547358e-05, 5.813541666667e-04, 7.781884456508e-06, 5.701041666667e-04, 7.706221557576e-06, 0.000000000000e+00, 0.000000000000e+00, 0.000000000000e+00, 0.000000000000e+00, 0.000000000000e+00, 0.000000000000e+00, 0.000000000000e+00, 0.000000000000e+00
 2.000000000000e-01, 5.633738142855e-03, 3.394310908717e-05, 2.961659495601e-03, 2.461052363861e-05, 2.672078647254e-03, 2.337641505315e-05, 0.000000000000e+00, 0.000000000000e+00, 0.000000000000e+00, 0.000000000000e+00, 0.000000000000e+00, 0.000000000000e+00, 0.000000000000e+00, 0.000000000000e+00, 2.869583333333e-03, 1.728915644430e-05, 1.508541666667e-03, 1.253553975481e-05, 1.361041666667e-03, 1.190693804515e-05, 0.000000000000e+00, 0.000000000000e+00, 0.000000000000e+00, 0.000000000000e+00, 0.000000000000e+00, 0.000000000000e+00, 0.000000000000e+00, 0.000000000000e+00
 2.800000000000e-01, 5.896583944565e-03, 2.488453172274e-05, 2.961891637830e-03, 1.763655725563e-05, 2.934692306735e-03, 1.755539140062e-05, 0.000000000000e+00, 0.000000000000e+00, 0.000000000000e+00, 0.000000000000e+00, 0.000000000000e+00, 0.000000000000e+00, 0.000000000000e+00, 0.000000000000e+00, 5.848854166667e-03, 2.468310439068e-05, 2.937916666667e-03, 1.749379850436e-05, 2.910937500000e-03, 1.741328964469e-05, 0.000000000000e+00, 0.000000000000e+00, 0.000000000000e+00, 0.000000000000e+00, 0.000000000000e+00, 0.000000000000e+00, 0.000000000000e+00, 0.000000000000e+00
 3.600000000000e-01, 5.861041809591e-03, 1.932202252419e-05, 2.962879827971e-03, 1.373795827283e-05, 2.898161981619e-03, 1.358709155482e-05, 0.000000000000e+00, 0.000000000000e+00, 0.000000000000e+00, 0.000000000000e+00, 0.000000000000e+00, 0.000000000000e+00, 0.000000000000e+00, 0.000000000000e+00, 9.584583333333e-03, 3.159737484701e-05, 4.845208333333e-03, 2.246573393835e-05, 4.739375000000e-03, 2.221902103679e-05, 0.000000000000e+00, 0.000000000000e+00, 0.000000000000e+00, 0.000000000000e+00, 0.000000000000e+00, 0.000000000000e+00, 0.000000000000e+00, 0.000000000000e+00
 4.400000000000e-01, 5.861349103164e-03, 1.582006232382e-05, 2.925913601162e-03, 1.117738330889e-05, 2.935435502001e-03, 1.119555600655e-05, 0.000000000000e+00, 0.000000000000e+00, 0.000000000000e+00, 0.000000000000e+00, 0.000000000000e+00, 0.000000000000e+00, 0.000000000000e+00, 0.000000000000e+00, 1.429906250000e-02, 3.859385543170e-05, 7.137916666667e-03, 2.726780127020e-05, 7.161145833333e-03, 2.731213450048e-05, 0.000000000000e+00, 0.000000000000e+00, 0.000000000000e+00, 0.000000000000e+00, 0.000000000000e+00, 0.000000000000e+00, 0.000000000000e+00, 0.000000000000e+00
 5.200000000000e-01, 5.867896187484e-03, 1.339890914559e-05, 2.916325130063e-03, 9.445962159390e-06, 2.951571057421e-03, 9.502871417370e-06, 0.000000000000e+00, 0.000000000000e+00, 0.000000000000e+00, 0.000000000000e+00, 0.000000000000e+00, 0.000000000000e+00, 0.000000000000e+00, 0.000000000000e+00, 1.997812500000e-02, 4.561857831520e-05, 9.929062500000e-03, 3.216018258266e-05, 1.004906250000e-02, 3.235393861263e-05, 0.000000000000e+00, 0.000000000000e+00, 0.000000000000e+00, 0.000000000000e+00, 0.000000000000e+00, 0.000000000000e+00, 0.000000000000e+00, 0.000000000000e+00
 6.000000000000e-01, 5.861674273285e-03, 1.160907402000e-05, 2.911753920405e-03, 8.182086640862e-06, 2.949920352880e-03, 8.235536279034e-06, 0.000000000000e+00, 0.000000000000e+00, 0.000000000000e+00, 0.000000000000e+00, 0.000000000000e+00, 0.000000000000e+00, 0.000000000000e+00, 0.000000000000e+00, 2.655687500000e-02, 5.259601834582e-05, 1.319197916667e-02, 3.706972479703e-05, 1.336489583333e-02, 3.731188348644e-05, 0.000000000000e+00, 0.000000000000e+00, 0.000000000000e+00, 0.000000000000e+00, 0.000000000000e+00, 0.000000000000e+00, 0.000000000000e+00, 0.000000000000e+00
 6.800000000000e-01, 5.816413114019e-03, 1.020534867548e-05, 2.882126355733e-03, 7.183841360969e-06, 2.934286758286e-03, 7.248556055420e-06, 0.000000000000e+00, 0.000000000000e+00, 1.163895010640e-07, 3.228063953938e-08, 0.000000000000e+00, 0.000000000000e+00, 1.190661549875e-04, 3.302497567056e-05, 3.383635416667e-02, 5.936851207243e-05, 1.676645833333e-02, 4.179122008734e-05, 1.706989583333e-02, 4.216769082254e-05, 0.000000000000e+00, 0.000000000000e+00, 6.770833333333e-07, 1.877891289304e-07, 0.000000000000e+00, 0.000000000000e+00, 1.190661549875e-04, 3.302497567056e-05
 7.600000000000e-01, 5.690237710568e-03, 9.032555757937e-06, 2.829934832285e-03, 6.369915390096e-06, 2.860302878283e-03, 6.404001986512e-06, 3.001437344498e-06, 1.693809084376e-07, 3.089855482831e-06, 1.488331015684e-07, 3.061443363298e-03, 1.730315004553e-04, 3.210428305400e-03, 1.548889229029e-04, 4.133979166667e-02, 6.562185839041e-05, 2.055958333333e-02, 4.627767565348e-05, 2.078020833333e-02, 4.652531606257e-05, 2.180555555556e-05, 1.230558690741e-06, 2.244791666667e-05, 1.081278098543e-06, 3.061443363298e-03, 1.730315004553e-04, 3.210428305400e-03, 1.548889229029e-04
