#                 r,           dens_tot,           dens_err,             dens_A,         dens_err_A,             dens_B,         dens_err_B,         dens_alike,     dens_err_alike,        dens_unlike,    dens_err_unlike,       dens_alike_n,   dens_err_alike_n,      dens_unlike_n,  dens_err_unlike_n,           prob_tot,           prob_err,             prob_A,         prob_err_A,             prob_B,         prob_err_B,         prob_alike,     prob_err_alike,        prob_unlike,    prob_err_unlike,       prob_alike_n,   prob_err_alike_n,      prob_unlike_n,  prob_err_unlike_n
 6.666666666667e-02, 2.189926943767e-02, 1.660417914584e-04, 1.088102246334e-02, 1.170408454785e-04, 1.101824697433e-02, 1.177765553936e-04, 0.000000000000e+00, 0.000000000000e+00, 0.000000000000e+00, 0.000000000000e+00, 0.000000000000e+00, 0.000000000000e+00, 0.000000000000e+00, 0.000000000000e+00, 1.630781250000e-03, 1.236469741593e-05, 8.102812500000e-04, 8.715725281782e-06, 8.205000000000e-04, 8.770511672645e-06, 0.000000000000e+00, 0.000000000000e+00, 0.000000000000e+00, 0.000000000000e+00, 0.000000000000e+00, 0.000000000000e+00, 0.000000000000e+00, 0.000000000000e+00
 2.000000000000e-01, 2.279995141808e-02, 6.403546060523e-05, 1.144250991199e-02, 4.536430122841e-05, 1.135744150609e-02, 4.519535804685e-05, 0.000000000000e+00, 0.000000000000e+00, 0.000000000000e+00, 0.000000000000e+00, 0.000000000000e+00, 0.000000000000e+00, 0.000000000000e+00, 0.000000000000e+00, 1.188496875000e-02, 3.337987148436e-05, 5.964656250000e-03, 2.364712505649e-05, 5.920312500000e-03, 2.355905976212e-05, 0.000000000000e+00, 0.000000000000e+00, 0.000000000000e+00, 0.000000000000e+00, 0.000000000000e+00, 0.000000000000e+00, 0.000000000000e+00, 0.000000000000e+00
 3.333333333333e-01, 2.261295616288e-02, 3.870833285130e-05, 1.123531481499e-02, 2.728465202777e-05, 1.137764134788e-02, 2.745692619086e-05, 0.000000000000e+00, 0.000000000000e+00, 0.000000000000e+00, 0.000000000000e+00, 0.000000000000e+00, 0.000000000000e+00, 0.000000000000e+00, 0.000000000000e+00, 3.199462500000e-02, 5.476765554367e-05, 1.589662500000e-02, 3.860451519900e-05, 1.609800000000e-02, 3.884826250941e-05, 0.000000000000e+00, 0.000000000000e+00, 0.000000000000e+00, 0.000000000000e+00, 0.000000000000e+00, 0.000000000000e+00, 0.000000000000e+00, 0.000000000000e+00
 4.666666666667e-01, 2.253156378128e-02, 2.768837078916e-05, 1.119126622511e-02, 1.951377748690e-05, 1.134029755617e-02, 1.964327786164e-05, 0.000000000000e+00, 0.000000000000e+00, 0.000000000000e+00, 0.000000000000e+00, 0.000000000000e+00, 0.000000000000e+00, 0.000000000000e+00, 0.000000000000e+00, 6.208106250000e-02, 7.628957733121e-05, 3.083521875000e-02, 5.376617670815e-05, 3.124584375000e-02, 5.412298819875e-05, 0.000000000000e+00, 0.000000000000e+00, 0.000000000000e+00, 0.000000000000e+00, 0.000000000000e+00, 0.000000000000e+00, 0.000000000000e+00, 0.000000000000e+00
 6.000000000000e-01, 2.221577945430e-02, 2.141255330412e-05, 1.102868998870e-02, 1.508688722459e-05, 1.118708946560e-02, 1.519484362783e-05, 0.000000000000e+00, 0.000000000000e+00, 0.000000000000e+00, 0.000000000000e+00, 0.000000000000e+00, 0.000000000000e+00, 0.000000000000e+00, 0.000000000000e+00, 1.009154062500e-01, 9.726674321646e-05, 5.009793750000e-02, 6.853234010761e-05, 5.081746875000e-02, 6.902273317765e-05, 0.000000000000e+00, 0.000000000000e+00, 0.000000000000e+00, 0.000000000000e+00, 0.000000000000e+00, 0.000000000000e+00, 0.000000000000e+00, 0.000000000000e+00
 7.333333333333e-01, 2.186336888257e-02, 1.739163618900e-05, 1.092667634844e-02, 1.229492660212e-05, 1.093669253414e-02, 1.230056052296e-05, 1.375150357154e-05, 3.561322997731e-07, 1.282459135897e-05, 2.978438731531e-07, 1.849501899740e-03, 4.794211654431e-05, 1.733646773678e-03, 4.029785051083e-05, 1.481578125000e-01, 1.178549741075e-04, 7.404496875000e-02, 8.331695998002e-05, 7.411284375000e-02, 8.335513842327e-05, 9.318750000000e-05, 2.413341822038e-06, 8.690625000000e-05, 2.018348450776e-06, 1.849501899740e-03, 4.794211654431e-05, 1.733646773678e-03, 4.029785051083e-05
 8.666666666667e-01, 2.135625966644e-02, 1.455001137410e-05, 1.062571528422e-02, 1.026312985476e-05, 1.073054438223e-02, 1.031363158983e-05, 5.300370670907e-04, 1.871579277828e-06, 5.371115855726e-04, 1.631616162706e-06, 7.320675221024e-02, 2.677902890495e-04, 7.446494170809e-02, 2.344776523501e-04, 2.019737812500e-01, 1.376046583230e-04, 1.004911875000e-01, 9.706208749107e-05, 1.014825937500e-01, 9.753970045096e-05, 5.012750000000e-03, 1.770019420797e-05, 5.079656250000e-03, 1.543077725582e-05, 7.320675221024e-02, 2.677902890495e-04, 7.446494170809e-02, 2.344776523501e-04
 1.000000000000e+00, 2.090703066588e-02, 1.247973670428e-05, 1.043814359534e-02, 8.818015911848e-06, 1.046888707055e-02, 8.830992219818e-06, 2.762423292934e-03, 3.703895530578e-06, 2.751302652135e-03, 3.201204584661e-06, 3.939654494678e-01, 6.236668240013e-04, 3.935460428768e-01, 5.405442780984e-04, 2.631147187500e-01, 1.570573299239e-04, 1.313639062500e-01, 1.109746196702e-04, 1.317508125000e-01, 1.111379263432e-04, 3.476506250000e-02, 4.661347880442e-05, 3.462510937500e-02, 4.028711955394e-05, 3.939654494678e-01, 6.236668240013e-04, 3.935460428768e-01, 5.405442780984e-04
 1.133333333333e+00, 2.011468941591e-02, 1.080262736928e-05, 1.006942937613e-02, 7.643198877155e-06, 1.004526003978e-02, 7.634020500613e-06, 5.709942863418e-03, 4.699406159065e-06, 5.721658165037e-03, 4.073978062178e-06, 8.441850664370e-01, 9.435200532872e-04, 8.455813068182e-01, 8.179349074046e-04, 3.250417500000e-01, 1.745642118606e-04, 1.627161562500e-01, 1.235096743111e-04, 1.623255937500e-01, 1.233613570534e-04, 9.226937500000e-02, 7.593968618252e-05, 9.245868750000e-02, 6.583312977948e-05, 8.441850664370e-01, 9.435200532872e-04, 8.455813068182e-01, 8.179349074046e-04
 1.266666666667e+00, 1.910256338441e-02, 9.420279232875e-06, 9.553801895907e-03, 6.662022073790e-06, 9.548761488499e-03, 6.660264462742e-06, 7.848668459803e-03, 4.930265578830e-06, 7.847370806528e-03, 4.269382257463e-06, 1.207486694715e+00, 1.126952810948e-03, 1.206900050156e+00, 9.754466106101e-04, 3.855023437500e-01, 1.901074557364e-04, 1.928020312500e-01, 1.344440048113e-04, 1.927003125000e-01, 1.344085350596e-04, 1.583913125000e-01, 9.949601515262e-05, 1.583651250000e-01, 8.615895330362e-05, 1.207486694715e+00, 1.126952810948e-03, 1.206900050156e+00, 9.754466106101e-04
 1.400000000000e+00, 1.793587762103e-02, 8.259426942756e-06, 8.969425957712e-03, 5.840781026088e-06, 8.966451663314e-03, 5.839812533635e-06, 8.811974723434e-03, 4.726934581223e-06, 8.814100849481e-03, 4.094139250645e-06, 1.418708569665e+00, 1.183562817213e-03, 1.423629033100e+00, 1.029471917130e-03, 4.420961250000e-01, 2.035841637229e-04, 2.210847187500e-01, 1.439676782574e-04, 2.210114062500e-01, 1.439438061743e-04, 2.172037500000e-01, 1.165128077724e-04, 2.172561562500e-01, 1.009152234513e-04, 1.418708569665e+00, 1.183562817213e-03, 1.423629033100e+00, 1.029471917130e-03
 1.533333333333e+00, 1.668422429616e-02, 7.273783215660e-06, 8.349204390790e-03, 5.145527338478e-06, 8.335019905368e-03, 5.141154605475e-06, 8.937944570873e-03, 4.346908939571e-06, 8.939956655827e-03, 3.764957276369e-06, 1.511828441469e+00, 1.165307076138e-03, 1.510821106087e+00, 1.008197387538e-03, 4.932449062500e-01, 2.150388568630e-04, 2.468321250000e-01, 1.521200569246e-04, 2.464127812500e-01, 1.519907834120e-04, 2.642373750000e-01, 1.285100616197e-04, 2.642968593750e-01, 1.113055042808e-04, 1.511828441469e+00, 1.165307076138e-03, 1.510821106087e+00, 1.008197387538e-03
 1.666666666667e+00, 1.517063796770e-02, 6.381431295049e-06, 7.603436720926e-03, 4.517739066601e-06, 7.567201246779e-03, 4.506961182386e-06, 8.608799556490e-03, 3.925019729055e-06, 8.584422460467e-03, 3.394350760861e-06, 1.536386715463e+00, 1.115597484469e-03, 1.525565974843e+00, 9.586409784941e-04, 5.298375937500e-01, 2.228727762964e-04, 2.655515625000e-01, 1.577829489659e-04, 2.642860312500e-01, 1.574065291838e-04, 3.006640625000e-01, 1.370821064408e-04, 2.998126875000e-01, 1.185483855924e-04, 1.536386715463e+00, 1.115597484469e-03, 1.525565974843e+00, 9.586409784941e-04
 1.800000000000e+00, 1.356704214829e-02, 5.587937254371e-06, 6.759516048406e-03, 3.944270900480e-06, 6.807526099884e-03, 3.958253380270e-06, 8.046685628626e-03, 3.513757790210e-06, 8.056197111819e-03, 3.044801449862e-06, 1.519960525286e+00, 1.053619900676e-03, 1.518074635271e+00, 9.104504549238e-04, 5.526352500000e-01, 2.276171230103e-04, 2.753398125000e-01, 1.606645804833e-04, 2.772954375000e-01, 1.612341380280e-04, 3.277709375000e-01, 1.431282068418e-04, 3.281583750000e-01, 1.240258998279e-04, 1.519960525286e+00, 1.053619900676e-03, 1.518074635271e+00, 9.104504549238e-04
 1.933333333333e+00, 1.181695990723e-02, 4.855576471899e-06, 5.923396702281e-03, 3.437742370752e-06, 5.893563204951e-03, 3.429074257988e-06, 7.409521057878e-03, 3.139332789181e-06, 7.407557829003e-03, 2.718381743171e-06, 1.486000140847e+00, 9.926968516587e-04, 1.488849011018e+00, 8.619564546651e-04, 5.552661562500e-01, 2.281582831028e-04, 2.783340000000e-01, 1.615357932472e-04, 2.769321562500e-01, 1.611284880102e-04, 3.481653750000e-01, 1.475138499853e-04, 3.480731250000e-01, 1.277338159391e-04, 1.486000140847e+00, 9.926968516587e-04, 1.488849011018e+00, 8.619564546651e-04
