#                   r,             dens_tot,             dens_err,               dens_A,           dens_err_A,               dens_B,           dens_err_B,           dens_alike,       dens_err_alike,          dens_unlike,      dens_err_unlike,             prob_tot,             prob_err,               prob_A,           prob_err_A,               prob_B,           prob_err_B,           prob_alike,       prob_err_alike,          prob_unlike,      prob_err_unlike
  3.0000000000000e-02,  1.3395541043568e-01,  3.1416899295294e-03,  6.9482921914656e-02,  2.2626752523885e-03,  6.4472488521022e-02,  2.1795679194591e-03,  4.1262392653454e-02,  1.7436543355673e-03,  6.2777783108470e-02,  2.1507314106963e-03,  2.0200000000000e-03,  4.7375568011840e-05,  1.0477777777778e-03,  3.4120338961742e-05,  9.7222222222222e-04,  3.2867109906109e-05,  6.2222222222222e-04,  2.6293687924887e-05,  9.4666666666667e-04,  3.2432265598503e-05
  9.0000000000000e-02,  1.2872392850997e-01,  1.1640290341593e-03,  6.2988305519967e-02,  8.1426193495051e-04,  6.5735622990006e-02,  8.3182996679393e-04,  4.4957060975230e-02,  6.8791238142415e-04,  7.0525007851567e-02,  8.6160010224501e-04,  1.3587777777778e-02,  1.2287201009261e-04,  6.6488888888889e-03,  8.5951464914728e-05,  6.9388888888889e-03,  8.7805902667246e-05,  4.7455555555556e-03,  7.2614320255531e-05,  7.4444444444444e-03,  9.0948364131916e-05
  1.5000000000000e-01,  1.3307897239623e-01,  7.1839137427235e-04,  6.6178828066842e-02,  5.0660086365906e-04,  6.6900144329393e-02,  5.0935422995084e-04,  4.7606873328365e-02,  4.2967612171847e-04,  6.9587629114059e-02,  5.1948427978915e-04,  3.8128888888889e-02,  2.0582864742005e-04,  1.8961111111111e-02,  1.4514785990351e-04,  1.9167777777778e-02,  1.4593673582823e-04,  1.3640000000000e-02,  1.2310790208413e-04,  1.9937777777778e-02,  1.4883912933014e-04
  2.1000000000000e-01,  1.3100610524650e-01,  5.1077319288461e-04,  6.5842591134226e-02,  3.6210605332725e-04,  6.5163514112275e-02,  3.6023389722970e-04,  4.7688731509279e-02,  3.0816989722247e-04,  7.2268929990051e-02,  3.7936576859921e-04,  7.3094444444444e-02,  2.8498429673004e-04,  3.6736666666667e-02,  2.0203593373090e-04,  3.6357777777778e-02,  2.0099137012369e-04,  2.6607777777778e-02,  1.7194242504648e-04,  4.0322222222222e-02,  2.1166593758988e-04
  2.7000000000000e-01,  1.3329468067041e-01,  4.0125890348266e-04,  6.7047764315436e-02,  2.8458396324223e-04,  6.6246916354978e-02,  2.8287925956042e-04,  4.7236742596779e-02,  2.3886814858663e-04,  7.0535016294081e-02,  2.9189096897247e-04,  1.2261222222222e-01,  3.6910134444233e-04,  6.1674444444444e-02,  2.6177692887997e-04,  6.0937777777778e-02,  2.6020884299983e-04,  4.3451111111111e-02,  2.1972485600332e-04,  6.4882222222222e-02,  2.6849833896077e-04
  3.3000000000000e-01,  1.2943484649957e-01,  3.2373384139575e-04,  6.5253040846727e-02,  2.2985971906444e-04,  6.4181805652840e-02,  2.2796515000427e-04,  4.6685773854256e-02,  1.9442619416762e-04,  7.0650511596883e-02,  2.3917740498898e-04,  1.7761666666667e-01,  4.4424300990770e-04,  8.9543333333333e-02,  3.1542446416312e-04,  8.8073333333333e-02,  3.1282464618258e-04,  6.4064444444444e-02,  2.6680089214503e-04,  9.6950000000000e-02,  3.2821063697300e-04
  3.9000000000000e-01,  1.3067565360680e-01,  2.7534593563595e-04,  6.5090960266925e-02,  1.9433081366459e-04,  6.5584693339873e-02,  1.9506644799067e-04,  4.6445139469727e-02,  1.6415399835209e-04,  7.0177977403954e-02,  2.0178168921431e-04,  2.5025888888889e-01,  5.2731909893229e-04,  1.2465666666667e-01,  3.7216583320800e-04,  1.2560222222222e-01,  3.7357465745331e-04,  8.8947777777778e-02,  3.1437376512287e-04,  1.3439888888889e-01,  3.8643511585444e-04
  4.5000000000000e-01,  1.2838734179053e-01,  2.3659248263441e-04,  6.4020799607360e-02,  1.6707073567950e-04,  6.4366542183165e-02,  1.6752125870655e-04,  4.6801685750053e-02,  1.4284682306257e-04,  6.9346892048766e-02,  1.7388148433334e-04,  3.2719000000000e-01,  6.0294646897087e-04,  1.6315444444444e-01,  4.2577308046585e-04,  1.6403555555556e-01,  4.2692122036163e-04,  1.1927222222222e-01,  3.6403940907273e-04,  1.7672777777778e-01,  4.4313000071183e-04
  5.1000000000000e-01,  1.2554911472368e-01,  2.0647151796458e-04,  6.2241630063705e-02,  1.4537636392464e-04,  6.3307484659979e-02,  1.4661582637167e-04,  4.5879964063052e-02,  1.2481444727403e-04,  6.8777332283864e-02,  1.5281851902188e-04,  4.1083222222222e-01,  6.7563321922000e-04,  2.0367222222222e-01,  4.7571259089476e-04,  2.0716000000000e-01,  4.7976846267525e-04,  1.5013222222222e-01,  4.0842818248367e-04,  2.2505888888889e-01,  5.0006542781797e-04
  5.7000000000000e-01,  1.2504739929635e-01,  1.8438936840467e-04,  6.1826159661665e-02,  1.2965362995297e-04,  6.3221239634681e-02,  1.3110825840004e-04,  4.5725234726555e-02,  1.1150042341552e-04,  6.8689267960021e-02,  1.3666049479810e-04,  5.1101666666667e-01,  7.5352259176238e-04,  2.5265777777778e-01,  5.2984041389604e-04,  2.5835888888889e-01,  5.3578487483202e-04,  1.8686000000000e-01,  4.5565581552552e-04,  2.8070444444444e-01,  5.5847455372693e-04
  6.3000000000000e-01,  1.2206264323935e-01,  1.6483923050137e-04,  6.0743379750356e-02,  1.1628365381222e-04,  6.1319263488997e-02,  1.1683357295043e-04,  4.5256180884980e-02,  1.0037097528956e-04,  6.8013271956207e-02,  1.2304558275447e-04,  6.0925888888889e-01,  8.2277233849204e-04,  3.0319222222222e-01,  5.8041385830593e-04,  3.0606666666667e-01,  5.8315870401982e-04,  2.2589000000000e-01,  5.0098791291696e-04,  3.3947888888889e-01,  6.1416509623398e-04
  6.9000000000000e-01,  1.1991056948900e-01,  1.4918208396975e-04,  5.9911576155666e-02,  1.0544920489924e-04,  5.9998993333337e-02,  1.0552610749798e-04,  4.4544712795935e-02,  9.0925567104330e-05,  6.7225665619895e-02,  1.1170059650761e-04,  7.1785888888889e-01,  8.9309629248716e-04,  3.5866777777778e-01,  6.3128420943852e-04,  3.5919111111111e-01,  6.3174459599422e-04,  2.6667222222222e-01,  5.4433672403743e-04,  4.0245444444444e-01,  6.6870890897181e-04
  7.5000000000000e-01,  1.1777330677402e-01,  1.3602546006217e-04,  5.8530729115929e-02,  9.5893404128517e-05,  5.9242577658089e-02,  9.6474767839939e-05,  4.4162417424967e-02,  8.3295816193918e-05,  6.6400339648994e-02,  1.0213672292328e-04,  8.3293444444444e-01,  9.6202012247633e-04,  4.1395000000000e-01,  6.7819204097692e-04,  4.1898444444444e-01,  6.8230365058743e-04,  3.1233222222222e-01,  5.8909744734563e-04,  4.6960666666667e-01,  7.2234699776851e-04
  8.1000000000000e-01,  1.1422888317744e-01,  1.2404449415647e-04,  5.6944041592944e-02,  8.7581760545439e-05,  5.7284841584500e-02,  8.7843450241299e-05,  4.3599364611357e-02,  7.6635431519486e-05,  6.5838247854769e-02,  9.4173488697660e-05,  9.4222444444445e-01,  1.0231891562085e-03,  4.6970666666667e-01,  7.2242390346409e-04,  4.7251777777778e-01,  7.2458246810589e-04,  3.5963222222222e-01,  6.3213238963424e-04,  5.4307111111111e-01,  7.7679620601482e-04
  8.7000000000000e-01,  1.1197643695249e-01,  1.1434885828890e-04,  5.6130446216375e-02,  8.0959488935814e-05,  5.5845990736118e-02,  8.0754086851549e-05,  4.3312200330154e-02,  7.1117033755054e-05,  6.4707082552154e-02,  8.6924944134247e-05,  1.0654844444444e+00,  1.0880586403950e-03,  5.3409555555556e-01,  7.7035024902497e-04,  5.3138888888889e-01,  7.6839579564534e-04,  4.1212666666667e-01,  6.7669676999268e-04,  6.1570444444445e-01,  8.2711308137565e-04
  9.3000000000000e-01,  1.0829814482747e-01,  1.0520250146938e-04,  5.4033233989741e-02,  7.4309790808197e-05,  5.4264910837733e-02,  7.4468928456483e-05,  4.2675754280156e-02,  6.6039862570354e-05,  6.4030391456878e-02,  8.0892570550084e-05,  1.1774633333333e+00,  1.1438061866385e-03,  5.8747222222222e-01,  8.0792754228349e-04,  5.8999111111111e-01,  8.0965775424703e-04,  4.6398888888889e-01,  7.1801337722674e-04,  6.9616555555555e-01,  8.7949831378498e-04
  9.9000000000000e-01,  1.0515651143307e-01,  9.7384591521924e-05,  5.2652118934720e-02,  6.8909657094510e-05,  5.2504392498354e-02,  6.8812919026946e-05,  4.2136576015908e-02,  6.1645557299330e-05,  6.3311420058396e-02,  7.5563695513684e-05,  1.2955355555556e+00,  1.1997849601563e-03,  6.4867777777778e-01,  8.4897178187485e-04,  6.4685777777778e-01,  8.4777996213495e-04,  5.1912555555556e-01,  7.5947756572496e-04,  7.8000111111111e-01,  9.3094999932035e-04
