#                   r,             dens_tot,             dens_err,               dens_A,           dens_err_A,               dens_B,           dens_err_B,           dens_alike,       dens_err_alike,          dens_unlike,      dens_err_unlike,         dens_alike_n,     dens_err_alike_n,        dens_unlike_n,    dens_err_unlike_n,             prob_tot,             prob_err,               prob_A,           prob_err_A,               prob_B,           prob_err_B,           prob_alike,       prob_err_alike,          prob_unlike,      prob_err_unlike,         prob_alike_n,     prob_err_alike_n,        prob_unlike_n,    prob_err_unlike_n
  3.0000000000000e-02,  2.1846963253124e-02,  8.9714725262315e-04,  1.2010303575916e-02,  6.6518919303662e-04,  9.8366596772074e-03,  6.0199379594523e-04,                 -nan,                 -nan,  8.3261613747149e-03,  7.8325937587238e-04,                 -nan,                 -nan,  9.7413793103448e-01,  1.2875674203019e-01,  3.2944444444444e-04,  1.3528661846540e-05,  1.8111111111111e-04,  1.0030816714038e-05,  1.4833333333333e-04,  9.0778525768712e-06,                 -nan,                 -nan,  1.2555555555556e-04,  1.1811273125261e-05,                 -nan,                 -nan,  9.7413793103448e-01,  1.2875674203019e-01
  9.0000000000000e-02,  2.2210114412956e-02,  3.4189643336267e-04,  1.1262949015101e-02,  2.4346987427756e-04,  1.0947165397855e-02,  2.4003248002173e-04,                 -nan,                 -nan,  7.7682769842473e-03,  2.8595422744751e-04,                 -nan,                 -nan,  9.3064312736444e-01,  4.7599895062182e-02,  2.3444444444444e-03,  3.6089737264248e-05,  1.1888888888889e-03,  2.5700074458268e-05,  1.1555555555556e-03,  2.5337231668870e-05,                 -nan,                 -nan,  8.2000000000000e-04,  3.0184617127125e-05,                 -nan,                 -nan,  9.3064312736444e-01,  4.7599895062182e-02
  1.5000000000000e-01,  2.1610402543362e-02,  2.0470234616061e-04,  1.0804231760576e-02,  1.4473992316656e-04,  1.0806170782787e-02,  1.4475291073203e-04,                 -nan,                 -nan,  7.4458452908489e-03,  1.6992739272881e-04,                 -nan,                 -nan,  9.2352092352092e-01,  2.9231061214597e-02,  6.1916666666667e-03,  5.8649934482613e-05,  3.0955555555556e-03,  4.1469905792270e-05,  3.0961111111111e-03,  4.1473626901865e-05,                 -nan,                 -nan,  2.1333333333333e-03,  4.8686449556015e-05,                 -nan,                 -nan,  9.2352092352092e-01,  2.9231061214597e-02
  2.1000000000000e-01,  2.1446686181534e-02,  1.4613270684581e-04,  1.0853283781917e-02,  1.0395560487285e-04,  1.0593402399616e-02,  1.0270345771007e-04,                 -nan,                 -nan,  7.7705529022094e-03,  1.2439653656797e-04,                 -nan,                 -nan,  1.0069677419355e+00,  2.2837161425972e-02,  1.1966111111111e-02,  8.1534284237815e-05,  6.0555555555556e-03,  5.8001702827281e-05,  5.9105555555556e-03,  5.7303071255463e-05,                 -nan,                 -nan,  4.3355555555556e-03,  6.9406656385517e-05,                 -nan,                 -nan,  1.0069677419355e+00,  2.2837161425972e-02
  2.7000000000000e-01,  2.1917626308458e-02,  1.1505355277189e-04,  1.0943110253044e-02,  8.1296839508303e-05,  1.0974516055415e-02,  8.1413413461147e-05,                 -nan,                 -nan,  7.9746579712560e-03,  9.8146384435299e-05,                 -nan,                 -nan,  1.0237246084664e+00,  1.7923428571072e-02,  2.0161111111111e-02,  1.0583296879494e-04,  1.0066111111111e-02,  7.4781574940738e-05,  1.0095000000000e-02,  7.4888806462203e-05,                 -nan,                 -nan,  7.3355555555556e-03,  9.0280769181208e-05,                 -nan,                 -nan,  1.0237246084664e+00,  1.7923428571072e-02
  3.3000000000000e-01,  2.1697978161910e-02,  9.3725362785880e-05,  1.0782391125780e-02,  6.6070111092822e-05,  1.0915587036131e-02,  6.6476943743879e-05,                 -nan,                 -nan,  7.7375083241054e-03,  7.9152212451960e-05,                 -nan,                 -nan,  9.9355375337908e-01,  1.4350507928120e-02,  2.9775000000000e-02,  1.2861441080480e-04,  1.4796111111111e-02,  9.0664556075652e-05,  1.4978888888889e-02,  9.1222831233588e-05,                 -nan,                 -nan,  1.0617777777778e-02,  1.0861643919867e-04,                 -nan,                 -nan,  9.9355375337908e-01,  1.4350507928120e-02
  3.9000000000000e-01,  2.1558903945581e-02,  7.9082369018458e-05,  1.0857486165871e-02,  5.6121720206604e-05,  1.0701417779710e-02,  5.5716905967787e-05,                 -nan,                 -nan,  7.8393904602570e-03,  6.7440763422986e-05,                 -nan,                 -nan,  9.9535911602210e-01,  1.2095686295195e-02,  4.1287777777778e-02,  1.5145182178167e-04,  2.0793333333333e-02,  1.0747954155025e-04,  2.0494444444444e-02,  1.0670427577720e-04,                 -nan,                 -nan,  1.5013333333333e-02,  1.2915680965974e-04,                 -nan,                 -nan,  9.9535911602210e-01,  1.2095686295195e-02
  4.5000000000000e-01,  2.1327259406516e-02,  6.8185552798122e-05,  1.0713877914937e-02,  4.8327929228216e-05,  1.0613381491579e-02,  4.8100736656500e-05,                 -nan,                 -nan,  7.7707060889953e-03,  5.8206311534384e-05,                 -nan,                 -nan,  9.8747853066652e-01,  1.0427698880335e-02,  5.4351666666667e-02,  1.7376815119685e-04,  2.7303888888889e-02,  1.2316179261644e-04,  2.7047777777778e-02,  1.2258280144407e-04,                 -nan,                 -nan,  1.9803333333333e-02,  1.4833645439913e-04,                 -nan,                 -nan,  9.8747853066652e-01,  1.0427698880335e-02
  5.1000000000000e-01,  2.0925588150547e-02,  5.9604241023136e-05,  1.0463642955965e-02,  4.2148272724487e-05,  1.0461945194582e-02,  4.2144853236028e-05,                 -nan,                 -nan,  7.7095344403940e-03,  5.1164342767466e-05,                 -nan,                 -nan,  1.0100987632352e+00,  9.5041172273408e-03,  6.8474444444444e-02,  1.9504193914308e-04,  3.4240000000000e-02,  1.3792107243718e-04,  3.4234444444444e-02,  1.3790988290354e-04,                 -nan,                 -nan,  2.5227777777778e-02,  1.6742420433596e-04,                 -nan,                 -nan,  1.0100987632352e+00,  9.5041172273408e-03
  5.7000000000000e-01,  2.0816898845061e-02,  5.3197541606360e-05,  1.0403963197710e-02,  3.7608234885906e-05,  1.0412935647351e-02,  3.7624448191660e-05,                 -nan,                 -nan,  7.6295730116538e-03,  4.5545834267718e-05,                 -nan,                 -nan,  9.9843444227006e-01,  8.4258347091251e-03,  8.5070000000000e-02,  2.1739620767417e-04,  4.2516666666667e-02,  1.5368920056520e-04,  4.2553333333333e-02,  1.5375545759660e-04,                 -nan,                 -nan,  3.1178888888889e-02,  1.8612686500488e-04,                 -nan,                 -nan,  9.9843444227006e-01,  8.4258347091251e-03
  6.3000000000000e-01,  2.0308527799800e-02,  4.7543748119412e-05,  1.0201066975296e-02,  3.3695894906710e-05,  1.0107460824504e-02,  3.3540939934326e-05,                 -nan,                 -nan,  7.4784747582693e-03,  4.0801460534221e-05,                 -nan,                 -nan,  9.9129536736500e-01,  7.6319162437115e-03,  1.0136722222222e-01,  2.3730807709977e-04,  5.0917222222222e-02,  1.6818842314206e-04,  5.0450000000000e-02,  1.6741498671797e-04,                 -nan,                 -nan,  3.7327777777778e-02,  2.0365487630296e-04,                 -nan,                 -nan,  9.9129536736500e-01,  7.6319162437115e-03
