#                   r,             dens_tot,             dens_err,               dens_A,           dens_err_A,               dens_B,           dens_err_B,           dens_alike,       dens_err_alike,          dens_unlike,      dens_err_unlike,         dens_alike_n,     dens_err_alike_n,        dens_unlike_n,    dens_err_unlike_n,             prob_tot,             prob_err,               prob_A,           prob_err_A,               prob_B,           prob_err_B,           prob_alike,       prob_err_alike,          prob_unlike,      prob_err_unlike,         prob_alike_n,     prob_err_alike_n,        prob_unlike_n,    prob_err_unlike_n
  3.0000000000000e-02,  2.7888956463094e-02,  1.0136413638617e-03,  1.3594484722433e-02,  7.0770060667983e-04,  1.4294471740661e-02,  7.2569185322455e-04,                 -nan,                 -nan,  0.0000000000000e+00,  0.0000000000000e+00,                 -nan,                 -nan,  0.0000000000000e+00,  0.0000000000000e+00,  4.2055555555556e-04,  1.5285351657997e-05,  2.0500000000000e-04,  1.0671873729055e-05,  2.1555555555556e-04,  1.0943175335329e-05,                 -nan,                 -nan,  0.0000000000000e+00,  0.0000000000000e+00,                 -nan,                 -nan,  0.0000000000000e+00,  0.0000000000000e+00
  9.0000000000000e-02,  2.3557457846538e-02,  3.5211407365360e-04,  1.1820833405569e-02,  2.4942686074515e-04,  1.1736624440970e-02,  2.4853684234687e-04,                 -nan,                 -nan,  0.0000000000000e+00,  0.0000000000000e+00,                 -nan,                 -nan,  0.0000000000000e+00,  0.0000000000000e+00,  2.4866666666667e-03,  3.7168285963728e-05,  1.2477777777778e-03,  2.6328879135717e-05,  1.2388888888889e-03,  2.6234931006928e-05,                 -nan,                 -nan,  0.0000000000000e+00,  0.0000000000000e+00,                 -nan,                 -nan,  0.0000000000000e+00,  0.0000000000000e+00
  1.5000000000000e-01,  2.3469924843863e-02,  2.1332769526359e-04,  1.1597291844939e-02,  1.4995801571315e-04,  1.1872632998924e-02,  1.5172771365129e-04,                 -nan,                 -nan,  0.0000000000000e+00,  0.0000000000000e+00,                 -nan,                 -nan,  0.0000000000000e+00,  0.0000000000000e+00,  6.7244444444444e-03,  6.1121211286556e-05,  3.3227777777778e-03,  4.2964958446634e-05,  3.4016666666667e-03,  4.3472000354421e-05,                 -nan,                 -nan,  0.0000000000000e+00,  0.0000000000000e+00,                 -nan,                 -nan,  0.0000000000000e+00,  0.0000000000000e+00
  2.1000000000000e-01,  2.3621325794351e-02,  1.5336260089514e-04,  1.1710593629278e-02,  1.0798334730316e-04,  1.1910732165073e-02,  1.0890217655551e-04,                 -nan,                 -nan,  0.0000000000000e+00,  0.0000000000000e+00,                 -nan,                 -nan,  0.0000000000000e+00,  0.0000000000000e+00,  1.3179444444444e-02,  8.5568180886629e-05,  6.5338888888889e-03,  6.0248969050142e-05,  6.6455555555556e-03,  6.0761626942026e-05,                 -nan,                 -nan,  0.0000000000000e+00,  0.0000000000000e+00,                 -nan,                 -nan,  0.0000000000000e+00,  0.0000000000000e+00
  2.7000000000000e-01,  2.3473421441293e-02,  1.1906701690435e-04,  1.1917294084279e-02,  8.4838328466869e-05,  1.1556127357014e-02,  8.3542878436452e-05,                 -nan,                 -nan,  0.0000000000000e+00,  0.0000000000000e+00,                 -nan,                 -nan,  0.0000000000000e+00,  0.0000000000000e+00,  2.1592222222222e-02,  1.0952478720521e-04,  1.0962222222222e-02,  7.8039243056235e-05,  1.0630000000000e-02,  7.6847612555990e-05,                 -nan,                 -nan,  0.0000000000000e+00,  0.0000000000000e+00,                 -nan,                 -nan,  0.0000000000000e+00,  0.0000000000000e+00
  3.3000000000000e-01,  2.3231957810300e-02,  9.6981835948265e-05,  1.1595331514792e-02,  6.8515539402550e-05,  1.1636626295509e-02,  6.8637434132358e-05,                 -nan,                 -nan,  0.0000000000000e+00,  0.0000000000000e+00,                 -nan,                 -nan,  0.0000000000000e+00,  0.0000000000000e+00,  3.1880000000000e-02,  1.3308309851785e-04,  1.5911666666667e-02,  9.4020289378489e-05,  1.5968333333333e-02,  9.4187559137586e-05,                 -nan,                 -nan,  0.0000000000000e+00,  0.0000000000000e+00,                 -nan,                 -nan,  0.0000000000000e+00,  0.0000000000000e+00
  3.9000000000000e-01,  2.3559654241777e-02,  8.2670542620408e-05,  1.1833058624347e-02,  5.8588831973905e-05,  1.1726595617430e-02,  5.8324672181559e-05,                 -nan,                 -nan,  0.0000000000000e+00,  0.0000000000000e+00,                 -nan,                 -nan,  0.0000000000000e+00,  0.0000000000000e+00,  4.5119444444444e-02,  1.5832358644463e-04,  2.2661666666667e-02,  1.1220434401045e-04,  2.2457777777778e-02,  1.1169844766100e-04,                 -nan,                 -nan,  0.0000000000000e+00,  0.0000000000000e+00,                 -nan,                 -nan,  0.0000000000000e+00,  0.0000000000000e+00
  4.5000000000000e-01,  2.2907080621434e-02,  7.0665870348947e-05,  1.1516541322323e-02,  5.0105554793364e-05,  1.1390539299111e-02,  4.9830699483585e-05,                 -nan,                 -nan,  0.0000000000000e+00,  0.0000000000000e+00,                 -nan,                 -nan,  0.0000000000000e+00,  0.0000000000000e+00,  5.8377777777778e-02,  1.8008914116468e-04,  2.9349444444444e-02,  1.2769200019414e-04,  2.9028333333333e-02,  1.2699154244221e-04,                 -nan,                 -nan,  0.0000000000000e+00,  0.0000000000000e+00,                 -nan,                 -nan,  0.0000000000000e+00,  0.0000000000000e+00
  5.1000000000000e-01,  2.2415203988028e-02,  6.1689275991767e-05,  1.1245971401271e-02,  4.3695510020908e-05,  1.1169232586757e-02,  4.3546172924852e-05,                 -nan,                 -nan,  0.0000000000000e+00,  0.0000000000000e+00,                 -nan,                 -nan,  0.0000000000000e+00,  0.0000000000000e+00,  7.3348888888889e-02,  2.0186476343347e-04,  3.6800000000000e-02,  1.4298407059685e-04,  3.6548888888889e-02,  1.4249539736990e-04,                 -nan,                 -nan,  0.0000000000000e+00,  0.0000000000000e+00,                 -nan,                 -nan,  0.0000000000000e+00,  0.0000000000000e+00
  5.7000000000000e-01,  2.2082422083104e-02,  5.4790706480624e-05,  1.1069555825646e-02,  3.8792578210270e-05,  1.1012866257458e-02,  3.8693118153569e-05,                 -nan,                 -nan,  0.0000000000000e+00,  0.0000000000000e+00,                 -nan,                 -nan,  0.0000000000000e+00,  0.0000000000000e+00,  9.0241666666667e-02,  2.2390680931865e-04,  4.5236666666667e-02,  1.5852911871792e-04,  4.5005000000000e-02,  1.5812266686904e-04,                 -nan,                 -nan,  0.0000000000000e+00,  0.0000000000000e+00,                 -nan,                 -nan,  0.0000000000000e+00,  0.0000000000000e+00
  6.3000000000000e-01,  2.1791645468411e-02,  4.9249203132415e-05,  1.0866772549477e-02,  3.4777990461719e-05,  1.0924872918934e-02,  3.4870838656713e-05,                 -nan,                 -nan,  0.0000000000000e+00,  0.0000000000000e+00,                 -nan,                 -nan,  0.0000000000000e+00,  0.0000000000000e+00,  1.0877000000000e-01,  2.4582062114025e-04,  5.4240000000000e-02,  1.7358955421722e-04,  5.4530000000000e-02,  1.7405299320737e-04,                 -nan,                 -nan,  0.0000000000000e+00,  0.0000000000000e+00,                 -nan,                 -nan,  0.0000000000000e+00,  0.0000000000000e+00
  6.9000000000000e-01,  2.1578494150149e-02,  4.4749017674073e-05,  1.0765768788503e-02,  3.1607886941861e-05,  1.0812725361647e-02,  3.1676743296384e-05,                 -nan,                 -nan,  0.0000000000000e+00,  0.0000000000000e+00,                 -nan,                 -nan,  0.0000000000000e+00,  0.0000000000000e+00,  1.2918222222222e-01,  2.6789531767944e-04,  6.4450555555555e-02,  1.8922437527319e-04,  6.4731666666667e-02,  1.8963659203075e-04,                 -nan,                 -nan,  0.0000000000000e+00,  0.0000000000000e+00,                 -nan,                 -nan,  0.0000000000000e+00,  0.0000000000000e+00
  7.5000000000000e-01,  2.0998196590352e-02,  4.0613719941635e-05,  1.0525884915445e-02,  2.8754848231975e-05,  1.0472311674907e-02,  2.8681578594173e-05,                 -nan,                 -nan,  9.7405891886772e-06,  1.2370560640187e-06,                 -nan,                 -nan,  1.3239376468076e-03,  1.6825151607249e-04,  1.4850666666667e-01,  2.8723457957513e-04,  7.4442777777778e-02,  2.0336444813544e-04,  7.4063888888889e-02,  2.0284625936475e-04,                 -nan,                 -nan,  6.8888888888889e-05,  8.7488976377909e-06,                 -nan,                 -nan,  1.3239376468076e-03,  1.6825151607249e-04
  8.1000000000000e-01,  2.0574149371619e-02,  3.7225065751173e-05,  1.0341124486842e-02,  2.6391155909412e-05,  1.0233024884777e-02,  2.6252855272222e-05,                 -nan,                 -nan,  7.2470512038256e-05,  3.1244256320004e-06,                 -nan,                 -nan,  9.8684813911257e-03,  4.2755461405483e-04,  1.6970722222222e-01,  3.0705339946572e-04,  8.5299444444445e-02,  2.1768918265939e-04,  8.4407777777778e-02,  2.1654840077115e-04,                 -nan,                 -nan,  5.9777777777778e-04,  2.5772030010540e-05,                 -nan,                 -nan,  9.8684813911257e-03,  4.2755461405483e-04
  8.7000000000000e-01,  2.0105782766210e-02,  3.4262102163269e-05,  1.0051402545924e-02,  2.4225170699403e-05,  1.0054380220286e-02,  2.4228758722458e-05,                 -nan,                 -nan,  3.1236387918268e-04,  6.0394711973149e-06,                 -nan,                 -nan,  4.3495227719874e-02,  8.5906287157653e-04,  1.9131166666667e-01,  3.2601266732945e-04,  9.5641666666667e-02,  2.3050869671069e-04,  9.5670000000000e-02,  2.3054283766797e-04,                 -nan,                 -nan,  2.9722222222222e-03,  5.7467113515492e-05,                 -nan,                 -nan,  4.3495227719874e-02,  8.5906287157653e-04
  9.3000000000000e-01,  1.9538268205486e-02,  3.1596835818824e-05,  9.7250623600448e-03,  2.2291883128113e-05,  9.8132058454411e-03,  2.2392676936094e-05,                 -nan,                 -nan,  7.8945904311456e-04,  8.9821511666182e-06,                 -nan,                 -nan,  1.1152979902980e-01,  1.3378340051466e-03,  2.1242833333333e-01,  3.4353419151627e-04,  1.0573500000000e-01,  2.4236680190708e-04,  1.0669333333333e-01,  2.4346267490947e-04,                 -nan,                 -nan,  8.5833333333333e-03,  9.7657754618038e-05,                 -nan,                 -nan,  1.1152979902980e-01,  1.3378340051466e-03
  9.9000000000000e-01,  1.9065999560464e-02,  2.9321551969490e-05,  9.5618596457004e-03,  2.0764828399043e-05,  9.5041399147636e-03,  2.0702060560674e-05,                 -nan,                 -nan,  1.4857419491454e-03,  1.1575609159606e-05,                 -nan,                 -nan,  2.1176168134199e-01,  1.8161698142590e-03,  2.3489444444444e-01,  3.6124356545169e-04,  1.1780277777778e-01,  2.5582413422959e-04,  1.1709166666667e-01,  2.5505083008280e-04,                 -nan,                 -nan,  1.8304444444444e-02,  1.4261231224876e-04,                 -nan,                 -nan,  2.1176168134199e-01,  1.8161698142590e-03
  1.0500000000000e+00,  1.8525422425261e-02,  2.7251756300429e-05,  9.2246671326640e-03,  1.9230288008303e-05,  9.3007552925974e-03,  1.9309434082222e-05,                 -nan,                 -nan,  2.3420561009639e-03,  1.3703265791178e-05,                 -nan,                 -nan,  3.3905170912890e-01,  2.2955745415209e-03,  2.5672888888889e-01,  3.7766011239450e-04,  1.2783722222222e-01,  2.6649705253970e-04,  1.2889166666667e-01,  2.6759387414790e-04,                 -nan,                 -nan,  3.2456666666667e-02,  1.8990250910128e-04,                 -nan,                 -nan,  3.3905170912890e-01,  2.2955745415209e-03
  1.1100000000000e+00,  1.7835373632131e-02,  2.5294382200574e-05,  8.9219018765197e-03,  1.7890055665273e-05,  8.9134717556114e-03,  1.7881601695659e-05,                 -nan,                 -nan,  3.1855812633990e-03,  1.5117929390379e-05,                 -nan,                 -nan,  4.6926093067988e-01,  2.6994015136950e-03,  2.7621277777778e-01,  3.9172891546308e-04,  1.3817166666667e-01,  2.7705962722316e-04,  1.3804111111111e-01,  2.7692870232758e-04,                 -nan,                 -nan,  4.9334444444445e-02,  2.3412827548743e-04,                 -nan,                 -nan,  4.6926093067988e-01,  2.6994015136950e-03
  1.1700000000000e+00,  1.7335390481826e-02,  2.3658771212561e-05,  8.6671624771416e-03,  1.6728763414772e-05,  8.6682280046844e-03,  1.6729791687313e-05,                 -nan,                 -nan,  3.9432268376819e-03,  1.5957551272752e-05,                 -nan,                 -nan,  5.9039883973894e-01,  3.0130962711186e-03,  2.9827055555556e-01,  4.0706985174234e-04,  1.4912611111111e-01,  2.8783300628346e-04,  1.4914444444444e-01,  2.8785069861190e-04,                 -nan,                 -nan,  6.7846666666667e-02,  2.7456362684301e-04,                 -nan,                 -nan,  5.9039883973894e-01,  3.0130962711186e-03
  1.2300000000000e+00,  1.6583226823134e-02,  2.2011273474335e-05,  8.2910436988557e-03,  1.5563786018627e-05,  8.2921831242787e-03,  1.5564855435511e-05,                 -nan,                 -nan,  4.6199902820013e-03,  1.6430325903981e-05,                 -nan,                 -nan,  7.0075334574138e-01,  3.2500568887761e-03,  3.1533722222222e-01,  4.1855387428503e-04,  1.5765777777778e-01,  2.9595211491217e-04,  1.5767944444444e-01,  2.9597245033622e-04,                 -nan,                 -nan,  8.7851111111111e-02,  3.1242974518924e-04,                 -nan,                 -nan,  7.0075334574138e-01,  3.2500568887761e-03
  1.2900000000000e+00,  1.6087987600138e-02,  2.0671920366457e-05,  8.0614981238658e-03,  1.4633150541109e-05,  8.0264894762726e-03,  1.4601342297145e-05,                 -nan,                 -nan,  5.1953045523963e-03,  1.6613091817863e-05,                 -nan,                 -nan,  8.0745064689515e-01,  3.4712721554154e-03,  3.3648777777778e-01,  4.3236287343040e-04,  1.6861000000000e-01,  3.0605918091477e-04,  1.6787777777778e-01,  3.0539389662985e-04,                 -nan,                 -nan,  1.0866222222222e-01,  3.4747057784672e-04,                 -nan,                 -nan,  8.0745064689515e-01,  3.4712721554154e-03
  1.3500000000000e+00,  1.5466145378566e-02,  1.9367802577711e-05,  7.7330120549481e-03,  1.3695050848229e-05,  7.7331333236183e-03,  1.3695158230325e-05,                 -nan,                 -nan,  5.5465379309303e-03,  1.6402698304775e-05,                 -nan,                 -nan,  8.8120284527470e-01,  3.5742671844926e-03,  3.5426722222222e-01,  4.4363850538112e-04,  1.7713222222222e-01,  3.1369856570194e-04,  1.7713500000000e-01,  3.1370102539414e-04,                 -nan,                 -nan,  1.2704888888889e-01,  3.7571988515218e-04,                 -nan,                 -nan,  8.8120284527470e-01,  3.5742671844926e-03
  1.4100000000000e+00,  1.4834731072870e-02,  1.8161293503165e-05,  7.4348079598316e-03,  1.2857064298260e-05,  7.3999231130381e-03,  1.2826865530538e-05,                 -nan,                 -nan,  5.8090718237312e-03,  1.6072199298512e-05,                 -nan,                 -nan,  9.4105951677736e-01,  3.6274804450500e-03,  3.7067500000000e-01,  4.5379572007188e-04,  1.8577333333333e-01,  3.2125909700335e-04,  1.8490166666667e-01,  3.2050452126007e-04,                 -nan,                 -nan,  1.4515111111111e-01,  4.0159558307541e-04,                 -nan,                 -nan,  9.4105951677736e-01,  3.6274804450500e-03
  1.4700000000000e+00,  1.4157927325375e-02,  1.7018104078094e-05,  7.0722438364071e-03,  1.2027903883080e-05,  7.0856834889678e-03,  1.2039326999141e-05,                 -nan,                 -nan,  6.0653540672370e-03,  1.5752678622362e-05,                 -nan,                 -nan,  1.0042336142195e+00,  3.6923867160996e-03,  3.8450722222222e-01,  4.6218516144159e-04,  1.9207111111111e-01,  3.2665910800023e-04,  1.9243611111111e-01,  3.2696934201433e-04,                 -nan,                 -nan,  1.6472555555556e-01,  4.2781817991026e-04,                 -nan,                 -nan,  1.0042336142195e+00,  3.6923867160996e-03
  1.5300000000000e+00,  1.3542253367597e-02,  1.5991346187882e-05,  6.7723824267833e-03,  1.1308637808711e-05,  6.7698709408133e-03,  1.1306540753567e-05,                 -nan,                 -nan,  6.1991027082479e-03,  1.5300970276748e-05,                 -nan,                 -nan,  1.0452308025395e+00,  3.6895508629011e-03,  3.9841833333333e-01,  4.7047159161688e-04,  1.9924611111111e-01,  3.3270449944450e-04,  1.9917222222222e-01,  3.3264280327087e-04,                 -nan,                 -nan,  1.8238000000000e-01,  4.5016046521706e-04,                 -nan,                 -nan,  1.0452308025395e+00,  3.6895508629011e-03
