#                   r,             dens_tot,             dens_err,               dens_A,           dens_err_A,               dens_B,           dens_err_B,           dens_alike,       dens_err_alike,          dens_unlike,      dens_err_unlike,         dens_alike_n,     dens_err_alike_n,        dens_unlike_n,    dens_err_unlike_n,             prob_tot,             prob_err,               prob_A,           prob_err_A,               prob_B,           prob_err_B,           prob_alike,       prob_err_alike,          prob_unlike,      prob_err_unlike,         prob_alike_n,     prob_err_alike_n,        prob_unlike_n,    prob_err_unlike_n
  3.0000000000000e-02,  1.3588344485431e-02,  2.8885230759922e-04,  7.4910891424426e-03,  2.1446925825797e-04,  6.0972553429881e-03,  1.9349054981490e-04,  0.0000000000000e+00,  0.0000000000000e+00,  0.0000000000000e+00,  0.0000000000000e+00,  0.0000000000000e+00,  0.0000000000000e+00,  0.0000000000000e+00,  0.0000000000000e+00,  2.0490740740741e-04,  4.3557901801256e-06,  1.1296296296296e-04,  3.2341202215876e-06,  9.1944444444444e-05,  2.9177687512201e-06,  0.0000000000000e+00,  0.0000000000000e+00,  0.0000000000000e+00,  0.0000000000000e+00,  0.0000000000000e+00,  0.0000000000000e+00,  0.0000000000000e+00,  0.0000000000000e+00
  9.0000000000000e-02,  1.7024245676408e-02,  1.2220176713327e-04,  8.6498395823919e-03,  8.7105900296450e-05,  8.3744060940163e-03,  8.5707841088425e-05,  0.0000000000000e+00,  0.0000000000000e+00,  0.0000000000000e+00,  0.0000000000000e+00,  0.0000000000000e+00,  0.0000000000000e+00,  0.0000000000000e+00,  0.0000000000000e+00,  1.7970370370370e-03,  1.2899314642421e-05,  9.1305555555556e-04,  9.1946822169099e-06,  8.8398148148148e-04,  9.0471065636595e-06,  0.0000000000000e+00,  0.0000000000000e+00,  0.0000000000000e+00,  0.0000000000000e+00,  0.0000000000000e+00,  0.0000000000000e+00,  0.0000000000000e+00,  0.0000000000000e+00
  1.5000000000000e-01,  1.5386464415912e-02,  7.0515596683351e-05,  7.4662050240661e-03,  4.9120832944091e-05,  7.9202593918457e-03,  5.0592421828646e-05,  0.0000000000000e+00,  0.0000000000000e+00,  0.0000000000000e+00,  0.0000000000000e+00,  0.0000000000000e+00,  0.0000000000000e+00,  0.0000000000000e+00,  0.0000000000000e+00,  4.4084259259259e-03,  2.0203652781957e-05,  2.1391666666667e-03,  1.4073769489882e-05,  2.2692592592593e-03,  1.4495399203870e-05,  0.0000000000000e+00,  0.0000000000000e+00,  0.0000000000000e+00,  0.0000000000000e+00,  0.0000000000000e+00,  0.0000000000000e+00,  0.0000000000000e+00,  0.0000000000000e+00
  2.1000000000000e-01,  1.6256194486625e-02,  5.1939904697255e-05,  8.0153326205325e-03,  3.6471403807288e-05,  8.2408618660925e-03,  3.6980946503377e-05,  0.0000000000000e+00,  0.0000000000000e+00,  0.0000000000000e+00,  0.0000000000000e+00,  0.0000000000000e+00,  0.0000000000000e+00,  0.0000000000000e+00,  0.0000000000000e+00,  9.0700925925926e-03,  2.8979706489249e-05,  4.4721296296296e-03,  2.0349105061834e-05,  4.5979629629630e-03,  2.0633402806747e-05,  0.0000000000000e+00,  0.0000000000000e+00,  0.0000000000000e+00,  0.0000000000000e+00,  0.0000000000000e+00,  0.0000000000000e+00,  0.0000000000000e+00,  0.0000000000000e+00
  2.7000000000000e-01,  1.5160849115681e-02,  3.9065142468655e-05,  7.4699506216160e-03,  2.7421203716801e-05,  7.6908984940651e-03,  2.7823783761704e-05,  0.0000000000000e+00,  0.0000000000000e+00,  0.0000000000000e+00,  0.0000000000000e+00,  0.0000000000000e+00,  0.0000000000000e+00,  0.0000000000000e+00,  0.0000000000000e+00,  1.3945833333333e-02,  3.5934396672235e-05,  6.8712962962963e-03,  2.5223622629312e-05,  7.0745370370370e-03,  2.5593939236694e-05,  0.0000000000000e+00,  0.0000000000000e+00,  0.0000000000000e+00,  0.0000000000000e+00,  0.0000000000000e+00,  0.0000000000000e+00,  0.0000000000000e+00,  0.0000000000000e+00
  3.3000000000000e-01,  1.5560372690052e-02,  3.2402749875911e-05,  7.6776578821188e-03,  2.2760733252760e-05,  7.8827148079329e-03,  2.3062680271763e-05,  0.0000000000000e+00,  0.0000000000000e+00,  0.0000000000000e+00,  0.0000000000000e+00,  0.0000000000000e+00,  0.0000000000000e+00,  0.0000000000000e+00,  0.0000000000000e+00,  2.1352685185185e-02,  4.4464598054067e-05,  1.0535648148148e-02,  3.1233363198355e-05,  1.0817037037037e-02,  3.1647709291975e-05,  0.0000000000000e+00,  0.0000000000000e+00,  0.0000000000000e+00,  0.0000000000000e+00,  0.0000000000000e+00,  0.0000000000000e+00,  0.0000000000000e+00,  0.0000000000000e+00
  3.9000000000000e-01,  1.5263323782260e-02,  2.7165347522074e-05,  7.5643851998838e-03,  1.9123946711096e-05,  7.6989385823765e-03,  1.9293282981033e-05,  0.0000000000000e+00,  0.0000000000000e+00,  0.0000000000000e+00,  0.0000000000000e+00,  0.0000000000000e+00,  0.0000000000000e+00,  0.0000000000000e+00,  0.0000000000000e+00,  2.9231018518519e-02,  5.2024761304130e-05,  1.4486666666667e-02,  3.6624554941888e-05,  1.4744351851852e-02,  3.6948853352443e-05,  0.0000000000000e+00,  0.0000000000000e+00,  0.0000000000000e+00,  0.0000000000000e+00,  0.0000000000000e+00,  0.0000000000000e+00,  0.0000000000000e+00,  0.0000000000000e+00
  4.5000000000000e-01,  1.5235235981447e-02,  2.3527393037083e-05,  7.5068212289625e-03,  1.6514949562091e-05,  7.7284147524845e-03,  1.6756928838035e-05,  0.0000000000000e+00,  0.0000000000000e+00,  0.0000000000000e+00,  0.0000000000000e+00,  0.0000000000000e+00,  0.0000000000000e+00,  0.0000000000000e+00,  0.0000000000000e+00,  3.8826388888889e-02,  5.9958619132119e-05,  1.9130833333333e-02,  4.2087687710186e-05,  1.9695555555556e-02,  4.2704362206223e-05,  0.0000000000000e+00,  0.0000000000000e+00,  0.0000000000000e+00,  0.0000000000000e+00,  0.0000000000000e+00,  0.0000000000000e+00,  0.0000000000000e+00,  0.0000000000000e+00
  5.1000000000000e-01,  1.5461371435249e-02,  2.0916388850068e-05,  7.7141749881743e-03,  1.4774318031047e-05,  7.7471964470745e-03,  1.4805905890716e-05,  0.0000000000000e+00,  0.0000000000000e+00,  0.0000000000000e+00,  0.0000000000000e+00,  0.0000000000000e+00,  0.0000000000000e+00,  0.0000000000000e+00,  0.0000000000000e+00,  5.0593981481481e-02,  6.8444341730723e-05,  2.5242962962963e-02,  4.8345748370043e-05,  2.5351018518518e-02,  4.8449112783336e-05,  0.0000000000000e+00,  0.0000000000000e+00,  0.0000000000000e+00,  0.0000000000000e+00,  0.0000000000000e+00,  0.0000000000000e+00,  0.0000000000000e+00,  0.0000000000000e+00
  5.7000000000000e-01,  1.5204540963622e-02,  1.8560709704518e-05,  7.6140298286893e-03,  1.3134550320988e-05,  7.5905111349326e-03,  1.3114249219868e-05,  0.0000000000000e+00,  0.0000000000000e+00,  0.0000000000000e+00,  0.0000000000000e+00,  0.0000000000000e+00,  0.0000000000000e+00,  0.0000000000000e+00,  0.0000000000000e+00,  6.2134629629630e-02,  7.5849894180466e-05,  3.1115370370370e-02,  5.3675439561044e-05,  3.1019259259259e-02,  5.3592477411635e-05,  0.0000000000000e+00,  0.0000000000000e+00,  0.0000000000000e+00,  0.0000000000000e+00,  0.0000000000000e+00,  0.0000000000000e+00,  0.0000000000000e+00,  0.0000000000000e+00
