#        thread_idx,              error,         selected_k
                  0, 3.017765115601e-10,                  9
                  0, 4.188611577262e-10,                  9
                  0, 5.762975614644e-10,                  9
                  0, 7.765534862050e-10,                  9
                  0, 1.006356737525e-09,                  9
                  0, 1.225714162625e-09,                  9
                  0, 1.381864812886e-09,                  9
                  0, 1.472130933596e-09,                  9
                  0, 1.516271451660e-09,                  9
                  0, 1.545115162237e-09,                  9
                  0, 1.569662818128e-09,                  9
                  0, 1.599978581060e-09,                  9
                  0, 1.617113145373e-09,                  9
                  0, 1.620770852402e-09,                  9
                  0, 1.741682497474e-09,                  9
                  0, 1.766430388248e-09,                  9
                  0, 1.793405875836e-09,                  9
                  0, 1.772421013036e-09,                  9
                  0, 1.528166519732e-09,                  9
                  0, 2.078833463445e-09,                  9
                  0, 1.426659841584e-09,                  9
                  1, 3.007864427798e-10,                  8
                  1, 4.173925650418e-10,                  8
                  1, 5.740176640877e-10,                  8
                  1, 7.730084414911e-10,                  8
                  1, 1.000407333145e-09,                  8
                  1, 1.217420790655e-09,                  8
                  1, 1.371880271527e-09,                  8
                  1, 1.451802592149e-09,                  8
                  1, 1.498406004019e-09,                  8
                  1, 1.525323876130e-09,                  8
                  1, 1.528340410322e-09,                  8
                  1, 1.561062371807e-09,                  8
                  1, 1.573215170836e-09,                  8
                  1, 1.609944433037e-09,                  8
                  1, 1.745372927599e-09,                  8
                  1, 1.519256776589e-09,                  8
                  1, 1.415207658003e-09,                  8
                  1, 1.369346914156e-09,                  8
                  1, 1.069663917811e-09,                  8
                  1, 1.357893246726e-09,                  8
                  1, 9.119613560492e-10,                  8
                  2, 3.007681802402e-10,                  9
                  2, 4.176553525584e-10,                  9
                  2, 5.749795913855e-10,                  9
                  2, 7.754035016694e-10,                  9
                  2, 1.006702693409e-09,                  9
                  2, 1.228980221766e-09,                  9
                  2, 1.394427399609e-09,                  9
                  2, 1.480361541316e-09,                  9
                  2, 1.527087981888e-09,                  9
                  2, 1.561031681180e-09,                  9
                  2, 1.555306159547e-09,                  9
                  2, 1.597949212423e-09,                  9
                  2, 1.663242984351e-09,                  9
                  2, 1.700841797681e-09,                  9
                  2, 1.763685740409e-09,                  9
                  2, 1.718262668061e-09,                  9
                  2, 1.751921652253e-09,                  9
                  2, 1.616166393009e-09,                  9
                  2, 1.348442195577e-09,                  9
                  2, 1.365539613830e-09,                  9
                  2, 1.787429977438e-11,                  9
                  3, 3.020234001727e-10,                  9
                  3, 4.190906001681e-10,                  9
                  3, 5.763304952477e-10,                  9
                  3, 7.758696348667e-10,                  9
                  3, 1.004260174864e-09,                  9
                  3, 1.221071010348e-09,                  9
                  3, 1.375881091636e-09,                  9
                  3, 1.460305615937e-09,                  9
                  3, 1.495280907549e-09,                  9
                  3, 1.525974525094e-09,                  9
                  3, 1.549481790880e-09,                  9
                  3, 1.562454797803e-09,                  9
                  3, 1.550791296687e-09,                  9
                  3, 1.554927253519e-09,                  9
                  3, 1.606399657322e-09,                  9
                  3, 1.522692680456e-09,                  9
                  3, 1.394246345343e-09,                  9
                  3, 1.246078618815e-09,                  9
                  3, 9.761230764203e-10,                  9
                  3, 4.228918149525e-10,                  9
                  3, 3.740270330060e-10,                  9
