#          thread_idx,                error,           selected_k
                    0,  3.2738244467327e-03,                   10
                    0,  4.5572792041484e-03,                   10
                    0,  6.3163035857875e-03,                   10
                    0,  8.5890593522520e-03,                   10
                    0,  1.1356377118660e-02,                   10
                    0,  1.4299939992816e-02,                   10
                    0,  1.7045159880633e-02,                   10
                    0,  1.9551190625507e-02,                   10
                    0,  2.1415363803324e-02,                   10
                    0,  2.2906064528315e-02,                   10
                    0,  2.4520303032059e-02,                   10
                    0,  2.5338760670348e-02,                   10
                    0,  2.4951230531173e-02,                   10
                    0,  2.5721162646409e-02,                   10
                    0,  2.6705779781556e-02,                   10
                    0,  2.5236732704562e-02,                   10
                    0,  2.7917016846149e-02,                   10
                    0,  2.8002838645463e-02,                   10
                    0,  1.5916020986980e-02,                   10
                    0,  1.1423475732242e-02,                   10
                    1,  3.2928602594799e-03,                   11
                    1,  4.5870022926634e-03,                   11
                    1,  6.3626431569583e-03,                   11
                    1,  8.6774900834263e-03,                   11
                    1,  1.1574206605375e-02,                   11
                    1,  1.4496634487125e-02,                   11
                    1,  1.7048518299773e-02,                   11
                    1,  1.9284677000229e-02,                   11
                    1,  2.1309795568804e-02,                   11
                    1,  2.2724200841570e-02,                   11
                    1,  2.4086389819630e-02,                   11
                    1,  2.5530537934087e-02,                   11
                    1,  2.5835019343526e-02,                   11
                    1,  2.6227468135124e-02,                   11
                    1,  2.7274152627235e-02,                   11
                    1,  2.9747852795612e-02,                   11
                    1,  3.0176911670282e-02,                   11
                    1,  2.0048703191374e-02,                   11
                    1,  6.5726650470459e-03,                   11
                    1,  3.2492494201646e-03,                   11
                    2,  3.1037662412584e-03,                   11
                    2,  4.3309304650227e-03,                   11
                    2,  6.0103725766129e-03,                   11
                    2,  8.2071230273525e-03,                   11
                    2,  1.0887115599502e-02,                   11
                    2,  1.3880336304202e-02,                   11
                    2,  1.6571790214320e-02,                   11
                    2,  1.8790723003254e-02,                   11
                    2,  2.0927307082401e-02,                   11
                    2,  2.2839384224089e-02,                   11
                    2,  2.4584285227489e-02,                   11
                    2,  2.6111405720318e-02,                   11
                    2,  2.7499104898019e-02,                   11
                    2,  2.7753851678497e-02,                   11
                    2,  2.5704822114800e-02,                   11
                    2,  2.5916796830685e-02,                   11
                    2,  2.1972943880834e-02,                   11
                    2,  1.9378975406205e-02,                   11
                    2,  2.2531599644829e-02,                   11
                    2,  3.0477570660968e-02,                   11
                    3,  3.1820567222969e-03,                   10
                    3,  4.4400594078432e-03,                   10
                    3,  6.1608463401832e-03,                   10
                    3,  8.3972290332519e-03,                   10
                    3,  1.1135319672475e-02,                   10
                    3,  1.4063676482307e-02,                   10
                    3,  1.6761016713750e-02,                   10
                    3,  1.9101155242066e-02,                   10
                    3,  2.0825375166170e-02,                   10
                    3,  2.2863507199084e-02,                   10
                    3,  2.4430072828159e-02,                   10
                    3,  2.5917460413128e-02,                   10
                    3,  2.6076979653865e-02,                   10
                    3,  2.4561240188616e-02,                   10
                    3,  2.2132258069232e-02,                   10
                    3,  2.2870653104003e-02,                   10
                    3,  2.3807396680793e-02,                   10
                    3,  1.9042545579741e-02,                   10
                    3,  1.8732313330467e-02,                   10
                    3,  2.2680989243472e-02,                   10
