#              p[0],             energy,           variance,              error,       elapsed time,   acceptance ratio 
 4.000000000000e-01, 5.121444040229e-01, 2.512010081859e-02, 1.584932201029e-04, 7.202200200000e-02, 9.905290000000e-01
 6.791122313177e-01, 5.226715961456e-01, 4.903580759966e-02, 2.214403025641e-04, 7.835531200000e-02, 9.791890000000e-01
 5.052884503800e-01, 5.000435954516e-01, 5.467212219382e-05, 7.394059926307e-06, 7.455140700000e-02, 9.866110000000e-01
 5.015470411761e-01, 5.000037675245e-01, 4.752494793830e-06, 2.180021741596e-06, 8.654102300000e-02, 9.871210000000e-01
 4.999567984984e-01, 4.999998718197e-01, 3.694184653743e-09, 6.077980465371e-08, 7.956611200000e-02, 9.870730000000e-01
 4.999999316087e-01, 4.999999996997e-01, 1.590385462479e-14, 1.261104857844e-10, 7.854201000000e-02, 9.870490000000e-01
 4.999572298295e-01, 5.000000656223e-01, 3.647869308008e-09, 6.039759356140e-08, 7.824811000000e-02, 9.868340000000e-01
 4.999568028117e-01, 4.999998567646e-01, 3.717991631775e-09, 6.097533625799e-08, 1.033265450000e-01, 9.868160000000e-01
 5.000428768649e-01, 5.000001136618e-01, 3.665170460016e-09, 6.054065130155e-08, 1.031477450000e-01, 9.868690000000e-01
 4.999576635522e-01, 4.999999788095e-01, 3.617039190988e-09, 6.014182563730e-08, 9.341093100000e-02, 9.870360000000e-01
 4.999568114191e-01, 4.999999165570e-01, 3.717197387153e-09, 6.096882307502e-08, 9.434043300000e-02, 9.867680000000e-01
 4.999568028978e-01, 4.999998887696e-01, 3.718569875471e-09, 6.098007769322e-08, 7.194660100000e-02, 9.869220000000e-01
 4.999568028125e-01, 5.000001134569e-01, 3.769787377284e-09, 6.139859426147e-08, 7.263790200000e-02, 9.869440000000e-01
 4.999568028117e-01, 4.999998702740e-01, 3.731787703232e-09, 6.108835980146e-08, 7.787230900000e-02, 9.868960000000e-01
 4.999568028117e-01, 5.000001045199e-01, 3.769354228937e-09, 6.139506681271e-08, 9.828133800000e-02, 9.869510000000e-01
 4.999568028117e-01, 4.999997533029e-01, 3.687040264949e-09, 6.072100349096e-08, 8.399211700000e-02, 9.870120000000e-01
