#              p[0],               p[1],             energy,           variance,              error,       elapsed time,   acceptance ratio 
 4.000000000000e-01, 2.800000000000e+00, 2.717860639060e+01, 2.599161219810e+00, 1.612191433983e-02, 1.360595220000e-01, 9.293000000000e-01
 1.000000000000e+00, 2.863337621270e+00, 3.487867265157e+01, 3.811594911151e+01, 6.173811554583e-02, 1.378553540000e-01, 7.829000000000e-01
 5.031067980760e-01, 2.810884232211e+00, 2.676439825508e+01, 2.451958243783e-01, 4.951725198134e-03, 1.745142700000e-01, 9.082000000000e-01
 4.876594708290e-01, 2.810507873138e+00, 2.663957037270e+01, 1.751487566494e-01, 4.185077737024e-03, 1.397452790000e-01, 9.152000000000e-01
 4.778219182515e-01, 2.812979434537e+00, 2.664821302724e+01, 1.786152168187e-01, 4.226289351413e-03, 1.524674320000e-01, 9.178000000000e-01
 4.865186707435e-01, 2.810794484816e+00, 2.669533672230e+01, 1.851837684143e-01, 4.303298367698e-03, 1.395291700000e-01, 9.101000000000e-01
 4.876480628282e-01, 2.810510739255e+00, 2.672917812412e+01, 2.489897780585e-01, 4.989887554429e-03, 1.394636580000e-01, 9.099000000000e-01
 4.876593567490e-01, 2.810507901799e+00, 2.670740691847e+01, 2.009770560644e-01, 4.483046464898e-03, 1.709594810000e-01, 9.089000000000e-01
 4.876594696882e-01, 2.810507873425e+00, 2.668929686895e+01, 2.118887706406e-01, 4.603137741156e-03, 1.369428830000e-01, 9.148000000000e-01
 4.876594708176e-01, 2.810507873141e+00, 2.669075213654e+01, 1.972760198543e-01, 4.441576520272e-03, 1.367276170000e-01, 9.081000000000e-01
 1.000000000000e-03, 2.891653636011e+00, 5.745162078160e+03, 3.165851684541e+06, 1.779284037061e+01, 1.406610730000e-01, 1.000000000000e+00
 1.639856505922e-01, 2.864477354140e+00, 4.220844073544e+01, 8.900108892086e+01, 9.434038844570e-02, 1.393219880000e-01, 9.776000000000e-01
 3.665112330116e-01, 2.830708170816e+00, 2.756544763170e+01, 5.146051030481e+00, 2.268490914789e-02, 1.372401230000e-01, 9.389000000000e-01
 4.757907137199e-01, 2.812486873667e+00, 2.664434939266e+01, 2.106429918348e-01, 4.589585949024e-03, 1.454902950000e-01, 9.145000000000e-01
 4.852844480363e-01, 2.810903885233e+00, 2.669750768312e+01, 2.010040811256e-01, 4.483347868788e-03, 1.373177950000e-01, 9.081000000000e-01
 4.876357206011e-01, 2.810511833259e+00, 2.667130081234e+01, 1.712163135449e-01, 4.137829304658e-03, 1.374496730000e-01, 9.126000000000e-01
 4.876592333267e-01, 2.810507912739e+00, 2.671963004856e+01, 2.497635800079e-01, 4.997635240870e-03, 1.368330720000e-01, 9.107000000000e-01
 4.876594684540e-01, 2.810507873534e+00, 2.673486933288e+01, 1.962951464623e-01, 4.430520809818e-03, 1.437148650000e-01, 9.123000000000e-01
 4.876594708053e-01, 2.810507873142e+00, 2.667498950912e+01, 1.890033414173e-01, 4.347451453637e-03, 1.567901420000e-01, 9.073000000000e-01
 4.876594708288e-01, 2.810507873138e+00, 2.668338778769e+01, 1.887518895861e-01, 4.344558545884e-03, 1.492343590000e-01, 9.087000000000e-01
 4.876594708290e-01, 2.810507873138e+00, 2.665981729996e+01, 2.152317441955e-01, 4.639307536643e-03, 1.654524470000e-01, 9.060000000000e-01
