#              p[0],               p[1],               p[2],             energy,           variance,              error,       elapsed time,   acceptance ratio 
 2.000000000000e+00, 0.000000000000e+00, 5.000000000000e+00, 1.879943842339e-01, 4.177968732794e-03, 6.463720857830e-05, 4.290940140000e-01, 9.907660000000e-01
 2.055706117278e+00, 0.000000000000e+00, 5.000000000000e+00, 1.843376921295e-01, 3.833854076219e-03, 6.191812397206e-05, 4.196695160000e-01, 9.910500000000e-01
 2.082573208836e+00, 0.000000000000e+00, 5.000000000000e+00, 1.830860304888e-01, 3.653782255784e-03, 6.044652393467e-05, 4.056591260000e-01, 9.913540000000e-01
 2.764906838622e+00, 0.000000000000e+00, 5.000000000000e+00, 1.604158923716e-01, 1.070415200111e-03, 3.271720037092e-05, 4.047384240000e-01, 9.943280000000e-01
 3.210226137734e+00, 0.000000000000e+00, 5.000000000000e+00, 1.536363419680e-01, 3.680104184946e-04, 1.918359764212e-05, 4.001407190000e-01, 9.953770000000e-01
 3.663536649452e+00, 0.000000000000e+00, 5.000000000000e+00, 1.506191307964e-01, 5.752762426177e-05, 7.584696715213e-06, 4.284279130000e-01, 9.962670000000e-01
 3.902531158900e+00, 0.000000000000e+00, 5.000000000000e+00, 1.500526616660e-01, 4.657904590988e-06, 2.158217920180e-06, 4.048279270000e-01, 9.966180000000e-01
 3.991385222559e+00, 0.000000000000e+00, 5.000000000000e+00, 1.499979614726e-01, 3.523385357013e-08, 1.877068287786e-07, 4.045808250000e-01, 9.966490000000e-01
 3.999586874338e+00, 0.000000000000e+00, 5.000000000000e+00, 1.499994704642e-01, 8.528616180100e-11, 9.235050720001e-09, 4.116202270000e-01, 9.968010000000e-01
 3.991879363711e+00, 0.000000000000e+00, 5.000000000000e+00, 1.499992937828e-01, 3.101823942020e-08, 1.761199574727e-07, 4.247412320000e-01, 9.968490000000e-01
 3.991390163970e+00, 0.000000000000e+00, 5.000000000000e+00, 1.500004251519e-01, 3.473595602056e-08, 1.863758461297e-07, 4.611444670000e-01, 9.968470000000e-01
 3.991385271973e+00, 0.000000000000e+00, 5.000000000000e+00, 1.500021747170e-01, 3.492945523023e-08, 1.868942354120e-07, 4.422022350000e-01, 9.966930000000e-01
 3.991385223053e+00, 0.000000000000e+00, 5.000000000000e+00, 1.499980272468e-01, 3.483445335423e-08, 1.866399028992e-07, 4.357651290000e-01, 9.966930000000e-01
 3.991385222564e+00, 0.000000000000e+00, 5.000000000000e+00, 1.499990428038e-01, 3.531718083424e-08, 1.879286588955e-07, 4.341186130000e-01, 9.967220000000e-01
 3.991385222559e+00, 0.000000000000e+00, 5.000000000000e+00, 1.500001642261e-01, 3.445879353667e-08, 1.856307989981e-07, 4.198732640000e-01, 9.968360000000e-01
 3.991385222559e+00, 0.000000000000e+00, 5.000000000000e+00, 1.499980479492e-01, 3.545022827211e-08, 1.882823100350e-07, 4.326987340000e-01, 9.967590000000e-01
 3.991466974391e+00, 0.000000000000e+00, 5.000000000000e+00, 1.500013261549e-01, 3.391325692098e-08, 1.841555237319e-07, 4.273514350000e-01, 9.966980000000e-01
 3.991386040077e+00, 0.000000000000e+00, 5.000000000000e+00, 1.500027839238e-01, 3.443592364544e-08, 1.855691882976e-07, 4.012561600000e-01, 9.967090000000e-01
 3.991385230734e+00, 0.000000000000e+00, 5.000000000000e+00, 1.500015846483e-01, 3.483104126175e-08, 1.866307618314e-07, 4.250285240000e-01, 9.968060000000e-01
 3.991385222641e+00, 0.000000000000e+00, 5.000000000000e+00, 1.500011972691e-01, 3.482273398673e-08, 1.866085045938e-07, 4.215329280000e-01, 9.966920000000e-01
 3.991385222560e+00, 0.000000000000e+00, 5.000000000000e+00, 1.499987490098e-01, 3.529221851453e-08, 1.878622328051e-07, 4.178551180000e-01, 9.967820000000e-01
 3.991385222559e+00, 0.000000000000e+00, 5.000000000000e+00, 1.499993231479e-01, 3.503465851179e-08, 1.871754751878e-07, 4.020247360000e-01, 9.966640000000e-01
 3.991385222559e+00, 0.000000000000e+00, 5.000000000000e+00, 1.500013706802e-01, 3.449211780963e-08, 1.857205368548e-07, 4.132152150000e-01, 9.966940000000e-01
 3.991385222559e+00, 0.000000000000e+00, 5.000000000000e+00, 1.499974716312e-01, 3.515608151439e-08, 1.874995507045e-07, 4.258556730000e-01, 9.966710000000e-01
 3.991466793940e+00, 0.000000000000e+00, 5.000000000000e+00, 1.500018676782e-01, 3.348009333161e-08, 1.829756632222e-07, 4.096580770000e-01, 9.967700000000e-01
 3.991386038273e+00, 0.000000000000e+00, 5.000000000000e+00, 1.500019894853e-01, 3.484658388394e-08, 1.866723972202e-07, 4.150623780000e-01, 9.967610000000e-01
 3.991385230716e+00, 0.000000000000e+00, 5.000000000000e+00, 1.500025891857e-01, 3.441883018194e-08, 1.855231257335e-07, 4.330536160000e-01, 9.966510000000e-01
 3.991385222641e+00, 0.000000000000e+00, 5.000000000000e+00, 1.500013892875e-01, 3.456937213613e-08, 1.859284059420e-07, 3.986407310000e-01, 9.966890000000e-01
 3.991385222560e+00, 0.000000000000e+00, 5.000000000000e+00, 1.499978899432e-01, 3.520115963253e-08, 1.876197207986e-07, 4.017800360000e-01, 9.966520000000e-01
