#              p[0],               p[1],               p[2],             energy,           variance,              error,       elapsed time,      accept. ratio,  Monte Carlo steps 
 4.000000000000e+00, 1.000000000000e+00, 5.000000000000e+00, 1.350300689450e-01, 1.109810254991e-01, 3.331381477692e-04, 3.592753020000e-01, 9.544210000000e-01,            1000000
 3.996290102674e+00, 1.093701683437e+00, 5.000000000000e+00, 1.331387469089e-01, 6.402222722034e-03, 8.001389080675e-05, 3.725186970000e-01, 9.510060000000e-01,            1000000
 3.990293177760e+00, 1.098363138858e+00, 5.000000000000e+00, 1.328471091781e-01, 4.735328855788e-03, 6.881372578045e-05, 5.745690420000e-01, 9.506400000000e-01,            1000000
 3.978068827961e+00, 1.099569197684e+00, 5.000000000000e+00, 1.346189817664e-01, 1.190647314081e-02, 9.960954246793e-05, 4.358255800000e-01, 9.504833333333e-01,            1200000
 3.990170934262e+00, 1.098375199446e+00, 5.000000000000e+00, 1.328673935118e-01, 4.564720522679e-03, 6.167603885545e-05, 4.269961810000e-01, 9.508941666667e-01,            1200000
 3.990291955325e+00, 1.098363259464e+00, 5.000000000000e+00, 1.421786483749e-01, 6.541660457786e-02, 2.334819846331e-04, 4.034387870000e-01, 9.497200000000e-01,            1200000
 3.990293165536e+00, 1.098363140064e+00, 5.000000000000e+00, 1.342486711390e-01, 9.133147318903e-03, 8.724079377840e-05, 3.829941930000e-01, 9.505908333333e-01,            1200000
 3.990293177638e+00, 1.098363138870e+00, 5.000000000000e+00, 1.324369948147e-01, 3.224162969336e-03, 5.183437541291e-05, 4.165407830000e-01, 9.512475000000e-01,            1200000
 3.255936940356e+00, 1.128890385808e+00, 5.000000000000e+00, 1.327584135723e-01, 1.580679716623e-03, 3.629370602716e-05, 3.958874890000e-01, 9.337216666667e-01,            1200000
 3.702488025661e+00, 1.110327221829e+00, 5.000000000000e+00, 1.320010248685e-01, 2.510792406766e-03, 4.574196110398e-05, 3.908726900000e-01, 9.452825000000e-01,            1200000
 3.459248366638e+00, 1.120438713705e+00, 5.000000000000e+00, 1.321409461584e-01, 1.713297911574e-03, 3.778555623046e-05, 3.814870930000e-01, 9.394800000000e-01,            1200000
 3.643950442112e+00, 1.112760633810e+00, 5.000000000000e+00, 1.325849640555e-01, 2.873523567818e-03, 4.467104742058e-05, 4.726245660000e-01, 9.439034722222e-01,            1440000
 3.700664298509e+00, 1.110403034311e+00, 5.000000000000e+00, 1.317911531447e-01, 2.090759592789e-03, 3.810402057370e-05, 4.769944640000e-01, 9.453083333333e-01,            1440000
 3.697859462107e+00, 1.095963871979e+00, 5.000000000000e+00, 1.314372193316e-01, 4.900514676105e-03, 5.833639680114e-05, 4.980521570000e-01, 9.452319444444e-01,            1440000
 3.694026516436e+00, 1.092751929548e+00, 5.000000000000e+00, 1.310298086222e-01, 4.168411709445e-03, 4.911491926918e-05, 5.973632290000e-01, 9.455711805556e-01,            1728000
 3.693643221869e+00, 1.092430735305e+00, 5.000000000000e+00, 1.319384282501e-01, 8.557383389618e-03, 7.037179450309e-05, 6.601264720000e-01, 9.455538194444e-01,            1728000
 3.693988186980e+00, 1.092719810124e+00, 5.000000000000e+00, 1.324712780122e-01, 1.402914551710e-02, 9.010393149328e-05, 8.373052840000e-01, 9.456672453704e-01,            1728000
 3.694022683491e+00, 1.092748717606e+00, 5.000000000000e+00, 1.332545938420e-01, 1.676460305442e-02, 8.991541339280e-05, 1.127836742000e+00, 9.454528356481e-01,            2073600
 3.694026133142e+00, 1.092751608354e+00, 5.000000000000e+00, 1.312004916137e-01, 4.794531184476e-03, 4.808510644315e-05, 7.485755940000e-01, 9.458043981481e-01,            2073600
 3.691168082548e+00, 1.090013359676e+00, 5.000000000000e+00, 1.314916510424e-01, 6.690080988009e-03, 5.680063560265e-05, 7.854008870000e-01, 9.453139467593e-01,            2073600
 3.693997552636e+00, 1.092724225867e+00, 5.000000000000e+00, 1.313188645068e-01, 5.419873178181e-03, 4.667039182913e-05, 1.159150332000e+00, 9.453510802469e-01,            2488320
 3.694025847337e+00, 1.092751334529e+00, 5.000000000000e+00, 1.324688572027e-01, 9.476097089906e-03, 5.633405490675e-05, 1.079581440000e+00, 9.453272355110e-01,            2985984
 3.694026130284e+00, 1.092751605616e+00, 5.000000000000e+00, 1.315142569911e-01, 6.515178385715e-03, 4.671102716798e-05, 1.163881626000e+00, 9.454089506173e-01,            2985984
 3.694026133113e+00, 1.092751608326e+00, 5.000000000000e+00, 1.310433226265e-01, 4.481261139421e-03, 3.873971203518e-05, 1.181347032000e+00, 9.458928781936e-01,            2985984
 3.691207249801e+00, 1.088593732361e+00, 5.000000000000e+00, 1.325261655878e-01, 1.277775976648e-02, 6.541594524503e-05, 1.057817759000e+00, 9.457461928798e-01,            2985984
 3.693997944280e+00, 1.092710029567e+00, 5.000000000000e+00, 1.311517921498e-01, 4.482383519094e-03, 3.874456311859e-05, 1.012627363000e+00, 9.459963616684e-01,            2985984
 3.694025851225e+00, 1.092751192539e+00, 5.000000000000e+00, 1.323615918220e-01, 1.073549677155e-02, 5.996078841586e-05, 9.735780660000e-01, 9.455352071545e-01,            2985984
 3.694026130294e+00, 1.092751604169e+00, 5.000000000000e+00, 1.324900671750e-01, 1.219810700396e-02, 6.391495407930e-05, 1.029569257000e+00, 9.460218139146e-01,            2985984
 3.694026133085e+00, 1.092751608285e+00, 5.000000000000e+00, 1.315008443735e-01, 6.439940698206e-03, 4.239421728739e-05, 1.186705332000e+00, 9.456195334870e-01,            3583180
 3.694026133113e+00, 1.092751608326e+00, 5.000000000000e+00, 1.313338534617e-01, 5.200193798062e-03, 3.809565559375e-05, 1.277414417000e+00, 9.456714426850e-01,            3583180
 3.694026133113e+00, 1.092751608326e+00, 5.000000000000e+00, 1.313383188244e-01, 5.172860475289e-03, 3.468489998869e-05, 1.425423290000e+00, 9.457253519685e-01,            4299816
 3.694026133113e+00, 1.092751608326e+00, 5.000000000000e+00, 1.318569505166e-01, 7.483686196737e-03, 3.808398278764e-05, 1.858279157000e+00, 9.455005411088e-01,            5159776
 3.694026133113e+00, 1.092751608326e+00, 5.000000000000e+00, 1.312803811440e-01, 5.435309905397e-03, 3.245612980373e-05, 1.711502847000e+00, 9.457338845717e-01,            5159776
 3.694026133113e+00, 1.092751608326e+00, 5.000000000000e+00, 1.314829293274e-01, 6.057790236932e-03, 3.426428639458e-05, 1.753526000000e+00, 9.458282685140e-01,            5159776
 3.694026133113e+00, 1.092751608326e+00, 5.000000000000e+00, 1.317131944694e-01, 7.347489099458e-03, 3.444795142456e-05, 1.979737247000e+00, 9.455667654866e-01,            6191732
