#              p[0],               p[1],               p[2],             energy,           variance,              error,-(ℏ/4m)⟨∇ᵢ²ln(ψ)⟩,(ℏ/2m)⟨|∇ᵢln(ψ)|²⟩,       elapsed time,      accept. ratio,  Monte Carlo steps 
 4.000000000000e+00, 1.000000000000e+00, 5.000000000000e+00, 2.776502224339e-01, 1.918820239806e+00, 1.385214871349e-03, 4.823781224501e-01, 4.295939976196e-01, 3.174773753000e+00, 8.068790000000e-01,            1000000
 3.979018373354e+00, 2.000000000000e+00, 5.000000000000e+00,-1.974266631498e+03, 1.103597347285e+06, 1.050522416365e+00, 7.520941040846e+01, 2.119388422708e+03, 3.102478414000e+00, 2.919100000000e-02,            1000000
 3.999999011614e+00, 1.000021268999e+00, 5.000000000000e+00, 2.227797298749e-01, 1.084238513415e+00, 1.041267743385e-03, 4.705546796270e-01, 4.001744499067e-01, 3.697492820000e+00, 8.075250000000e-01,            1000000
 3.985643464856e+00, 1.684235030867e+00, 5.000000000000e+00,-2.401037389290e+02, 2.287188429358e+04, 1.512345340641e-01, 2.435107247650e+01, 2.851885538562e+02, 2.652335185000e+00, 2.422910000000e-01,            1000000
 3.980836011753e+00, 1.913367757602e+00, 5.000000000000e+00,-1.770084237904e+03, 9.524245340203e+05, 9.759224016387e-01, 8.078611146971e+01, 1.925526619359e+03, 2.082994552000e+00, 2.914200000000e-02,            1000000
 3.979406517754e+00, 1.981500269952e+00, 5.000000000000e+00,-1.529525032437e+03, 3.609666067212e+05, 6.008049656263e-01, 7.321426330372e+01, 1.670649206068e+03, 2.816681671000e+00, 0.000000000000e+00,            1000000
 3.979086402722e+00, 1.996757585710e+00, 5.000000000000e+00,-1.923217254127e+03, 1.305546376752e+06, 1.142605083462e+00, 7.320001951840e+01, 2.063391620386e+03, 2.823308936000e+00, 0.000000000000e+00,            1000000
 3.979029515334e+00, 1.999468951197e+00, 5.000000000000e+00,-1.508280099148e+03, 4.790148428673e+05, 6.921089819294e-01, 6.712713969852e+01, 1.636598240867e+03, 2.928972979000e+00, 0.000000000000e+00,            1000000
 3.979018516142e+00, 1.999993194477e+00, 5.000000000000e+00,-1.573272890237e+03, 4.990725929890e+05, 7.064507010323e-01, 7.357527877228e+01, 1.714283124415e+03, 3.273668879000e+00, 0.000000000000e+00,            1000000
 3.969990634388e+00, 0.000000000000e+00, 5.000000000000e+00, 1.579656436637e+20, 2.336110894812e+45, 4.833333109576e+19, 2.267007866982e-01, 2.260987049743e-01, 2.852026408000e+00, 9.554080000000e-01,            1000000
 3.974504503871e+00, 1.000000000000e+00, 5.000000000000e+00, 2.268879860375e-01, 1.034853297908e+00, 9.286429605919e-04, 4.759139694019e-01, 4.062004262046e-01, 4.353784323000e+00, 8.069033333333e-01,            1200000
 3.977593010852e+00, 1.684226026666e+00, 5.000000000000e+00,-1.632651403635e+02, 8.676697439276e+03, 8.503282424685e-02, 1.831727375880e+01, 1.971890927346e+02, 4.061137480000e+00, 2.972025000000e-01,            1200000
 3.978619234008e+00, 1.911574903171e+00, 5.000000000000e+00,-1.221856196940e+03, 1.133915525814e+05, 3.073970729927e-01, 6.079230431837e+01, 1.337523743689e+03, 4.274716542000e+00, 2.349000000000e-02,            1200000
 3.978915631635e+00, 1.977238659657e+00, 5.000000000000e+00,-1.819350390117e+03, 1.543016876664e+06, 1.133952114165e+00, 7.493533365847e+01, 1.962993606445e+03, 4.008388139000e+00, 0.000000000000e+00,            1200000
