#              p[0],               p[1],               p[2],             energy,           variance,              error,   -(ℏ/4m)⟨∇ᵢ²ln(ψ)⟩, (ℏ/2m)⟨|∇ᵢln(ψ)|²⟩,       elapsed time,      accept. ratio,  Monte Carlo steps 
 4.000000000000e+00, 1.000000000000e+00, 5.000000000000e+00, 2.989934041813e-01, 2.317038563938e+00, 1.522182171732e-03, 4.844235129812e-01, 4.411720533606e-01, 3.199064655000e+00, 8.062000000000e-01,            1000000
 3.993409160451e+00, 2.000000000000e+00, 5.000000000000e+00,-2.775781659016e+03, 3.087353001667e+06, 1.757086509443e+00, 8.613805210079e+01, 2.942213629117e+03, 3.183003349000e+00, 0.000000000000e+00,            1000000
 3.999999854491e+00, 1.000010495466e+00, 5.000000000000e+00, 3.049885666359e-01, 2.691719019150e+00, 1.640645915227e-03, 4.829070320108e-01, 4.421247722589e-01, 2.960832315000e+00, 8.069080000000e-01,            1000000
 3.995535065644e+00, 1.677441728097e+00, 5.000000000000e+00,-3.729403701818e+02, 2.570488657025e+04, 1.603274354883e-01, 3.753356044510e+01, 4.415303081507e+02, 2.878921763000e+00, 6.043100000000e-02,            1000000
 3.994049702359e+00, 1.902812180045e+00, 5.000000000000e+00,-1.977641470254e+03, 1.311162139323e+06, 1.145059884601e+00, 8.178793482435e+01, 2.133722237693e+03, 2.725438282000e+00, 0.000000000000e+00,            1000000
 3.993567020524e+00, 1.976048286337e+00, 5.000000000000e+00,-1.728539136189e+03, 5.237682639920e+05, 7.237183595792e-01, 8.106707793562e+01, 1.885351847727e+03, 2.676231640000e+00, 2.982000000000e-02,            1000000
 3.993440393641e+00, 1.995261066308e+00, 5.000000000000e+00,-1.526890628564e+03, 4.095408999401e+05, 6.399538264126e-01, 6.426023206664e+01, 1.650263828849e+03, 2.933324288000e+00, 5.741600000000e-02,            1000000
 3.993411590276e+00, 1.999631328734e+00, 5.000000000000e+00,-2.414864109598e+03, 1.374041417671e+06, 1.172195127814e+00, 9.543798010193e+01, 2.599761826319e+03, 2.823258354000e+00, 0.000000000000e+00,            1000000
 3.993409222493e+00, 1.999990586512e+00, 5.000000000000e+00,-2.171073294131e+03, 3.793049004442e+06, 1.947575160152e+00, 8.487826125511e+01, 2.336041609284e+03, 2.660883093000e+00, 0.000000000000e+00,            1000000
 3.992044329912e+00, 0.000000000000e+00, 5.000000000000e+00, 5.264427164901e+18, 2.744979327480e+43, 5.239255030517e+18, 2.254483982696e-01, 2.251150972127e-01, 2.523825443000e+00, 9.559240000000e-01,            1000000
 3.993395512145e+00, 1.980000000000e+00, 5.000000000000e+00,-1.340780262861e+03, 5.226885707569e+05, 6.599801580079e-01, 6.257928491110e+01, 1.460151692167e+03, 3.215581883000e+00, 2.902833333333e-02,            1200000
 3.993406842175e+00, 1.996602837569e+00, 5.000000000000e+00,-2.700631442561e+03, 3.465227633222e+06, 1.699320362484e+00, 9.395581170952e+01, 2.882280101606e+03, 3.775757585000e+00, 0.000000000000e+00,            1200000
 3.993408753971e+00, 1.999404350960e+00, 5.000000000000e+00,-2.281586543413e+03, 1.681972031882e+06, 1.183910199256e+00, 8.184340649987e+01, 2.439899808936e+03, 3.413915723000e+00, 4.446666666667e-03,            1200000
 3.993409148643e+00, 1.999982696467e+00, 5.000000000000e+00,-1.263288214425e+03, 5.656791969745e+05, 6.865852684206e-01, 5.957882039821e+01, 1.377209679317e+03, 2.924025357000e+00, 2.825916666667e-02,            1200000
 3.993409160333e+00, 1.999999826965e+00, 5.000000000000e+00,-1.921004094657e+03, 3.410276752346e+05, 5.330944844604e-01, 7.991151471162e+01, 2.074830278963e+03, 4.325214056000e+00, 0.000000000000e+00,            1200000
