#              p[0],               p[1],               p[2],             energy,           variance,              error,   -(ℏ/4m)⟨∇ᵢ²ln(ψ)⟩,  (ℏ/2m)⟨|∇ᵢln(ψ)|²⟩,       elapsed time,      accept. ratio,  Monte Carlo steps 
 4.000000000000e+00, 1.000000000000e+00, 5.000000000000e+00, 2.607004684622e-01, 1.520438796329e+00, 1.233060743163e-03, 4.801377196408e-01, 4.209636153691e-01, 3.671052694000e+00, 8.072140000000e-01,            1000000
 3.973165623670e+00, 2.000000000000e+00, 5.000000000000e+00,-1.487776997164e+03, 6.249498826270e+05, 7.905377173968e-01, 6.814733545016e+01, 1.618936798603e+03, 2.694961267000e+00, 2.940500000000e-02,            1000000
 3.999998690890e+00, 1.000023995555e+00, 5.000000000000e+00, 3.394616727809e-01, 3.003949876908e+00, 1.733190663749e-03, 4.916397234539e-01, 4.613965068138e-01, 3.343624107000e+00, 8.057600000000e-01,            1000000
 3.981639714174e+00, 1.684199830977e+00, 5.000000000000e+00,-3.840477142112e+02, 1.132292831485e+04, 1.064092491978e-01, 3.676163041130e+01, 4.522381972316e+02, 2.769488973000e+00, 7.634300000000e-02,            1000000
 3.975598880337e+00, 1.909320903930e+00, 5.000000000000e+00,-1.803929857332e+03, 6.227634163786e+05, 7.891536075940e-01, 7.495847268041e+01, 1.948021528929e+03, 2.825268365000e+00, 5.057300000000e-02,            1000000
 3.978730750579e+00, 1.835879938371e+00, 5.000000000000e+00,-4.744562967375e+02, 3.659640409092e+04, 1.913018664073e-01, 3.454909348218e+01, 5.396141623688e+02, 2.747219960000e+00, 1.494940000000e-01,            1000000
 3.975991265894e+00, 1.900119636971e+00, 5.000000000000e+00,-5.980480281345e+02, 1.098681885077e+05, 3.314637061696e-01, 4.193544582310e+01, 6.767061672727e+02, 2.760708494000e+00, 2.970600000000e-02,            1000000
 3.975609455746e+00, 1.909072915292e+00, 5.000000000000e+00,-1.229463488051e+03, 1.739208699297e+05, 4.170382115942e-01, 6.041135881775e+01, 1.345376284666e+03, 2.645352447000e+00, 5.867300000000e-02,            1000000
 3.975598986091e+00, 1.909318424044e+00, 5.000000000000e+00,-1.482849985999e+03, 6.992237089009e+05, 8.361959751762e-01, 6.946508377650e+01, 1.615716142583e+03, 2.687814342000e+00, 0.000000000000e+00,            1000000
 3.975598881395e+00, 1.909320879131e+00, 5.000000000000e+00,-1.711811385838e+03, 1.376202746516e+06, 1.173116680691e+00, 7.359675108811e+01, 1.851866885830e+03, 2.761855477000e+00, 0.000000000000e+00,            1000000
 3.990582181137e+00, 0.000000000000e+00, 5.000000000000e+00, 1.278528285227e+18, 2.717944079454e+41, 5.213390527722e+17, 2.255310025325e-01, 2.256319350260e-01, 2.488006838000e+00, 9.557870000000e-01,            1000000
 3.975748713345e+00, 1.890227694891e+00, 5.000000000000e+00,-1.511177922046e+03, 6.279029425149e+05, 7.233619094864e-01, 6.835968044139e+01, 1.642100241593e+03, 3.178955807000e+00, 5.949916666667e-02,            1200000
 3.975612730744e+00, 1.907555947612e+00, 5.000000000000e+00,-9.270480090338e+02, 3.600301791189e+05, 5.477455150576e-01, 4.683063781334e+01, 1.017291102007e+03, 2.865564068000e+00, 2.008633333333e-01,            1200000
 3.975599018841e+00, 1.909303254367e+00, 5.000000000000e+00,-1.401414049182e+03, 5.511627299056e+05, 6.777184333640e-01, 6.954599377428e+01, 1.534469567557e+03, 4.090648712000e+00, 0.000000000000e+00,            1200000
 3.975598881722e+00, 1.909320727435e+00, 5.000000000000e+00,-7.617587672577e+02, 8.289864444779e+04, 2.628349362366e-01, 4.216075124100e+01, 8.413517502151e+02, 3.836612490000e+00, 5.833916666667e-02,            1200000
 3.975598880351e+00, 1.909320902165e+00, 5.000000000000e+00,-1.195349872511e+03, 1.250594489740e+05, 3.228253513564e-01, 6.137027664331e+01, 1.313120025204e+03, 4.122640719000e+00, 0.000000000000e+00,            1200000
 3.975598880338e+00, 1.909320903913e+00, 5.000000000000e+00,-1.438358053089e+03, 1.337267717002e+05, 3.338247690284e-01, 6.392293140051e+01, 1.561394193339e+03, 4.048335972000e+00, 6.024916666667e-02,            1200000
