#              p[0],               p[1],               p[2],             energy,           variance,              error,    -(ℏ/4)⟨∇ᵢ²ln(ψ)⟩,   (ℏ/2)⟨|∇ᵢln(ψ)|²⟩,       elapsed time,      accept. ratio,  Monte Carlo steps 
 4.000000000000e+00, 1.000000000000e+00, 5.000000000000e+00, 4.247299114187e-01, 4.855793272874e+00, 2.203586456864e-03, 5.055756690399e-01, 5.072655196115e-01, 4.040981866000e+00, 8.060910000000e-01,            1000000
 3.995103425674e+00, 2.000000000000e+00, 5.000000000000e+00,-1.918336419160e+03, 1.252824522626e+05, 3.539526130184e-01, 8.689522532899e+01, 2.086486899630e+03, 3.152077140000e+00, 2.967700000000e-02,            1000000
 3.999996692829e+00, 1.000202728320e+00, 5.000000000000e+00, 2.421755429094e-01, 1.417048202585e+00, 1.190398337778e-03, 4.737442058172e-01, 4.105807513737e-01, 2.898683033000e+00, 8.080120000000e-01,            1000000
 3.996415536376e+00, 1.731908220370e+00, 5.000000000000e+00,-3.291711062986e+02, 3.521087060985e+03, 5.933874839416e-02, 3.754908097052e+01, 3.986246507953e+02, 2.649850935000e+00, 0.000000000000e+00,            1000000
 3.995348663903e+00, 1.949892678207e+00, 5.000000000000e+00,-1.274462288226e+03, 1.515612018883e+06, 1.231101953082e+00, 6.427778914946e+01, 1.397165436582e+03, 2.716614302000e+00, 1.367400000000e-02,            1000000
 3.995114144122e+00, 1.997809995995e+00, 5.000000000000e+00,-1.793933455913e+03, 8.631977916351e+05, 9.290843834847e-01, 7.488266926900e+01, 1.937318631643e+03, 2.814004265000e+00, 0.000000000000e+00,            1000000
 3.995103749588e+00, 1.999933817671e+00, 5.000000000000e+00,-1.791998494681e+03, 1.737178317706e+06, 1.318020605949e+00, 7.019802138598e+01, 1.926054996364e+03, 2.658159901000e+00, 0.000000000000e+00,            1000000
 3.995103428914e+00, 1.999999338177e+00, 5.000000000000e+00,-1.922426639458e+03, 5.944544330338e+05, 7.038314387656e-01, 7.498249381201e+01, 2.066792203212e+03, 3.223972453000e+00, 0.000000000000e+00,            1200000
 3.993787533367e+00, 0.000000000000e+00, 5.000000000000e+00, 7.560437615468e+15, 5.011937617834e+36, 2.043676755636e+15, 2.253499948309e-01, 2.255957943774e-01, 2.715697675000e+00, 9.560808333333e-01,            1200000
 3.995090269958e+00, 1.979999344795e+00, 5.000000000000e+00,-2.471783148527e+03, 5.937550901294e+06, 2.030590859088e+00, 8.298546898565e+01, 2.632228514106e+03, 3.876155884000e+00, 0.000000000000e+00,            1440000
 3.995098971898e+00, 0.000000000000e+00, 5.000000000000e+00, 2.096017824850e+17, 6.425027254510e+39, 6.679688976516e+16, 2.252760210274e-01, 2.250015856262e-01, 3.534003092000e+00, 9.556354166667e-01,            1440000
 3.995090356977e+00, 1.960199351347e+00, 5.000000000000e+00,-1.943647338720e+03, 1.073713807940e+06, 7.882652836276e-01, 7.784202332855e+01, 2.093692586721e+03, 4.584847305000e+00, 3.021585648148e-02,            1728000
 3.995090292994e+00, 1.974757818528e+00, 5.000000000000e+00,-1.478928655532e+03, 7.561888127523e+05, 6.615204204249e-01, 6.928594535072e+01, 1.612224271766e+03, 4.528420148000e+00, 0.000000000000e+00,            1728000
