#                p[0],                 p[1],                 p[2],               energy,             variance,                error,      -(ℏ/4)⟨∇ᵢ²ln(ψ)⟩,  Var -(ℏ/4)⟨∇ᵢ²ln(ψ)⟩,    (ℏ/2)⟨|∇ᵢln(ψ)|²⟩, Var (ℏ/2)⟨|∇ᵢln(ψ)|²⟩,         elapsed time,        accept. ratio,    Monte Carlo steps 
 1.60000000000000e+01, 0.00000000000000e+00, 1.00000000000000e+00, 3.54467845110395e-02, 2.05402622696479e-01, 1.60235226579738e-04, 2.14468874512444e-02, 2.55563240112036e-03, 2.14291377310445e-02, 2.80909075437932e-02, 3.25581850600000e+00, 9.07383750000000e-01,              8000000
 1.65000000000000e+01, 0.00000000000000e+00, 1.00000000000000e+00, 3.56934151125279e-02, 1.94629981279171e-01, 1.55976753588143e-04, 2.08161993176853e-02, 2.54590316020927e-03, 2.08168029400716e-02, 2.69833820184885e-02, 3.03683844900000e+00, 9.01707625000000e-01,              8000000
 1.65000000000000e+01, 0.00000000000000e+00, 1.00000000000000e+00, 3.58580674317283e-02, 3.44131838979138e-01, 1.89333215681578e-04, 2.08193511438321e-02, 2.67828387043233e-03, 2.08657333690110e-02, 4.30054171517200e-02, 3.77093558700000e+00, 9.09980104166667e-01,              9600000
 1.60000000000000e+01, 0.00000000000000e+00, 1.05000000000000e+00, 3.45701762209728e-02, 8.52834984303515e-02, 9.42533699830495e-05, 2.16301898330478e-02, 2.63821650316067e-03, 2.16691159383006e-02, 3.21618194666361e-02, 4.33765821100000e+00, 9.03841041666667e-01,              9600000
 1.55000000000000e+01, 0.00000000000000e+00, 1.05000000000000e+00, 3.41360335711443e-02, 6.76702208076557e-02, 8.39582118326183e-05, 2.23458599033440e-02, 2.54282569307653e-03, 2.22400549733075e-02, 2.64944820705011e-02, 4.04461387500000e+00, 9.03297500000000e-01,              9600000
 1.50000000000000e+01, 0.00000000000000e+00, 1.07500000000000e+00, 3.39017918650870e-02, 5.73585796880651e-02, 7.72971671592182e-05, 2.32029468896502e-02, 2.66683786251448e-03, 2.31156419099713e-02, 3.42330971068736e-02, 4.49726269800000e+00, 9.08636562500000e-01,              9600000
 1.50000000000000e+01, 0.00000000000000e+00, 1.12500000000000e+00, 3.41518705370792e-02, 2.19359838891435e-02, 4.78016560569378e-05, 2.34054786948925e-02, 2.77119295046472e-03, 2.35311731995729e-02, 3.43419997437093e-02, 4.11895476300000e+00, 9.03560312500000e-01,              9600000
 1.45000000000000e+01, 0.00000000000000e+00, 1.18750000000000e+00, 3.44116411792850e-02, 4.97123127831852e-03, 2.27560231914874e-05, 2.43776704220181e-02, 2.48703209089804e-03, 2.42724923543763e-02, 2.40023349771388e-02, 4.03083865300000e+00, 9.03579583333333e-01,              9600000
 1.35000000000000e+01, 0.00000000000000e+00, 1.21250000000000e+00, 3.47735707709889e-02, 3.73695025000317e-03, 1.97298162951913e-05, 2.63974794023626e-02, 2.71900904646916e-03, 2.62935398993181e-02, 2.61425756182001e-02, 4.32530544400000e+00, 9.05404062500000e-01,              9600000
 1.30000000000000e+01, 0.00000000000000e+00, 1.32500000000000e+00, 3.66253841552508e-02, 1.28649393207257e-03, 1.15762595250319e-05, 2.78766209540783e-02, 2.74575811543814e-03, 2.79008268327150e-02, 3.19873460500726e-02, 4.04139250100000e+00, 8.94366145833333e-01,              9600000
 1.35000000000000e+01, 0.00000000000000e+00, 1.26250000000000e+00, 3.55366444743092e-02, 2.35920298453605e-03, 1.56764253224124e-05, 2.66087058675110e-02, 2.81694494272047e-03, 2.66876965746528e-02, 3.12388217667256e-02, 3.85834498500000e+00, 9.01222708333333e-01,              9600000
 1.45000000000000e+01, 0.00000000000000e+00, 1.13750000000000e+00, 3.40181068059167e-02, 1.17519149348692e-02, 3.49879665844636e-05, 2.42572853799597e-02, 2.66069406496140e-03, 2.42334707082491e-02, 2.53579098681354e-02, 4.65622105300000e+00, 8.98903125000000e-01,              9600000
 1.50000000000000e+01, 0.00000000000000e+00, 1.07500000000000e+00, 3.39806741768534e-02, 4.49250716606931e-02, 6.84082960221605e-05, 2.32110006858278e-02, 2.68072031311988e-03, 2.31862488771841e-02, 2.87534103761087e-02, 4.68435877000000e+00, 9.02950729166667e-01,              9600000
 1.55000000000000e+01, 0.00000000000000e+00, 1.11250000000000e+00, 3.42133892005037e-02, 2.58853659733589e-02, 5.19267974064601e-05, 2.26022416130586e-02, 2.72935563507244e-03, 2.27341306785295e-02, 3.28649509202553e-02, 4.10531207800000e+00, 9.09437812500000e-01,              9600000
 1.40000000000000e+01, 0.00000000000000e+00, 1.18750000000000e+00, 3.45108124795735e-02, 8.45963584187834e-03, 2.96852163014240e-05, 2.53642733351453e-02, 2.79994865382292e-03, 2.54231294690152e-02, 3.63665230326345e-02, 4.26951429500000e+00, 9.06161562500000e-01,              9600000
 1.50000000000000e+01, 0.00000000000000e+00, 1.13750000000000e+00, 3.41149554154828e-02, 1.49495280861382e-02, 3.94619121302140e-05, 2.34083371889144e-02, 2.59977816408190e-03, 2.34221324268664e-02, 2.96830527654829e-02, 4.49980244700000e+00, 8.98733541666667e-01,              9600000
 1.47500000000000e+01, 0.00000000000000e+00, 1.15000000000000e+00, 3.41658898680522e-02, 1.14729977649848e-02, 3.45702752932715e-05, 2.38998741580646e-02, 2.69478934077341e-03, 2.39391047074095e-02, 2.92227286556435e-02, 4.18115238000000e+00, 8.97397500000000e-01,              9600000
 1.42500000000000e+01, 0.00000000000000e+00, 1.17500000000000e+00, 3.43667452721205e-02, 8.30356473555250e-03, 2.94101115256877e-05, 2.48342248981574e-02, 2.71963547969433e-03, 2.48676752422162e-02, 3.09404275137663e-02, 4.46877299000000e+00, 9.01527187500000e-01,              9600000
 1.46250000000000e+01, 0.00000000000000e+00, 1.15625000000000e+00, 3.42252992103431e-02, 1.18788853361788e-02, 3.51764678327045e-05, 2.41196648008064e-02, 2.72950175270665e-03, 2.41758959028122e-02, 3.23970938164111e-02, 4.20462512900000e+00, 8.93437291666667e-01,              9600000
 1.45000000000000e+01, 0.00000000000000e+00, 1.16250000000000e+00, 3.41996465657288e-02, 8.76468294084135e-03, 3.02156880831405e-05, 2.43617975934700e-02, 2.66836739686879e-03, 2.43456158545218e-02, 2.77769400393300e-02, 4.12257228800000e+00, 9.07372395833333e-01,              9600000
 1.46250000000000e+01, 0.00000000000000e+00, 1.14375000000000e+00, 3.40989101694349e-02, 1.22661149052542e-02, 3.57452137024055e-05, 2.40783230853797e-02, 2.70423767932485e-03, 2.40970528429543e-02, 2.84072038925423e-02, 4.17835060900000e+00, 9.05367083333333e-01,              9600000
 1.43750000000000e+01, 0.00000000000000e+00, 1.15625000000000e+00, 3.41452905142890e-02, 1.19765108545038e-02, 3.53207193303139e-05, 2.45592505161219e-02, 2.71101404939307e-03, 2.45452688575780e-02, 3.20153374880428e-02, 4.02744573200000e+00, 9.10443750000000e-01,              9600000
 1.45625000000000e+01, 0.00000000000000e+00, 1.14687500000000e+00, 3.41120114143706e-02, 1.17952860958780e-02, 3.50524697416215e-05, 2.42253120169367e-02, 2.73773756692366e-03, 2.42572617892372e-02, 2.87592100210107e-02, 4.15069095700000e+00, 9.04469166666667e-01,              9600000
 1.45625000000000e+01, 0.00000000000000e+00, 1.14687500000000e+00, 3.41632497662301e-02, 1.29770714514992e-02, 3.35631032062222e-05, 2.42022248548880e-02, 2.72354756182502e-03, 2.42688069041917e-02, 3.05336733336716e-02, 5.04345823700000e+00, 9.03574826388889e-01,             11520000
 1.45625000000000e+01, 0.00000000000000e+00, 1.14687500000000e+00, 3.40410172879892e-02, 1.17100221952768e-02, 2.91046242349460e-05, 2.41663577101355e-02, 2.59055766333435e-03, 2.40898782389108e-02, 2.77410146778776e-02, 6.02428422500000e+00, 8.97001012731481e-01,             13824000
 1.45625000000000e+01, 0.00000000000000e+00, 1.12187500000000e+00, 3.39212323572379e-02, 1.85621966450852e-02, 3.66435736988549e-05, 2.41174411828363e-02, 2.70914799604820e-03, 2.40900953357541e-02, 2.86976913327851e-02, 5.78207867700000e+00, 9.10339048032407e-01,             13824000
 1.45156250000000e+01, 0.00000000000000e+00, 1.15234375000000e+00, 3.42329045631587e-02, 1.27485786003997e-02, 3.03678482383282e-05, 2.42821933192163e-02, 2.75669123795176e-03, 2.43721130753318e-02, 3.26172436467390e-02, 5.40550069500000e+00, 9.06780237268519e-01,             13824000
 1.45000000000000e+01, 0.00000000000000e+00, 1.15000000000000e+00, 3.41380803897291e-02, 1.25840346378878e-02, 3.01712351679570e-05, 2.43052141356466e-02, 2.71556384344658e-03, 2.43168782894277e-02, 3.10980202002574e-02, 5.83308235100000e+00, 9.04252821180556e-01,             13824000
 1.45312500000000e+01, 0.00000000000000e+00, 1.14218750000000e+00, 3.40770609666313e-02, 1.29669750958884e-02, 3.06268601758005e-05, 2.42294241758222e-02, 2.68446605516894e-03, 2.42448785052892e-02, 2.87224868383039e-02, 5.29869995800000e+00, 9.02841218171296e-01,             13824000
 1.45312500000000e+01, 0.00000000000000e+00, 1.12968750000000e+00, 3.40322465203649e-02, 1.74213813338646e-02, 3.54996794026756e-05, 2.41885477880922e-02, 2.75649660260044e-03, 2.42259754899118e-02, 3.06599408359322e-02, 5.70976903500000e+00, 9.05151692708333e-01,             13824000
 1.45078125000000e+01, 0.00000000000000e+00, 1.14492187500000e+00, 3.40431319924513e-02, 1.04863419657784e-02, 2.75419791724822e-05, 2.42412222884816e-02, 2.59549645748060e-03, 2.41735991320242e-02, 2.52471779820215e-02, 5.51048322600000e+00, 9.06034649884259e-01,             13824000
