#              p[0],               p[1],               p[2],             energy,           variance,              error,       elapsed time,      accept. ratio,  Monte Carlo steps 
 1.142400000000e+01, 1.110600000000e+00, 1.070600000000e+00, 5.827886430330e-02, 3.161505647446e-02, 5.622726782840e-05, 6.843190611000e+00, 9.033369000000e-01,           10000000
 1.192400000000e+01, 1.110600000000e+00, 1.070600000000e+00, 5.609859738122e-02, 3.406213552083e-02, 5.836277539736e-05, 6.806791265000e+00, 9.064679000000e-01,           10000000
 1.192400000000e+01, 1.160600000000e+00, 1.070600000000e+00, 5.997175332871e-02, 4.783207886929e-02, 6.916073949091e-05, 7.028665820000e+00, 9.052949000000e-01,           10000000
 1.192400000000e+01, 1.110600000000e+00, 1.120600000000e+00, 5.694804000558e-02, 8.461442014616e-02, 9.198609685499e-05, 7.327982756000e+00, 9.029193000000e-01,           10000000
 1.159066666667e+01, 1.060600000000e+00, 1.103933333333e+00, 6.138621795082e-02, 3.480644338753e-01, 1.865648503538e-04, 7.710313258000e+00, 9.062054000000e-01,           10000000
 1.184066666667e+01, 1.135600000000e+00, 1.078933333333e+00, 5.792397275552e-02, 2.926731482142e-02, 5.409927432177e-05, 1.054340114900e+01, 9.030732000000e-01,           10000000
 1.153511111111e+01, 1.127266666667e+00, 1.026155555556e+00, 6.311930647119e-02, 4.385906448632e-02, 6.622617646091e-05, 1.093302723300e+01, 9.010724000000e-01,           10000000
 1.182677777778e+01, 1.114766666667e+00, 1.096988888889e+00, 5.647976768665e-02, 5.710977844050e-02, 7.557101192951e-05, 1.140940277100e+01, 9.055924000000e-01,           10000000
 1.230362962963e+01, 1.130044444444e+00, 1.093748148148e+00, 5.542114315132e-02, 4.963465987159e-02, 7.045187000470e-05, 1.294970049000e+01, 9.067750000000e-01,           10000000
 1.219560493827e+01, 1.101340740741e+00, 1.095291358025e+00, 5.481498000323e-02, 7.401888351327e-02, 8.603422778945e-05, 1.206781620500e+01, 9.041035000000e-01,           10000000
 1.245537860082e+01, 1.113223456790e+00, 1.076104115226e+00, 5.407965338715e-02, 2.879767116492e-02, 5.366346165215e-05, 1.219720177600e+01, 9.019173000000e-01,           10000000
