#              p[0],               p[1],               p[2],             energy,           variance,              error,           gradE[0],        gradVarE[0],           gradE[1],        gradVarE[1],           gradE[2],        gradVarE[2],       elapsed time,      accept. ratio,           MC steps
 2.300000000000e+00, 1.000000000000e+00, 1.000000000000e+00, 5.139278137807e-01, 4.753339499710e+00, 6.894446678095e-04,-1.879309257306e-01,-3.096246720438e+00,-1.377146608533e+00,-1.033208707227e+02,-3.000814243620e-02,-1.050812259487e+01, 8.099419173000e+00, 8.992990000000e-01,           10000000
 2.404763350651e+00, 3.000000000000e+00, 1.169768647983e+00, 6.048869664586e-01, 4.811422338497e-01, 2.193495461244e-04,-1.588951559320e-01,-1.813477587851e-01, 1.414531450365e-02,-1.059994379059e+00, 9.047455859670e-02,-7.592566776036e+00, 7.258847020000e+00, 8.922294000000e-01,           10000000
 2.505192928264e+00, 3.000000000000e+00, 1.354296255398e+00, 6.055145385227e-01, 4.181267694759e-01, 2.044814831411e-04,-1.491764132992e-01,-2.132336081877e-01, 1.363439113263e-02,-9.887644442268e-01, 8.461682124638e-02,-5.067880535453e+00, 6.780451809000e+00, 9.052488000000e-01,           10000000
 2.992872264385e+00, 3.000000000000e+00, 1.713455832858e+00, 5.752380660057e-01, 2.910116805671e-01, 1.705906446928e-04,-9.888909061401e-02,-1.268850058455e-01, 1.624867482807e-02,-6.390320832962e-01, 6.594693188083e-02,-2.754871418793e+00, 6.781127909000e+00, 9.044984000000e-01,           10000000
 3.772658406259e+00, 3.000000000000e+00, 2.069470941042e+00, 5.406972094592e-01, 2.006576646337e-01, 1.416536849622e-04,-5.059073613049e-02,-7.856976094806e-02, 2.253921493892e-02,-4.676175929951e-01, 5.769280073085e-02,-1.738572989753e+00, 7.581896331000e+00, 8.997260000000e-01,           10000000
 4.574815706226e+00, 3.000000000000e+00, 2.357084030595e+00, 5.269216670581e-01, 1.335071303224e-01, 1.155452856340e-04,-2.343692573659e-02,-3.959505164089e-02, 2.539684855650e-02,-3.541811907284e-01, 4.953368876994e-02,-9.747589989976e-01, 6.937204438000e+00, 9.103831000000e-01,           10000000
 5.204960117584e+00, 3.000000000000e+00, 2.417703620537e+00, 5.201705361388e-01, 1.063639223537e-01, 1.031328862942e-04,-9.634986489418e-03,-3.176556765189e-02, 2.503858044009e-02,-2.639295504580e-01, 4.957974633569e-02,-7.607313452166e-01, 8.038550736000e+00, 9.120753000000e-01,           10000000
 5.199052333573e+00, 0.000000000000e+00, 2.425625313033e+00, 6.132006852711e+13, 6.818520911090e+33, 2.611229769877e+13, 2.990678357523e+13, 4.220850210015e+33,               -nan,               -nan, 5.869798060693e+13, 6.806442154958e+33, 8.086385797000e+00, 9.041854000000e-01,           10000000
 5.202006225578e+00, 1.500000000000e+00, 2.421664466785e+00, 4.570848432605e-01, 1.748363132676e-01, 1.322256833098e-04,-3.878671428077e-03,-3.903940961341e-02, 8.908073138483e-02,-2.028124022373e+00, 5.009046733934e-02,-8.238136808998e-01, 7.742528739000e+00, 9.052249000000e-01,           10000000
 5.714500835040e+00, 2.406788054807e+00, 2.190712432266e+00, 4.886887774600e-01, 1.093444627694e-01, 1.045679027089e-04,-1.960126094044e-03,-2.788916612393e-02, 3.122241802769e-02,-3.638476062457e-01, 4.863606611209e-02,-8.092649086270e-01, 7.263378333000e+00, 8.953276000000e-01,           10000000
 5.242969443661e+00, 1.572478726914e+00, 2.403204685195e+00, 4.624315474952e-01, 1.498103193058e-01, 1.223970258241e-04,-4.516466035282e-03,-4.057257802665e-02, 7.358283257434e-02,-1.192400319974e+00, 4.868515590096e-02,-7.836656327930e-01, 9.677624544000e+00, 9.019592000000e-01,           10000000
 5.203947772365e+00, 1.503435297468e+00, 2.420789522596e+00, 4.573289568945e-01, 1.573984869763e-01, 1.254585537045e-04,-3.673627166386e-03,-4.604876590533e-02, 8.633406955904e-02,-1.383465946003e+00, 4.911343922104e-02,-7.972801688432e-01, 7.122716151000e+00, 9.050458000000e-01,           10000000
 5.553301315216e+00, 1.504806139049e+00, 2.338210509367e+00, 4.527548074330e-01, 1.546140800539e-01, 1.243439102063e-04, 1.278027553620e-03,-4.302358594961e-02, 8.324179776092e-02,-1.702302435634e+00, 4.953646622942e-02,-7.522364649605e-01, 8.016536783000e+00, 9.037647000000e-01,           10000000
 5.928723228375e+00, 1.509476004717e+00, 2.138403173995e+00, 4.442799387651e-01, 1.330948736917e-01, 1.153667515759e-04, 5.376112382100e-03,-3.166295361309e-02, 7.134072985271e-02,-8.771797735228e-01, 5.238479231968e-02,-8.683691210680e-01, 8.763370542000e+00, 9.040207000000e-01,           10000000
 5.931331985081e+00, 1.506748744841e+00, 2.034584398075e+00, 4.389762513618e-01, 1.433688769437e-01, 1.197367432928e-04, 5.458136919075e-03,-3.610083587537e-02, 7.284922304166e-02,-9.431582800550e-01, 5.324835502730e-02,-1.030650807436e+00, 7.513316303000e+00, 9.044332000000e-01,           10000000
 5.689942932099e+00, 1.499418688576e+00, 2.008133381910e+00, 4.361545802053e-01, 1.548294510326e-01, 1.244304830147e-04, 2.835364036438e-03,-4.417502944006e-02, 7.672386299548e-02,-1.083518324840e+00, 5.216315088147e-02,-1.178350160465e+00, 7.385303538000e+00, 9.053830000000e-01,           10000000
 5.422066846838e+00, 1.491942569385e+00, 2.090345047311e+00, 4.396875282861e-01, 1.593797438760e-01, 1.262456905704e-04,-9.646908953586e-04,-4.306270778199e-02, 7.720498210460e-02,-9.933431461362e-01, 5.453663164819e-02,-1.224354610803e+00, 7.505912185000e+00, 9.028605000000e-01,           10000000
 5.680418960421e+00, 1.499152885276e+00, 2.011056306411e+00, 4.362272536552e-01, 1.556468859892e-01, 1.247585211475e-04, 2.616579324416e-03,-4.078102069792e-02, 7.797816625578e-02,-1.061553290535e+00, 5.173437403396e-02,-1.136682899985e+00, 7.490247521000e+00, 9.016445000000e-01,           10000000
 5.689578862102e+00, 1.499408527793e+00, 2.008245115665e+00, 4.361773670830e-01, 1.457655274322e-01, 1.207333953106e-04, 2.670360583617e-03,-3.514956562824e-02, 7.326309808128e-02,-8.163069105728e-01, 5.483766978605e-02,-1.086338392545e+00, 7.850992295000e+00, 8.981252000000e-01,           10000000
 5.282422903997e+00, 1.481673568104e+00, 2.048482728155e+00, 4.370589044224e-01, 1.638853633299e-01, 1.280177188243e-04,-2.700656478048e-03,-4.624311967320e-02, 8.225799725733e-02,-1.144077698829e+00, 5.075175846037e-02,-1.145900876302e+00, 7.893763597000e+00, 9.048877000000e-01,           10000000
 5.655171768970e+00, 1.497909818521e+00, 2.011645432553e+00, 4.360045071619e-01, 1.530847235660e-01, 1.237274115004e-04, 2.378047286478e-03,-4.007056970438e-02, 7.938779550586e-02,-1.032658684501e+00, 5.229740018563e-02,-1.062767091230e+00, 8.210169014000e+00, 8.934505000000e-01,           10000000
 5.687789428271e+00, 1.499330583368e+00, 2.008421958331e+00, 4.366025606535e-01, 1.411714327095e-01, 1.188155851349e-04, 2.533961092887e-03,-3.441560173209e-02, 7.224166839075e-02,-8.833642257288e-01, 4.992472237712e-02,-9.930021731865e-01, 8.251436702000e+00, 9.136981000000e-01,           10000000
 5.687789428271e+00, 1.499330583368e+00, 2.008421958331e+00, 4.357493773310e-01, 1.622290071367e-01, 1.162715955342e-04, 2.752759673692e-03,-4.277639324820e-02, 8.131154953994e-02,-1.146546272732e+00, 5.372610877695e-02,-1.197436443404e+00, 8.989371698000e+00, 9.000450000000e-01,           12000000
 5.687789428271e+00, 1.499330583368e+00, 2.008421958331e+00, 4.363780198791e-01, 1.564741167789e-01, 1.042413454904e-04, 2.716710416835e-03,-3.944342433756e-02, 7.986909016015e-02,-1.134951416580e+00, 5.048607528208e-02,-1.084464151895e+00, 1.077806364600e+01, 9.069363194444e-01,           14400000
