#                p[0],                 p[1],                 p[2],               energy,             variance,                error,      -(ℏ/4)⟨∇ᵢ²ln(ψ)⟩,  Var -(ℏ/4)⟨∇ᵢ²ln(ψ)⟩,    (ℏ/2)⟨|∇ᵢln(ψ)|²⟩, Var (ℏ/2)⟨|∇ᵢln(ψ)|²⟩,             gradE[0],          gradVarE[0],             gradE[1],          gradVarE[1],             gradE[2],          gradVarE[2],         elapsed time,        accept. ratio,             MC steps
  2.3000000000000e+00,  1.0000000000000e+00,  1.0000000000000e+00,  3.7671083680050e-01,  1.1331655003665e+01,  1.0645024661157e-03,  4.9398100004158e-01,  2.5669641974872e-01,  4.9378945627701e-01,  2.7149497107253e+00, -1.5583339559752e-01, -7.0408403184705e+00, -1.3499614412153e+00, -9.5477060539933e+01, -2.6113310845631e+00, -1.5527044203104e+02,  7.5193335210000e+00,  9.0498330000000e-01,             10000000
  2.3299999994093e+00,  1.0299999999510e+00,  1.0299999999711e+00,  2.7972947060295e-01,  4.5157776936594e+00,  6.7199536409557e-04,  4.8959294974212e-01,  2.4394107874617e-01,  4.9061858446717e-01,  2.7104118221176e+00, -8.9057041343122e-02, -2.7910532934426e+00, -7.7635961363453e-01, -3.2009289125190e+01, -1.5907492143244e+00, -6.6937970790439e+01,  6.9237498900000e+00,  9.1503610000000e-01,             10000000
  2.3574958090876e+00,  1.0568195515321e+00,  1.0577466960966e+00,  2.2773631185080e-01,  1.6143770811582e+00,  4.0179311606325e-04,  4.8575367238718e-01,  2.3064284539154e-01,  4.8617551749135e-01,  2.5916474930025e+00, -5.0582862306474e-02, -1.0057706735611e+00, -4.5266476972034e-01, -1.2421751644695e+01, -8.5398216277265e-01, -2.3177288125942e+01,  7.5739179650000e+00,  9.0091260000000e-01,             10000000
  2.3818276734853e+00,  1.0803735103607e+00,  1.0821825201724e+00,  2.0368623943576e-01,  5.0683284843797e-01,  2.2512948461674e-04,  4.8347150214612e-01,  2.2066524730789e-01,  4.8300759026282e-01,  2.3956444838669e+00, -2.9562800476107e-02, -3.0087895813380e-01, -2.2969006005611e-01, -3.4604520995820e+00, -4.3478447360947e-01, -6.9582886943098e+00,  7.0076398520000e+00,  9.0768040000000e-01,             10000000
  2.4030686521050e+00,  1.1006865201132e+00,  1.1033225998768e+00,  1.9349787053970e-01,  1.3664187159549e-01,  1.1689391412537e-04,  4.8077789988272e-01,  2.1306014912511e-01,  4.8056480197886e-01,  2.2917936539592e+00, -1.9212820329190e-02, -8.2253323154639e-02, -9.8508992779824e-02, -1.0095524676127e+00, -1.7028531319637e-01, -1.6185936373216e+00,  6.6033504480000e+00,  9.0052960000000e-01,             10000000
  2.4216799307332e+00,  1.1182175819580e+00,  1.1215388661779e+00,  1.9076693535796e-01,  2.6656585944192e-02,  5.1630016409247e-05,  4.7743995968979e-01,  2.0460548551769e-01,  4.7641900007662e-01,  2.2656506888575e+00, -1.3911658906884e-02, -1.6635416414424e-02, -1.4291029749844e-02, -1.8692403444580e-01,  3.9434099622194e-03, -2.0136246183943e-01,  6.6289712550000e+00,  9.1367140000000e-01,             10000000
  2.4381222475696e+00,  1.1333826368354e+00,  1.1372471525221e+00,  1.9190865480332e-01,  1.5956324401952e-02,  3.9945368194512e-05,  4.7586481599849e-01,  2.0181315182053e-01,  4.7676426921219e-01,  2.2179663941203e+00, -1.1331223220876e-02, -9.4578743987219e-03,  4.6119276633970e-02, -4.6535781002688e-02,  1.1828220476405e-01, -1.3327959624484e-01,  7.5872952320000e+00,  9.1268170000000e-01,             10000000
  2.4527945766586e+00,  1.1465260261278e+00,  1.1508192224889e+00,  1.9465025778818e-01,  4.4574221769996e-02,  6.6763928711540e-05,  4.7414086011001e-01,  1.9731703067102e-01,  4.7502452200432e-01,  2.2185851255356e+00, -1.0131455306509e-02, -2.5869885135636e-02,  8.8589886079240e-02, -2.1196738111690e-01,  1.9922019131812e-01, -6.0998839112861e-01,  7.4639236710000e+00,  8.9701160000000e-01,             10000000
  2.4660262936964e+00,  1.1579374338803e+00,  1.1625672860818e+00,  1.9827180495570e-01,  8.0951558893358e-02,  8.9973084249323e-05,  4.7303631333942e-01,  1.9308865074830e-01,  4.7337321930964e-01,  2.0846186758981e+00, -9.9511106845175e-03, -4.4024487776891e-02,  1.1609304706152e-01, -3.9059330064510e-01,  2.5619407185473e-01, -1.1124988989688e+00,  7.3453514290000e+00,  9.0561060000000e-01,             10000000
  2.4780843379517e+00,  1.1678536162007e+00,  1.1727425290655e+00,  2.0269955367251e-01,  1.2558722483011e-01,  1.1206570609696e-04,  4.7043480508428e-01,  1.8828785712118e-01,  4.6990893912628e-01,  2.1153223222003e+00, -1.0284939428786e-02, -7.4424166139046e-02,  1.3764325617611e-01, -7.9477660604080e-01,  2.9551725716040e-01, -1.7370310031089e+00,  6.7644786690000e+00,  9.0306800000000e-01,             10000000
  2.4892018842937e+00,  1.1764884249930e+00,  1.1815619004658e+00,  2.0582106171516e-01,  1.7383510648876e-01,  1.3184654204368e-04,  4.6981206394571e-01,  1.8774846773664e-01,  4.7097721064972e-01,  2.1832631794027e+00, -1.0421462030025e-02, -9.7787396305324e-02,  1.5483528333995e-01, -1.0315178478116e+00,  3.3353008944723e-01, -2.7656307198180e+00,  7.3185322670000e+00,  9.1085690000000e-01,             10000000
  2.4995526263996e+00,  1.1840009743567e+00,  1.1892220673541e+00,  2.0976980095306e-01,  1.9851752835387e-01,  1.4089624847875e-04,  4.6767361338110e-01,  1.8364106692156e-01,  4.6830306258617e-01,  2.0624372059394e+00, -1.1201386811157e-02, -1.1690851068260e-01,  1.6662484943027e-01, -1.1070062491112e+00,  3.4922174254246e-01, -3.0240728253289e+00,  6.7962574160000e+00,  8.9153900000000e-01,             10000000
