#                p[0],                 p[1],                 p[2],               energy,             variance,                error,         elapsed time,        accept. ratio,             MC steps
  3.5038000000000e+00,  1.1241000000000e+00,  1.1228000000000e+00, -3.8162960913388e-03,  3.2701905653441e-02,  6.3935422159239e-05,  1.2462184827000e+01,  9.0790075000000e-01,              8000000
  4.0038000000000e+00,  1.1241000000000e+00,  1.1228000000000e+00, -2.5754546968850e-03,  2.7908893140165e-02,  5.9064470221281e-05,  1.3431545224000e+01,  8.9317100000000e-01,              8000000
  3.5038000000000e+00,  1.1741000000000e+00,  1.1228000000000e+00,  6.4892164699922e-03,  1.0027522327797e-01,  1.1195714764921e-04,  1.1963140216000e+01,  9.0983825000000e-01,              8000000
  3.5038000000000e+00,  1.1241000000000e+00,  1.1728000000000e+00,  1.0334570465425e-02,  1.3088461148394e-01,  1.2790846897486e-04,  1.2056059242000e+01,  9.0137062500000e-01,              8000000
  3.8371333333333e+00,  1.1574333333333e+00,  1.0728000000000e+00,  1.1284008330911e-02,  5.4020233801442e-01,  2.5985629153785e-04,  1.1619586724000e+01,  9.0152150000000e-01,              8000000
  3.5871333333333e+00,  1.1324333333333e+00,  1.1478000000000e+00,  1.5974495824573e-03,  5.0305478576136e-02,  7.9298075777518e-05,  1.1123778091000e+01,  9.0175625000000e-01,              8000000
  3.8926888888889e+00,  1.0796555555556e+00,  1.1394666666667e+00,  3.9392587782923e-03,  2.6524678245952e-01,  1.8208747295583e-04,  1.1678301070000e+01,  9.1031950000000e-01,              8000000
  3.6010222222222e+00,  1.1504888888889e+00,  1.1269666666667e+00,  1.4296228006661e-04,  4.7387810088594e-02,  7.6964123207338e-05,  1.0873288629000e+01,  9.0254350000000e-01,              8000000
  3.8186148148148e+00,  1.1333592592593e+00,  1.1005777777778e+00, -1.8314131855116e-03,  1.2473456425093e-01,  1.2486721159442e-04,  1.1146821599000e+01,  9.0618825000000e-01,              8000000
  3.6450037037037e+00,  1.1326648148148e+00,  1.1359944444444e+00, -8.8807567064848e-04,  2.9961608772109e-02,  6.1198048143005e-05,  1.1950657248000e+01,  8.9748087500000e-01,              8000000
  3.8340469135802e+00,  1.1034209876543e+00,  1.1274296296296e+00, -3.2880363715794e-03,  7.0843813577909e-02,  9.4103542426620e-05,  1.1489338856000e+01,  9.1085175000000e-01,              8000000
  3.9160942386831e+00,  1.1017491769547e+00,  1.1126919753086e+00, -2.8961961047684e-03,  1.2677452551814e-01,  1.2588413597339e-04,  1.1494373172000e+01,  9.0705250000000e-01,              8000000
