#                p[0],                 p[1],                 p[2],               energy,             variance,                error,             gradE[0],          gradVarE[0],             gradE[1],          gradVarE[1],             gradE[2],          gradVarE[2],         elapsed time,        accept. ratio,             MC steps
  2.0000000000000e+00,  1.1000000000000e+00,  1.1000000000000e+00, -1.0530755859536e-01,  2.4092991133470e+00,  2.1951305716731e-03, -1.3551697848524e-01, -1.7413534557091e+00, -2.1985552939565e+00, -2.3096359454426e+01, -2.6412442647110e+00, -2.2817068257726e+01,  8.2958165800000e-01,  9.0401400000000e-01,               500000
  2.0499999963340e+00,  1.1499999997738e+00,  1.1499999998115e+00, -1.5461433876191e-01,  5.6282743985265e-01,  1.0609688401199e-03,  4.0051060453071e-02, -5.7715080699621e-01,  9.2573351849701e-01, -5.7730149440345e+00,  1.0217010414975e+00, -5.3197853191390e+00,  6.9464431800000e-01,  9.0085400000000e-01,               500000
  2.0717440677353e+00,  1.1665711614052e+00,  1.1679240671290e+00, -1.0894304142471e-01,  1.1302188964678e+00,  1.5034752385509e-03,  3.9373549690975e-02, -6.3785538763646e-01,  1.5159148066837e+00, -1.0060369558241e+01,  1.8077926475584e+00, -1.1226316584690e+01,  6.9525480600000e-01,  9.0408800000000e-01,               500000
  2.0794758093760e+00,  1.1603491430727e+00,  1.1625035685466e+00, -1.2256099362762e-01,  1.2288807686220e+00,  1.5677249558657e-03,  5.2756760043534e-02, -6.8209944712473e-01,  1.4705216103012e+00, -2.2246017873197e+01,  1.5815592876383e+00, -1.1380894645603e+01,  7.4357574000000e-01,  9.1106800000000e-01,               500000
  2.0756907806589e+00,  1.1424966519536e+00,  1.1461483438331e+00, -1.6669684029879e-01,  3.9635754358988e-01,  8.9034548753827e-04,  5.0796607818876e-02, -4.0433494056115e-01,  6.2963050784329e-01, -3.2697672557999e+00,  8.6238163894493e-01, -3.7267986089539e+00,  7.3706851000000e-01,  9.0397200000000e-01,               500000
  2.0642385251750e+00,  1.1224106612777e+00,  1.1265197110517e+00, -1.6953740704095e-01,  4.7660823540084e-01,  9.7632805490864e-04, -7.3625893100873e-03, -5.4469313742915e-01, -5.6018338830514e-01, -4.2536157461938e+00, -3.0522907190649e-01, -3.7130753529841e+00,  6.9657870600000e-01,  9.0350200000000e-01,               500000
  2.0555927040643e+00,  1.1098166625043e+00,  1.1117562045916e+00, -1.3547018257467e-01,  1.2258584040954e+00,  1.5657959024697e-03, -6.2054727960270e-02, -1.1482365500144e+00, -1.3702533044018e+00, -9.6997295773043e+00, -1.5911075385339e+00, -1.2245436964168e+01,  8.1560021300000e-01,  9.0872400000000e-01,               500000
  2.0575654170647e+00,  1.1094395551705e+00,  1.1096352590650e+00, -1.3572702424807e-01,  1.4885319438558e+00,  1.7254170184948e-03, -8.5233027092274e-02, -1.7692184245872e+00, -1.5149109949019e+00, -1.3178854271956e+01, -1.7083623146899e+00, -1.9927431451388e+01,  8.0122187700000e-01,  9.0170800000000e-01,               500000
  2.0700425784657e+00,  1.1188708776544e+00,  1.1174189009533e+00, -1.5846748245141e-01,  6.6566993584536e-01,  1.1538370212862e-03, -2.4314871819354e-02, -6.2725008320793e-01, -7.6451538457656e-01, -5.0192547330843e+00, -9.2084643847144e-01, -5.7052638683118e+00,  7.9039066000000e-01,  9.0601200000000e-01,               500000
  2.0840871846856e+00,  1.1318332234335e+00,  1.1291247684104e+00, -1.7300037230663e-01,  3.7878508632918e-01,  8.7038507148179e-04,  1.5313249448960e-02, -3.5476998001845e-01,  1.5854890748854e-02, -2.6289952369240e+00, -1.7220078369944e-01, -3.3473918670049e+00,  7.6112227300000e-01,  9.0420400000000e-01,               500000
  2.0947284256195e+00,  1.1433124594021e+00,  1.1404856222744e+00, -1.6766066470033e-01,  3.4919459912745e-01,  8.3569683393854e-04,  4.3077208475266e-02, -2.7140949346079e-01,  6.2750277286288e-01, -2.9946187199382e+00,  5.8357801982242e-01, -2.8592126235714e+00,  7.7271407900000e-01,  9.0414800000000e-01,               500000
  2.0989225065513e+00,  1.1496925362925e+00,  1.1475388913275e+00, -1.4693245232622e-01,  4.5759140537615e-01,  9.5665187542403e-04,  5.1304914269650e-02, -4.1044182666561e-01,  8.7567804020337e-01, -3.8000220998795e+00,  9.3719019480262e-01, -4.0124058839590e+00,  8.0089733100000e-01,  9.0164400000000e-01,               500000
