#                p[0],                 p[1],                 p[2],               energy,             variance,                error,             gradE[0],          gradVarE[0],             gradE[1],          gradVarE[1],             gradE[2],          gradVarE[2],         elapsed time,        accept. ratio,             MC steps
  4.2000000000000e+00,  0.0000000000000e+00,  0.0000000000000e+00,  1.5017827638769e-01,  1.7881278455845e-05,  1.3372089760335e-06,  1.7446488692082e-03,  8.5273025546625e-06,                 -nan,                 -nan,                 -nan,                 -nan,  5.5654693950000e+00,  8.9694780000000e-01,             10000000
  4.1982553468671e+00,  0.0000000000000e+00,  0.0000000000000e+00,  1.5017710422114e-01,  1.7541722203372e-05,  1.3244516677996e-06,  1.7269488196480e-03,  8.3304832813497e-06,                 -nan,                 -nan,                 -nan,                 -nan,  4.6850995100000e+00,  9.0596900000000e-01,             10000000
  4.1982553468671e+00,  0.0000000000000e+00,  0.0000000000000e+00,  1.5017899008056e-01,  1.7613069923359e-05,  1.2115097304382e-06,  1.7339728654851e-03,  8.4129018915530e-06,                 -nan,                 -nan,                 -nan,                 -nan,  5.6262264620000e+00,  9.1034208333333e-01,             12000000
  4.1982553468671e+00,  0.0000000000000e+00,  0.0000000000000e+00,  1.5017167170275e-01,  1.7558992321917e-05,  1.1042528998376e-06,  1.7286490296097e-03,  8.3397509231516e-06,                 -nan,                 -nan,                 -nan,                 -nan,  7.2514228640000e+00,  9.0137506944444e-01,             14400000
  4.1980375243372e+00,  0.0000000000000e+00,  0.0000000000000e+00,  1.5017020741280e-01,  1.7524159377824e-05,  1.1031570660377e-06,  1.7271633980265e-03,  8.3856575217642e-06,                 -nan,                 -nan,                 -nan,                 -nan,  7.3912376150000e+00,  9.0187673611111e-01,             14400000
  4.1978412767709e+00,  0.0000000000000e+00,  0.0000000000000e+00,  1.5017216986120e-01,  1.7462285191118e-05,  1.1012078340748e-06,  1.7228137063710e-03,  8.3199824095522e-06,                 -nan,                 -nan,                 -nan,                 -nan,  7.1205167330000e+00,  9.0287805555556e-01,             14400000
  4.1201124886713e+00,  0.0000000000000e+00,  0.0000000000000e+00,  1.5006432456068e-01,  6.5625221448267e-06,  6.7507829509017e-07,  1.0766994494040e-03,  3.1868474420446e-06,                 -nan,                 -nan,                 -nan,                 -nan,  7.5374828660000e+00,  9.0144375000000e-01,             14400000
  3.9913383325002e+00,  0.0000000000000e+00,  0.0000000000000e+00,  1.5000012265784e-01,  3.5240899862973e-08,  4.9470038535527e-08, -8.1326733803355e-05,  1.7560149578146e-08,                 -nan,                 -nan,                 -nan,                 -nan,  8.1793111180000e+00,  9.0292215277778e-01,             14400000
  4.0003819674456e+00,  0.0000000000000e+00,  0.0000000000000e+00,  1.4999945951316e-01,  6.3153858002986e-11,  2.0942026128197e-09,  3.4349594211032e-06,  3.1343886274801e-11,                 -nan,                 -nan,                 -nan,                 -nan,  7.9700123470000e+00,  9.0549951388889e-01,             14400000
  4.0000154749744e+00,  0.0000000000000e+00,  0.0000000000000e+00,  1.4999946485845e-01,  6.7945607617505e-16,  6.8690938073649e-12,  1.1313947719966e-08,  3.4139931648707e-16,                 -nan,                 -nan,                 -nan,                 -nan,  8.2405003240000e+00,  9.0589340277778e-01,             14400000
  4.0003691001891e+00,  0.0000000000000e+00,  0.0000000000000e+00,  1.4999948280083e-01,  5.9109035929940e-11,  2.0260291611429e-09,  3.3315503252832e-06,  2.9509601328594e-11,                 -nan,                 -nan,                 -nan,                 -nan,  8.7633757630000e+00,  9.0539000000000e-01,             14400000
  4.0003818387730e+00,  0.0000000000000e+00,  0.0000000000000e+00,  1.4999947918747e-01,  6.3463752280894e-11,  2.0993344229795e-09,  3.4530232806563e-06,  3.1796326695245e-11,                 -nan,                 -nan,                 -nan,                 -nan,  7.9203363220000e+00,  9.0730138888889e-01,             14400000
  4.0003819661588e+00,  0.0000000000000e+00,  0.0000000000000e+00,  1.4999945301724e-01,  6.3129993427102e-11,  2.0938068968571e-09,  3.4336734123484e-06,  3.1361434908162e-11,                 -nan,                 -nan,                 -nan,                 -nan,  7.4753814480000e+00,  9.0522284722222e-01,             14400000
  4.0003785305720e+00,  0.0000000000000e+00,  0.0000000000000e+00,  1.4999946203280e-01,  6.2232862821185e-11,  2.0788762793405e-09,  3.4168045619951e-06,  3.1116660122428e-11,                 -nan,                 -nan,                 -nan,                 -nan,  7.5978366040000e+00,  9.1135263888889e-01,             14400000
