#                p[0],                 p[1],                 p[2],               energy,             variance,                error,          energies[0],       energiesVar[0],          energies[1],       energiesVar[1],          energies[2],       energiesVar[2],          energies[3],       energiesVar[3],             gradE[0],          gradVarE[0],             gradE[1],          gradVarE[1],             gradE[2],          gradVarE[2],         elapsed time,        accept. ratio,             MC steps
  4.2000000000000e+00,  0.0000000000000e+00,  0.0000000000000e+00,  1.5016721311917e-01,  1.7824518107863e-05,  1.3350849451575e-06,  1.5016721311917e-01,  1.7824518107863e-05,  7.1533910304372e-02,  1.6968237389000e-03,  7.8633302814794e-02,  2.0624704268583e-03,  0.0000000000000e+00,  0.0000000000000e+00,  1.7391108492523e-03,  8.4876299949125e-06,                 -nan,                 -nan,                 -nan,                 -nan,  6.0340973480000e+00,  8.9970800000000e-01,             10000000
  4.1982608849069e+00,  0.0000000000000e+00,  0.0000000000000e+00,  1.5017739334522e-01,  1.7546529575583e-05,  1.3246331407444e-06,  1.5017739334522e-01,  1.7546529575583e-05,  7.1434504506106e-02,  1.7005165270499e-03,  7.8742888839111e-02,  2.0635375913492e-03,  0.0000000000000e+00,  0.0000000000000e+00,  1.7273726736188e-03,  8.3036532647895e-06,                 -nan,                 -nan,                 -nan,                 -nan,  5.0744299620000e+00,  9.1359220000000e-01,             10000000
  4.1999308240551e+00,  0.0000000000000e+00,  0.0000000000000e+00,  1.5017318312182e-01,  1.7824029016987e-05,  1.3350666281870e-06,  1.5017318312182e-01,  1.7824029016987e-05,  7.1475678388889e-02,  1.6979802825845e-03,  7.8697504732935e-02,  2.0637402242466e-03,  0.0000000000000e+00,  0.0000000000000e+00,  1.7396795632258e-03,  8.4696585261949e-06,                 -nan,                 -nan,                 -nan,                 -nan,  5.1178959650000e+00,  9.0539860000000e-01,             10000000
  4.1999993082406e+00,  0.0000000000000e+00,  0.0000000000000e+00,  1.5018443627797e-01,  1.7879034322211e-05,  1.3371250622964e-06,  1.5018443627797e-01,  1.7879034322211e-05,  7.1365866367562e-02,  1.7020255291428e-03,  7.8818569910410e-02,  2.0687917822210e-03,  0.0000000000000e+00,  0.0000000000000e+00,  1.7444360937801e-03,  8.4907173782955e-06,                 -nan,                 -nan,                 -nan,                 -nan,  5.3004698660000e+00,  9.0528490000000e-01,             10000000
  4.1999999930824e+00,  0.0000000000000e+00,  0.0000000000000e+00,  1.5017434132366e-01,  1.7789679390964e-05,  1.3337795691554e-06,  1.5017434132366e-01,  1.7789679390964e-05,  7.1464361509485e-02,  1.6935073506369e-03,  7.8709979814170e-02,  2.0584393801615e-03,  0.0000000000000e+00,  0.0000000000000e+00,  1.7357117506679e-03,  8.3754388600409e-06,                 -nan,                 -nan,                 -nan,                 -nan,  5.2114444190000e+00,  9.0280220000000e-01,             10000000
  4.1999999999308e+00,  0.0000000000000e+00,  0.0000000000000e+00,  1.5018533789556e-01,  1.7948874846158e-05,  1.3397341096709e-06,  1.5018533789556e-01,  1.7948874846158e-05,  7.1357069645409e-02,  1.7086620105398e-03,  7.8828268250155e-02,  2.0768597145435e-03,  0.0000000000000e+00,  0.0000000000000e+00,  1.7512441457876e-03,  8.5966642143994e-06,                 -nan,                 -nan,                 -nan,                 -nan,  5.2532241130000e+00,  9.1107750000000e-01,             10000000
  4.1999999999993e+00,  0.0000000000000e+00,  0.0000000000000e+00,  1.5017467576334e-01,  1.7855816953531e-05,  1.3362565978707e-06,  1.5017467576334e-01,  1.7855816953531e-05,  7.1461098431611e-02,  1.6998032654283e-03,  7.8713577331728e-02,  2.0660920082916e-03,  0.0000000000000e+00,  0.0000000000000e+00,  1.7421646295489e-03,  8.5244296272065e-06,                 -nan,                 -nan,                 -nan,                 -nan,  5.1688549750000e+00,  8.9657130000000e-01,             10000000
  4.2000000000000e+00,  0.0000000000000e+00,  0.0000000000000e+00,  1.5016897369131e-01,  1.7806144675481e-05,  1.3343966679920e-06,  1.5016897369131e-01,  1.7806144675481e-05,  7.1516732672457e-02,  1.6950746606903e-03,  7.8652241018850e-02,  2.0603444417020e-03,  0.0000000000000e+00,  0.0000000000000e+00,  1.7373181816811e-03,  8.4779142347495e-06,                 -nan,                 -nan,                 -nan,                 -nan,  5.3544708650000e+00,  9.0237860000000e-01,             10000000
  4.2000000000000e+00,  0.0000000000000e+00,  0.0000000000000e+00,  1.5018160274112e-01,  1.7890658119234e-05,  1.3375596479871e-06,  1.5018160274112e-01,  1.7890658119234e-05,  7.1393512973531e-02,  1.7031200068108e-03,  7.8788089767589e-02,  2.0701234706412e-03,  0.0000000000000e+00,  0.0000000000000e+00,  1.7455640285558e-03,  8.5249202462890e-06,                 -nan,                 -nan,                 -nan,                 -nan,  5.6591735720000e+00,  9.0667690000000e-01,             10000000
  4.2000000000000e+00,  0.0000000000000e+00,  0.0000000000000e+00,  1.5017152419858e-01,  1.7821230107520e-05,  1.3349618012333e-06,  1.5017152419858e-01,  1.7821230107520e-05,  7.1491847764784e-02,  1.6965107342511e-03,  7.8679676433798e-02,  2.0620899731806e-03,  0.0000000000000e+00,  0.0000000000000e+00,  1.7387900441101e-03,  8.4606581153015e-06,                 -nan,                 -nan,                 -nan,                 -nan,  6.2374799760000e+00,  9.0707430000000e-01,             10000000
  4.2000000000000e+00,  0.0000000000000e+00,  0.0000000000000e+00,  1.5018056236782e-01,  1.7877792846198e-05,  1.3370786381585e-06,  1.5018056236782e-01,  1.7877792846198e-05,  7.1403663735968e-02,  1.7018952836198e-03,  7.8776898631855e-02,  2.0686348331919e-03,  0.0000000000000e+00,  0.0000000000000e+00,  1.7443087836296e-03,  8.4898860460304e-06,                 -nan,                 -nan,                 -nan,                 -nan,  5.4829981730000e+00,  9.0825350000000e-01,             10000000
  4.2000000000000e+00,  0.0000000000000e+00,  0.0000000000000e+00,  1.5017432801044e-01,  1.7860069194938e-05,  1.3364156986109e-06,  1.5017432801044e-01,  1.7860069194938e-05,  7.1464491403242e-02,  1.7002080620066e-03,  7.8709836607195e-02,  2.0665840340424e-03,  0.0000000000000e+00,  0.0000000000000e+00,  1.7425795142039e-03,  8.4989176131884e-06,                 -nan,                 -nan,                 -nan,                 -nan,  5.0904631790000e+00,  9.0277850000000e-01,             10000000
