#              p[0],               p[1],             energy,               error
 4.000000000000e-01, 2.300000000000e+00, 2.822301020312e+01, 9.953266899756e-02
 4.000000000000e-01, 2.462500000000e+00, 2.771397681502e+01, 7.225114722106e-02
 4.000000000000e-01, 2.625000000000e+00, 2.741192179259e+01, 6.065033680715e-02
 4.000000000000e-01, 2.787500000000e+00, 2.718066622641e+01, 4.868438713934e-02
 4.000000000000e-01, 2.950000000000e+00, 2.698942103846e+01, 3.415137860084e-02
 4.000000000000e-01, 3.112500000000e+00, 2.684325031215e+01, 2.821941108675e-02
 4.000000000000e-01, 3.275000000000e+00, 2.678507456574e+01, 2.290474495019e-02
 4.000000000000e-01, 3.437500000000e+00, 2.676564247528e+01, 2.162865365888e-02
 5.000000000000e-01, 2.300000000000e+00, 2.702184754523e+01, 4.434432841512e-02
 5.000000000000e-01, 2.462500000000e+00, 2.685462315704e+01, 2.795683880370e-02
 5.000000000000e-01, 2.625000000000e+00, 2.669223155784e+01, 1.874822905759e-02
 5.000000000000e-01, 2.787500000000e+00, 2.667830223675e+01, 1.543522230060e-02
 5.000000000000e-01, 2.950000000000e+00, 2.672249924802e+01, 1.698185929820e-02
 5.000000000000e-01, 3.112500000000e+00, 2.677761723825e+01, 2.143289971101e-02
 5.000000000000e-01, 3.275000000000e+00, 2.679092667441e+01, 3.096114129299e-02
 5.000000000000e-01, 3.437500000000e+00, 2.695932088264e+01, 3.561642465705e-02
 6.000000000000e-01, 2.300000000000e+00, 2.704006613980e+01, 4.450127614556e-02
 6.000000000000e-01, 2.462500000000e+00, 2.713203509493e+01, 3.764650569388e-02
 6.000000000000e-01, 2.625000000000e+00, 2.720245860889e+01, 4.312095224764e-02
 6.000000000000e-01, 2.787500000000e+00, 2.734394919005e+01, 4.662650678922e-02
 6.000000000000e-01, 2.950000000000e+00, 2.755508586916e+01, 4.819381025046e-02
 6.000000000000e-01, 3.112500000000e+00, 2.766528462963e+01, 6.374474922103e-02
 6.000000000000e-01, 3.275000000000e+00, 2.794962580735e+01, 7.304590038166e-02
 6.000000000000e-01, 3.437500000000e+00, 2.829038837801e+01, 8.075166795521e-02
