#              p[0],               p[1],               p[2],             energy,               error
 3.000000000000e+00, 1.050000000000e+00, 5.000000000000e+00, 1.379249911927e-01, 2.648169989642e-03
 3.000000000000e+00, 1.065000000000e+00, 5.000000000000e+00, 1.350683331154e-01, 1.028951779031e-03
 3.000000000000e+00, 1.080000000000e+00, 5.000000000000e+00, 1.340189093899e-01, 5.730851526773e-04
 3.000000000000e+00, 1.095000000000e+00, 5.000000000000e+00, 1.333144915812e-01, 2.811241015952e-04
 3.000000000000e+00, 1.110000000000e+00, 5.000000000000e+00, 1.337222850993e-01, 3.561665701400e-04
 3.000000000000e+00, 1.125000000000e+00, 5.000000000000e+00, 1.338462152023e-01, 1.503428315151e-04
 3.000000000000e+00, 1.140000000000e+00, 5.000000000000e+00, 1.345927093926e-01, 1.509037417633e-04
 3.000000000000e+00, 1.155000000000e+00, 5.000000000000e+00, 1.345621768878e-01, 3.001506568924e-04
 3.000000000000e+00, 1.170000000000e+00, 5.000000000000e+00, 1.353777642754e-01, 5.204896726752e-04
 3.000000000000e+00, 1.185000000000e+00, 5.000000000000e+00, 1.373294951504e-01, 3.445757181913e-04
 3.120000000000e+00, 1.050000000000e+00, 5.000000000000e+00, 1.370616798458e-01, 1.312468427203e-03
 3.120000000000e+00, 1.065000000000e+00, 5.000000000000e+00, 1.330950859007e-01, 5.884916841188e-04
 3.120000000000e+00, 1.080000000000e+00, 5.000000000000e+00, 1.336670183200e-01, 4.854031947778e-04
 3.120000000000e+00, 1.095000000000e+00, 5.000000000000e+00, 1.344158885723e-01, 1.041037305883e-03
 3.120000000000e+00, 1.110000000000e+00, 5.000000000000e+00, 1.331044171647e-01, 5.952594180454e-04
 3.120000000000e+00, 1.125000000000e+00, 5.000000000000e+00, 1.333523962438e-01, 1.736794338306e-04
 3.120000000000e+00, 1.140000000000e+00, 5.000000000000e+00, 1.337159283659e-01, 1.682920521393e-04
 3.120000000000e+00, 1.155000000000e+00, 5.000000000000e+00, 1.347385768635e-01, 1.724429089780e-04
 3.120000000000e+00, 1.170000000000e+00, 5.000000000000e+00, 1.355906895737e-01, 2.609180299776e-04
 3.120000000000e+00, 1.185000000000e+00, 5.000000000000e+00, 1.363741764642e-01, 3.797560223152e-04
 3.240000000000e+00, 1.050000000000e+00, 5.000000000000e+00, 1.354089290378e-01, 7.372609439287e-04
 3.240000000000e+00, 1.065000000000e+00, 5.000000000000e+00, 1.338277905724e-01, 6.165945004047e-04
 3.240000000000e+00, 1.080000000000e+00, 5.000000000000e+00, 1.326498979417e-01, 5.161409274977e-04
 3.240000000000e+00, 1.095000000000e+00, 5.000000000000e+00, 1.324595397637e-01, 3.814467671555e-04
 3.240000000000e+00, 1.110000000000e+00, 5.000000000000e+00, 1.321436266330e-01, 2.257890148463e-04
 3.240000000000e+00, 1.125000000000e+00, 5.000000000000e+00, 1.326695882199e-01, 1.315162557523e-04
 3.240000000000e+00, 1.140000000000e+00, 5.000000000000e+00, 1.330300080046e-01, 2.779691291076e-04
 3.240000000000e+00, 1.155000000000e+00, 5.000000000000e+00, 1.338292599455e-01, 3.569084008967e-04
 3.240000000000e+00, 1.170000000000e+00, 5.000000000000e+00, 1.352750129302e-01, 2.446414567271e-04
 3.240000000000e+00, 1.185000000000e+00, 5.000000000000e+00, 1.357039337211e-01, 6.856026383356e-04
 3.360000000000e+00, 1.050000000000e+00, 5.000000000000e+00, 1.386545216802e-01, 5.956245159926e-03
 3.360000000000e+00, 1.065000000000e+00, 5.000000000000e+00, 1.329220424704e-01, 5.672114921628e-04
 3.360000000000e+00, 1.080000000000e+00, 5.000000000000e+00, 1.321316654764e-01, 4.383106261124e-04
 3.360000000000e+00, 1.095000000000e+00, 5.000000000000e+00, 1.326621984651e-01, 3.857891819141e-04
 3.360000000000e+00, 1.110000000000e+00, 5.000000000000e+00, 1.320658065673e-01, 1.788818236182e-04
 3.360000000000e+00, 1.125000000000e+00, 5.000000000000e+00, 1.327676154328e-01, 3.135824069942e-04
 3.360000000000e+00, 1.140000000000e+00, 5.000000000000e+00, 1.327389162078e-01, 1.589614811264e-04
 3.360000000000e+00, 1.155000000000e+00, 5.000000000000e+00, 1.334179900288e-01, 2.816714083635e-04
 3.360000000000e+00, 1.170000000000e+00, 5.000000000000e+00, 1.348933619664e-01, 1.906123431576e-04
