#              p[0],             energy,               error
 8.300000000000e-02, 1.879800048711e-01, 1.347714436760e-04
 1.047000000000e-01, 1.613472804837e-01, 5.158547698446e-05
 1.264000000000e-01, 1.495299701661e-01, 2.954293747655e-06
 1.481000000000e-01, 1.456359092141e-01, 4.374948869299e-05
 1.698000000000e-01, 1.461051870003e-01, 7.585843746640e-05
 1.915000000000e-01, 1.503562798441e-01, 1.028286767842e-04
 2.132000000000e-01, 1.558256980285e-01, 1.258421404345e-04
 2.349000000000e-01, 1.629547853104e-01, 1.462052407765e-04
 2.566000000000e-01, 1.711453312552e-01, 1.681433764262e-04
 2.783000000000e-01, 1.816547033052e-01, 1.849749628175e-04
