#                p[0],                 p[1],                 p[2],               energy,             variance,                error
  2.8000000000000e+00,  0.0000000000000e+00,  9.0000000000000e-01,  2.8287134778929e-01,  2.7141709757533e+01,  2.2612118664982e-03
  2.8000000000000e+00,  0.0000000000000e+00,  9.3500000000000e-01,  2.1614249595615e-01,  9.1936450104180e+00,  1.2744680417642e-03
  2.8000000000000e+00,  0.0000000000000e+00,  9.7000000000000e-01,  1.7935918048174e-01,  3.6732361785441e+00,  8.1696635286645e-04
  2.8000000000000e+00,  0.0000000000000e+00,  1.0050000000000e+00,  1.5606910465151e-01,  1.3986031345077e+00,  4.9878981542131e-04
  2.8000000000000e+00,  0.0000000000000e+00,  1.0400000000000e+00,  1.4372766680680e-01,  4.3379802264622e-01,  2.7709884843087e-04
  2.8000000000000e+00,  0.0000000000000e+00,  1.0750000000000e+00,  1.3747961949626e-01,  9.4332323785651e-02,  1.3249618649842e-04
  2.8000000000000e+00,  0.0000000000000e+00,  1.1100000000000e+00,  1.3557257773961e-01,  8.6123913489203e-03,  4.8568449897630e-05
  2.8000000000000e+00,  0.0000000000000e+00,  1.1450000000000e+00,  1.3610724926814e-01,  5.2075796303027e-03,  4.3700041691370e-05
  2.8000000000000e+00,  0.0000000000000e+00,  1.1800000000000e+00,  1.3836033601549e-01,  2.6921228818210e-02,  7.6837002223584e-05
  2.8000000000000e+00,  0.0000000000000e+00,  1.2150000000000e+00,  1.4153867432435e-01,  5.0307890189051e-02,  9.8287145236122e-05
  2.9000000000000e+00,  0.0000000000000e+00,  9.0000000000000e-01,  2.6874329937976e-01,  2.3493702802648e+01,  2.0170017308132e-03
  2.9000000000000e+00,  0.0000000000000e+00,  9.3500000000000e-01,  2.1132178458267e-01,  9.8042074320190e+00,  1.3053460294532e-03
  2.9000000000000e+00,  0.0000000000000e+00,  9.7000000000000e-01,  1.7461218784248e-01,  3.5376637397375e+00,  7.9627639800633e-04
  2.9000000000000e+00,  0.0000000000000e+00,  1.0050000000000e+00,  1.5515082770112e-01,  1.4193663380552e+00,  4.9286789929779e-04
  2.9000000000000e+00,  0.0000000000000e+00,  1.0400000000000e+00,  1.4177150844140e-01,  3.6977045575205e-01,  2.5451398541944e-04
  2.9000000000000e+00,  0.0000000000000e+00,  1.0750000000000e+00,  1.3627856569205e-01,  9.2734525807526e-02,  1.3322000042006e-04
  2.9000000000000e+00,  0.0000000000000e+00,  1.1100000000000e+00,  1.3452400932682e-01,  8.4266043311172e-03,  4.6574551005583e-05
  2.9000000000000e+00,  0.0000000000000e+00,  1.1450000000000e+00,  1.3513824502596e-01,  4.8472688151803e-03,  4.0594486617755e-05
  2.9000000000000e+00,  0.0000000000000e+00,  1.1800000000000e+00,  1.3732785831362e-01,  2.3394953033828e-02,  6.9259670924908e-05
  2.9000000000000e+00,  0.0000000000000e+00,  1.2150000000000e+00,  1.4052709751311e-01,  4.6362391350874e-02,  9.5591221382053e-05
  3.0000000000000e+00,  0.0000000000000e+00,  9.0000000000000e-01,  2.5846864476624e-01,  1.9461881493094e+01,  1.8655726051989e-03
  3.0000000000000e+00,  0.0000000000000e+00,  9.3500000000000e-01,  2.0487745902288e-01,  8.7066961348442e+00,  1.2528224133540e-03
  3.0000000000000e+00,  0.0000000000000e+00,  9.7000000000000e-01,  1.7216381875511e-01,  3.2040635058050e+00,  7.6353351629622e-04
  3.0000000000000e+00,  0.0000000000000e+00,  1.0050000000000e+00,  1.5192011007216e-01,  1.2234924110387e+00,  4.7086590844722e-04
  3.0000000000000e+00,  0.0000000000000e+00,  1.0400000000000e+00,  1.4069536180805e-01,  3.8212199111562e-01,  2.6249782793795e-04
  3.0000000000000e+00,  0.0000000000000e+00,  1.0750000000000e+00,  1.3540772936917e-01,  8.4132833448351e-02,  1.2796528527866e-04
  3.0000000000000e+00,  0.0000000000000e+00,  1.1100000000000e+00,  1.3372057623922e-01,  8.0841160844217e-03,  4.4994036323673e-05
  3.0000000000000e+00,  0.0000000000000e+00,  1.1450000000000e+00,  1.3436939013294e-01,  4.9328992296168e-03,  3.9758130328822e-05
  3.0000000000000e+00,  0.0000000000000e+00,  1.1800000000000e+00,  1.3664754359161e-01,  3.4761034426307e-02,  8.5411599472875e-05
  3.0000000000000e+00,  0.0000000000000e+00,  1.2150000000000e+00,  1.3962733217057e-01,  4.6698527687466e-02,  9.1514347335077e-05
  3.1000000000000e+00,  0.0000000000000e+00,  9.0000000000000e-01,  2.5534805995401e-01,  2.0683208721538e+01,  1.9336915935318e-03
  3.1000000000000e+00,  0.0000000000000e+00,  9.3500000000000e-01,  2.0095854724373e-01,  8.2394164829720e+00,  1.2040775589910e-03
  3.1000000000000e+00,  0.0000000000000e+00,  9.7000000000000e-01,  1.6952267373370e-01,  3.1696069480523e+00,  7.7274928207428e-04
  3.1000000000000e+00,  0.0000000000000e+00,  1.0050000000000e+00,  1.5008633413809e-01,  1.0890630310482e+00,  4.3353493070785e-04
