# N, tildeAlpha, E                  , Ekin               , V                  , U
  2,       1.00, 1.322620530e-01    , 0.112765           , 0.067670           , -0.04817377
  4,       1.00, 1.890865862e-01    , 0.420497           , 0.1194688          , -0.34887951
  6,       1.00, 1.735357028e-01    , 0.919960           , 0.1710557          , -0.91748037
  8,       1.00, 1.040118732e-01    , 1.8110608657923e+00, 2.1141619559454e-01, -1.9184651881818e+00
 12,       1.00, -1.729753955e-01   , 3.3047070228346e+00, 3.6498037064782e-01, -3.8426627889946e+00
  2,       0.05, 1.6872187239833e-01, 8.0976970242670e-02, 8.7897882937880e-02, -1.5298078222059e-04
  4,       0.05, 3.426921373e-01    , 2.1637011685445e-01, 1.9009340002603e-01, -6.3771379572758e-02
  6,       0.05, 5.2142318776376e-01, 4.0669373846240e-01, 2.9718290802643e-01, -1.8245345872507e-01
  8,       0.05, 7.0977085478470e-01, 6.0034854276839e-01, 4.2802593825201e-01, -3.1860362623570e-01
 12,       0.05, 1.1037777311332e+00, 1.0935964019167e+00, 7.0877198593922e-01, -6.9859065672273e-01
