# N, tildeAlpha, alpha  , E                   , Ekin               , V                  , U_alike             , U_unlike
  2,       1.00, 3.4676 , 1.3224506073948e-01 , 1.1281180141069e-01, 6.7687313318871e-02, 0.0000000000000e+00 , -4.8254053990080e-02
  4,       1.00, 2.7195 , 1.8911953321980e-01 , 4.1929428072736e-01, 1.1770789139541e-01, -1.1591562421581e-01, -2.3196701468716e-01
  6,       1.00, 2.3881 , 1.7396128966027e-01 , 9.1855074943275e-01, 1.7108742929090e-01, -3.6630489201813e-01, -5.4937199704525e-01
  8,       1.00, 1.9532 , 1.0390136166918e-01 , 1.8078011999121e+00, 2.1178052305093e-01, -8.2028524299319e-01, -1.0953951183007e+00
 12,       1.00, 2.0320 , -1.7352198637514e-01, 3.3033631069149e+00, 3.6499044625465e-01, -1.7439366691299e+00, -2.0979388704148e+00
  2,       0.40, 4.2884 , 1.5746702282058e-01 , 8.9041013823211e-02, 8.2665778347624e-02, 0.0000000000000e+00 , -1.4239769350256e-02
  4,       0.40, 4.2020 , 3.0050368032020e-01 , 2.5503214275287e-01, 1.7096361733659e-01, -7.1752629262588e-02, -5.3739450506670e-02
  6,       0.40, 4.2228 , 4.3273707167167e-01 , 4.7918438707422e-01, 2.6952041394745e-01, -2.0150260567280e-01, -1.1446512367721e-01
  8,       0.40, 4.1691 , 5.5518545546810e-01 , 7.7157191823787e-01, 3.7119152657743e-01, -3.8849971037686e-01, -1.9907827897034e-01
  2,       0.05, 4.6000 , 1.6873082874046e-01 , 8.1030393720255e-02, 8.7871135194118e-02, 0.0000000000000e+00 , -1.7070017391656e-04
  4,       0.05, 4.7722 , 3.4273505971655e-01 , 2.1613269635660e-01, 1.9024604515461e-01, -6.2015197379347e-02, -1.6284844153148e-03
  6,       0.05, 4.7884 , 5.2277802545742e-01 , 4.0871917157667e-01, 2.9689267755611e-01, -1.7618147119037e-01, -6.6523524849831e-03
  8,       0.05, 5.0631 , 7.1018807894534e-01 , 6.0117709197625e-01, 4.2827816985995e-01, -3.1923581986127e-01, -3.1363029589712e-05
 12,       0.05, 5.53442, 1.1042034386440e+00 , 1.0955996035209e+00, 7.0844416724452e-01, -7.0084969332640e-01, 1.0093612050298e-03
