# N, tildeAlpha, alpha  , beta_AA, beta_AB, E       , err
  2,       1.00, 3.4676 , --     ,  1.1137, 0.132280, 0.000007
  4,       1.00, 2.7195 , 1.1212 ,  1.1210, 0.18903 , 0.00003
  6,       1.00, 2.3881 , 1.1263 ,  1.1246, 0.17359 , 0.00007
  8,       1.00, 1.9532 , 1.1334 ,  1.1337, 0.1041  , 0.0001
 12,       1.00, 2.0320 , 1.1310 ,  1.1313, -0.1731 , 0.0002
  2,       0.40, 4.2884 , --     ,  1.0738, 0.157485, 0.000008
  4,       0.40, 4.2020 , 1.1184 ,  1.0642, 0.30043 , 0.00003
  6,       0.40, 4.2228 , 1.1182 ,  1.0676, 0.43246 , 0.00005
  8,       0.40, 4.1691 , 1.1196 ,  1.0768, 0.5549  , 0.0001
  2,       0.05, 4.6000 , --     ,  0.9500, 0.16871 , 0.00002
  4,       0.05, 4.7722 , 1.1274 ,  0.9632, 0.34278 , 0.00006
  6,       0.05, 4.7884 , 1.1097 ,  0.9817, 0.5213  , 0.0001
  8,       0.05, 5.0631 , 1.1173 ,  0.9458, 0.7101  , 0.0002
 12,       0.05, 5.53442, 1.1185 ,  0.9454, 1.1044  , 0.0003
