# N, tildeAlpha, alpha  , beta_AA, beta_AB, E       , err
  2,       1.00, 13.651 , --     ,  1.1130, 0.033880, 0.000004
  4,       1.00,  7.4787, 1.1127 ,  1.1165, 0.04600 , 0.00002
  6,       1.00,  3.4118, 1.1236 ,  1.1207, -0.00416, 0.00004
  8,       1.00,  2.8457, 1.1263 ,  1.1234, -0.1284 , 0.0001
 12,       1.00,  2.3599, 1.1301 ,  1.1314, -0.5304 , 0.0002
  2,       0.40, 16.298 , --     ,  1.0666, 0.038021, 0.000002
  4,       0.40, 15.360 , 1.1156 ,  1.0697, 0.070471, 0.000006
  6,       0.40, 13.716 , 1.1108 ,  1.0646, 0.09646 , 0.00002
  8,       0.40, 11.424 , 1.1106 ,  1.0706, 0.11476 , 0.00004
  2,       0.05, 16.966 , --     ,  0.9489, 0.039984, 0.000007
  4,       0.05, 16.842 , 1.1051 ,  0.9411, 0.07869 , 0.00002
  6,       0.05, 16.417 , 1.1083 ,  0.9875, 0.11601 , 0.00005
  8,       0.05, 16.143 , 1.1192 ,  0.9959, 0.1525  , 0.0003
