N , Nnote, TildeAlpha, optimizer  , w   , alphaZero, betaAAZero, betaABZero, alpha      , betaAA       , betaAAnote, betaAB       , E
 2,      ,       1.00, Nelder-Mead, 0.05, 4        , --        , 1         , 3.5043     , --           ,           , 1.1169       , 0.132306 \pm 0.000008
 2,      ,       1.00, BFGS       , 0.05, 3.5      , --        , 1.1       , 3.4999     , --           ,           , 1.1177       , 0.132305 \pm 0.000008
 2,      ,       1.00, Mesh Grid  , 0.0 , --       , --        , --        , 3.6 \pm 0.2, --           ,           , 1.08 \pm 0.07, 0.13224 \pm 0.00002
 4,      ,       1.00, Nelder-Mead, 0.05, 2.3      , 1         , 1         , 2.6703     , 1.1227       ,           , 1.1240       , 0.18919 \pm 0.00003
 4,      ,       1.00, Nelder-Mead, 0.05, 2.3      , 1         , 1         , 2.7195     , 1.1212       ,           , 1.1210       , 0.18903 \pm 0.00003
 4,      ,       1.00, Adam       , 0.05, 2.3      , 1         , 1         , 2.7472     , 1.1193       ,           , 1.1180       , 0.18904 \pm 0.00003
 4,      ,       1.00, Mesh Grid  , 0.0 , --       , --        , --        , 2.6 \pm 0.3, 1.12 \pm 0.04,           , 1.12 \pm 0.04, 0.1883 \pm 0.0003
 6,      ,       1.00, Nelder-Mead, 0.05, 2.3      , 1         , 1         , 2.3881     , 1.1263       ,           , 1.1246       , 0.17359 \pm 0.00007
 6,      ,       1.00, Mesh Grid  , 0.0 , --       , --        , --        , 2.2 \pm 0.2, 1.15 \pm 0.07,           , 1.15 \pm 0.07, 0.1830 \pm 0.0003
 8,      ,       1.00, Nelder-Mead, 0.05, 2.3      , 1         , 1         , 1.9532     , 1.1334       ,           , 1.1337       , 0.1041 \pm 0.0001
 8,      ,       1.00, Mesh Grid  , 0.0 , --       , --        , --        , 2.0 \pm 0.2, 1.15 \pm 0.07,           , 1.15 \pm 0.07, 0.1121 \pm 0.0006
 2,      ,       0.40, Nelder-Mead, 0.05, 4.3      , --        , 1         , 4.2884     , --           ,           , 1.0738       , 0.157485 \pm 0.000008
 2,      ,       0.40, Mesh Grid  , 0.0 , --       , --        , --        , 4.2 \pm 0.3, --           ,           , 1.08 \pm 0.07, 0.15750 \pm 0.00004
 4,      ,       0.40, Nelder-Mead, 0.05, 4.3      , 1         , 1         , 4.4322     , 1.1191       ,           , 1.0749       , 0.30107 \pm 0.00003
 4,      ,       0.40, Mesh Grid  , 0.0 , --       , --        , --        , 4.2 \pm 0.3, 1.12 \pm 0.04,           , 1.08 \pm 0.04, 0.2997 \pm 0.0001
 6,      ,       0.40, Nelder-Mead, 0.05, 4.3      , 1         , 1         , 4.2228     , 1.1182       ,           , 1.0676       , 0.43246 \pm 0.00005
 6,      ,       0.40, Mesh Grid  , 0.0 , --       , --        , --        , 3.9 \pm 0.3, 1.08 \pm 0.07,           , 1.08 \pm 0.07, 0.4337 \pm 0.0005
 8,      ,       0.40, Nelder-Mead, 0.05, 4.3      , 1         , 1         , 4.1691     , 1.1196       ,           , 1.0768       , 0.5549 \pm 0.0001
 8,      ,       0.40, Mesh Grid  , 0.0 , --       , --        , --        , 3.9 \pm 0.3, 1.15 \pm 0.07,           , 1.08 \pm 0.07, 0.5599 \pm 0.0003
 2,      ,       0.05, Nelder-Mead, 0.05, 4.5      , --        , 1         , 4.4407     , --           ,           , 0.9423       , 0.16898 \pm 0.00002
 2,      ,       0.05, Nelder-Mead, 0.05, 4.6      , --        , 1         , 4.6000     , --           ,           , 0.9500       , 0.16871 \pm 0.00002
 2,      ,       0.05, Mesh Grid  , 0.0 , --       , --        , --        , 4.6 \pm 0.2, --           ,           , 1.01 \pm 0.07, 0.16863 \pm 0.00009
 4,      ,       0.05, Nelder-Mead, 0.05, 4.4      , 1         , 1         , 4.3110     , 1.1169       ,           , 0.9346       , 0.34522 \pm 0.00006
 4,      ,       0.05, Nelder-Mead, 0.05, 4.6      , 1         , 1         , 4.5084     , 1.1169       ,           , 0.9410       , 0.34360 \pm 0.00006
 4,      ,       0.05, Mesh Grid  , 0.0 , --       , --        , --        , 4.8 \pm 0.4, 1.12 \pm 0.04,           , 1.00 \pm 0.04, 0.3425 \pm 0.0004
 6,      ,       0.05, Nelder-Mead, 0.05, 4.6      , 1         , 1         , 4.4306     , 1.1188       ,           , 0.9401       , 0.5259 \pm 0.0001
 6,      ,       0.05, Mesh Grid  , 0.0 , --       , --        , --        , 4.8 \pm 0.4, 1.16 \pm 0.12,           , 1.04 \pm 0.12, 0.5304 \pm 0.0004
 8,      ,       0.05, Nelder-Mead, 0.05, 4.6      , 1         , 1         , 4.8579     , 1.1174       ,           , 0.9481       , 0.7094 \pm 0.0002
 8,      ,       0.05, Mesh Grid  , 0.0 , --       , --        , --        , 4.8 \pm 0.4, 1.16 \pm 0.12,           , 1.04 \pm 0.12, 0.7226 \pm 0.0006
12, *    ,       0.05, Nelder-Mead, 0.05, 4.8      , 1.11      , 0.83      , 5.5925     , 1.1202       ,           , 0.9372       , 1.1109 \pm 0.0003
12, *    ,       0.05, Mesh Grid  , 0.0 , --       , --        , --        , 5.0 \pm 0.5, 1.112        , **        , 0.95 \pm 0.07, 1.098 \pm 0.002
